cell,n,accept_n,accept_rate,residual_mean,residual_hit,pressure,response,prior_n_median
EFFICIENT_IGNITION,156,95,0.6089743589743589,0.43498280499857456,0.4935897435897436,7.596211719613948,3.2124056411696245,28.0
ABSORPTION,55,36,0.6545454545454545,0.3060506415723319,0.4909090909090909,5.026676420556263,1.121482188846839,28.0
THIN_LIQUIDITY,53,35,0.660377358490566,0.7134586100218645,0.49056603773584906,1.7967428246696677,2.4830081724839905,29.0
WEAK,150,103,0.6866666666666666,-0.19474696484272078,0.4866666666666667,0.10105931530734996,0.5280354583253222,28.0
UNRESOLVED,154,96,0.6233766233766234,0.6497476279208146,0.5194805194805194,3.806171424086775,1.9804536013827192,17.0
