slice,n,accept_rate,residual_mean,hit,long_n,short_n
2021,14,0.6428571428571429,2.1696114070348727,0.6428571428571429,3,11
2022,20,0.55,-0.2446647411594062,0.55,11,9
2023,35,0.45714285714285713,1.0723441054644707,0.5428571428571428,16,19
2024,41,0.6585365853658537,0.2622095502005825,0.4634146341463415,14,27
2025_H1,15,0.6666666666666666,-0.7486554405926573,0.4,1,14
2025_H2,9,0.8888888888888888,1.2313257707417025,0.4444444444444444,3,6
2026_JAN_JUL,22,0.6363636363636364,-0.261758312399467,0.4090909090909091,12,10
POOLED_RECENT,31,0.7096774193548387,0.17171771173829206,0.41935483870967744,15,16
AUG_REUSED,1,0.0,-3.1732411262436955,0.0,0,1
LONG,60,0.6,0.32663364495610747,0.5,60,0
SHORT,96,0.6145833333333334,0.5027010300251166,0.4895833333333333,0,96
2022_SHORT,9,0.4444444444444444,1.1141757379018236,0.5555555555555556,0,9
