display_role,bars,episodes,median_episode_age,mean_episode_age,share
PULLBACK_MATURE,3094,276,11.0,12.358112475759535,0.49774774774774777
PULLBACK_FORMING,931,318,2.0,1.9817400644468313,0.14977477477477477
EXPANSION_MATURE,914,135,8.0,10.099562363238512,0.14703989703989703
EXPANSION_FORMING,556,201,2.0,1.9460431654676258,0.08944658944658945
RANGE_STALE,522,74,7.0,8.800766283524904,0.08397683397683398
RANGE_SHORT,159,81,1.0,1.490566037735849,0.02557915057915058
REVERSAL_AFTERGLOW,30,10,3.0,3.7333333333333334,0.004826254826254826
REVERSAL_EVENT,10,10,1.0,1.0,0.0016087516087516086
