hypothesis,eligible_years,positive_years,transfer_pass
H2_RANGE_SHORT_CONTAINMENT,4,2,False
H3_PULLBACK_MATURITY_CONTINUATION,4,3,True
H4_EXPANSION_MATURITY_MOVEMENT,4,4,True
H5_PULLBACK_MATURE_ABSOLUTE_BIAS,4,4,True
H6_MATURE_EXPANSION_VS_SHORT_RANGE,4,4,True
