horizon_h,name,kind,metric,a,b,observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,eligible,null
24,RANGE_SHORT_VS_STALE,PAIR,contained_1atr_24h,RANGE_SHORT,RANGE_STALE,-0.001905873868923949,-0.07571332183122581,0.07312034541617293,0.4742,139,419,65,True,
24,RANGE_SHORT_VS_EXPANSION_FORMING,PAIR,contained_1atr_24h,RANGE_SHORT,EXPANSION_FORMING,-0.010639150149813342,-0.083509609295846,0.06381690800913359,0.3826,139,449,168,True,
24,PULLBACK_MATURE_VS_FORMING,PAIR,bias_follow_24h,PULLBACK_MATURE,PULLBACK_FORMING,0.07625844826785966,0.010409567220868055,0.14163588042411726,0.988,1619,519,171,True,
24,PULLBACK_MATURE_VS_050,ONE,bias_follow_24h,PULLBACK_MATURE,0.50,0.0849289684990735,0.03997267980453259,0.1287549534070888,0.9998,1619,0,156,True,0.5
24,EXPANSION_MATURE_VS_FORMING,PAIR,range_atr_24h,EXPANSION_MATURE,EXPANSION_FORMING,0.21933798276475436,-0.03619474932557063,0.4970705111608442,0.949,738,449,132,True,
24,EXPANSION_MATURE_VS_RANGE_SHORT,PAIR,range_atr_24h,EXPANSION_MATURE,RANGE_SHORT,0.4121950440401645,0.10629162073552444,0.7073857313428191,0.9968,738,139,146,True,
48,REVERSAL_EVENT_VS_AFTERGLOW,PAIR,momentum_flip_48h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,-0.0784313725490196,-0.44999999999999996,0.5555555555555556,0.2787952787952788,3,17,6,False,
48,REVERSAL_EVENT_VS_EXPANSION_FORMING,PAIR,momentum_flip_48h,REVERSAL_EVENT,EXPANSION_FORMING,-0.20981387478849406,-0.5968586387434555,0.4756921080457561,0.21116708648194793,3,197,66,False,
48,RANGE_SHORT_VS_STALE,PAIR,contained_1atr_48h,RANGE_SHORT,RANGE_STALE,-0.0012120232708468012,-0.018656716417910446,0.02154054054054051,0.4042,119,312,57,True,
48,RANGE_SHORT_VS_EXPANSION_FORMING,PAIR,contained_1atr_48h,RANGE_SHORT,EXPANSION_FORMING,-0.016806722689075633,-0.042606694292549555,0.008706398965019634,0.0946,119,357,152,True,
48,PULLBACK_MATURE_VS_FORMING,PAIR,bias_follow_48h,PULLBACK_MATURE,PULLBACK_FORMING,0.029904521707800447,-0.050886530351734606,0.11172757192449954,0.764,1092,427,155,True,
48,PULLBACK_MATURE_VS_050,ONE,bias_follow_48h,PULLBACK_MATURE,0.50,0.11538461538461542,0.048939140918949284,0.17895740795226614,0.9998,1092,0,134,True,0.5
48,EXPANSION_MATURE_VS_FORMING,PAIR,range_atr_48h,EXPANSION_MATURE,EXPANSION_FORMING,0.33099937602245033,-0.07656167077125121,0.813235898599779,0.9392,522,357,113,True,
48,EXPANSION_MATURE_VS_RANGE_SHORT,PAIR,range_atr_48h,EXPANSION_MATURE,RANGE_SHORT,0.2544542820565048,-0.3052499118647925,0.8449580352082472,0.79,522,119,127,True,
