R,signal_ts,entry_ts,entry_k,side,signal_z,confirm_z,confirm_age_min,pre_fav_atr,pre_adv_atr,response_ratio,ret_15m,mfe_15m,mae_15m,impulse15,ret_30m,mfe_30m,mae_30m,impulse30,ret_60m,mfe_60m,mae_60m,impulse60,ret_120m,mfe_120m,mae_120m,impulse120,entry_crowd_edge,control_exit_ts,control_exit_reason,crowd_edge_15m,exitz_state_15m,crowd_edge_30m,exitz_state_30m,crowd_edge_60m,exitz_state_60m,crowd_edge_120m,exitz_state_120m,first_below_0p75_min,first_sign_flip_min,first_opp_extreme_min,period
-1.0075244609322458,1609480800,1609482600,6,-1,1.5308934532624656,1.1340504996361362,30.0,0.7235458597491806,0.5364192574956477,1.348843928121293,-0.8868913949347352,0.07041676100033457,0.9468570064921893,0,-0.4714153720009466,0.07170173839086391,0.9468570064921893,0,0.800797909770111,2.5568480116504824,0.9468570064921893,0,0.3466868999614621,2.5568480116504824,0.9468570064921893,0,1.1340504996361362,1609494000,INITIAL_STOP,0.5086223687059809,WEAK_PERSIST,0.8425702863120531,STRONG_PERSIST,0.7934109060423239,STRONG_PERSIST,-0.20846114997879858,SIGN_FLIP,10.0,110.0,130.0,historical
-1.006301499771922,1609494300,1609496100,51,1,-2.6529675654197464,-2.5250231348482304,30.0,0.7095695124704532,0.39987467343676847,1.7744797503615253,-0.20902934537245912,0.595356336665599,0.34911318929378204,0,-0.046694614640448794,0.595356336665599,0.47352466946147526,0,0.12176717188004502,0.595356336665599,0.47352466946147526,0,-0.18561754272814432,0.9546597871654313,0.5952918413414968,0,2.5250231348482304,1609515600,INITIAL_STOP,2.5848399236882815,STRONG_PERSIST,2.085004588730807,STRONG_PERSIST,2.2261991304444484,STRONG_PERSIST,1.051568415398573,STRONG_PERSIST,165.0,170.0,175.0,historical
-1.007711963229668,1609523700,1609524000,144,-1,1.3324157978786806,1.4897484308254758,5.0,0.5811998818745494,0.1388996160923291,4.1843159401095775,-0.9820154271336126,0.6532813595677107,1.4509342903106062,0,0.8232066988409094,0.9644020954502232,1.4509342903106062,0,0.3916078868126885,3.406302850307315,1.4509342903106062,0,1.306851462277778,3.406302850307315,1.4509342903106062,0,1.4897484308254758,1609527300,PROFIT_STOP,0.5969908757065387,WEAK_PERSIST,0.49861444951810596,WEAK_PERSIST,,NOT_ACTIVE,,NOT_ACTIVE,15.0,,,historical
1.995671028856499,1609550400,1609551600,236,1,-2.7280595046344773,-2.340443211329543,20.0,0.7611701073939101,0.37003775895498603,2.057006580859489,0.6570092418628908,1.041889811709494,0.023353409070943826,1,1.009113097223942,1.0922020684448113,0.023353409070943826,1,0.916191111657401,1.6154823152066526,0.023353409070943826,1,-0.14626608839176355,1.6154823152066526,0.293843245362948,1,2.340443211329543,1609568400,PROFIT_STOP,2.2143922128199978,STRONG_PERSIST,2.5684592367795114,STRONG_PERSIST,2.6101582609416965,STRONG_PERSIST,1.610736208593298,STRONG_PERSIST,,,,historical
-1.0082676769302519,1609569900,1609570200,298,1,-1.7693657440117838,-1.7831570819650506,5.0,0.8719067632418385,0.04615338758233271,18.89150049484341,0.24912814092821375,0.680532951801852,0.29720110882590245,0,-0.011267101851011773,0.9286595725655085,0.29720110882590245,0,0.5510030105219289,0.9286595725655085,0.58805925660973,0,1.1186145637724176,1.5032817669677465,0.58805925660973,0,1.7831570819650506,1609581900,INITIAL_STOP,1.6745935558889125,STRONG_PERSIST,1.714158900855033,STRONG_PERSIST,1.7739579115670137,STRONG_PERSIST,1.7892986893458203,STRONG_PERSIST,,,,historical
2.7106413746186346,1609590300,1609591200,368,1,-2.1108522868294135,-1.8728890053614482,15.0,2.5205001872821016,0.5653326418301788,4.458437380625903,0.7836826959541413,1.9535331603251012,0.4304112787489795,1,1.0076589606121216,1.9535331603251012,0.4304112787489795,1,4.269759002996671,4.291828706974115,0.4304112787489795,1,3.3422588728686886,5.675401351843732,0.4304112787489795,1,1.8728890053614482,1609595400,PROFIT_STOP,0.0608916884658121,WEAK_PERSIST,1.3174567314557357,STRONG_PERSIST,1.0604094742471457,STRONG_PERSIST,,NOT_ACTIVE,15.0,65.0,65.0,historical
-1.0037424981740641,1609637700,1609639200,528,-1,1.2289256354125728,1.041581688997658,25.0,0.46065202475893635,0.4631308697352091,0.9946476338916089,-0.1401709217430729,0.04139098281350236,0.5096335504666507,0,-0.7249270308074072,0.04139098281350236,0.8635132476478733,0,-0.5251032888016947,0.04139098281350236,1.196150352920264,0,-0.05006912870876355,0.5655509948874372,1.196150352920264,0,1.041581688997658,1609649700,INITIAL_STOP,0.8717658451281166,STRONG_PERSIST,0.5024898376968099,WEAK_PERSIST,0.49489565866730684,WEAK_PERSIST,-1.3291584392226103,OPP_EXTREME,25.0,70.0,100.0,historical
-1.0041056506356585,1609652400,1609653000,574,-1,2.7841093006467523,1.5597679003017904,10.0,0.834996047328383,0.3169653849642904,2.6343445824158676,-0.5746368940437849,0.8584002196739366,0.6180808176536194,0,-0.19354148897134518,0.8584002196739366,0.8094790276998206,0,-0.11352574243231432,0.8584002196739366,0.8094790276998206,0,-2.4076166592550856,0.8584002196739366,3.0241665633907484,0,1.5597679003017904,1609658700,INITIAL_STOP,0.8403650501156356,STRONG_PERSIST,1.2721272025155064,STRONG_PERSIST,1.30762998332549,STRONG_PERSIST,,NOT_ACTIVE,,,,historical
0.3642305094893833,1609660500,1609661400,602,-1,2.4203986165862514,1.6271153488362449,15.0,0.9275037819338693,0.4116728016070115,2.253012042719949,-0.20490818217553508,1.1427640815409734,0.3163699668669544,1,-0.5959903408771821,1.1427640815409734,0.6250575616330535,1,0.06678272589431837,1.1427640815409734,0.9775706182961639,1,0.1676644016398195,1.1427640815409734,0.9775706182961639,1,1.6271153488362449,1609683000,TIME_EXIT,1.4007581622194902,STRONG_PERSIST,1.0833838692336843,STRONG_PERSIST,0.8834822744773971,STRONG_PERSIST,1.364188936246552,STRONG_PERSIST,140.0,,,historical
2.0144864824588598,1609725300,1609726800,820,-1,1.1078176301865728,1.2068924164191932,25.0,0.4682426761019575,0.25283801608224976,1.8519472724295067,0.07983670206470073,0.22902457812435748,0.20971056139487468,0,-0.9254700927670506,0.22902457812435748,1.0830246596181132,0,-0.9144956022484569,0.22902457812435748,1.4896512649963194,0,-0.9118606379407722,0.22902457812435748,1.505596873744854,0,1.2068924164191932,1609733400,INITIAL_STOP,0.46263268445042555,WEAK_PERSIST,0.008066371006201369,WEAK_PERSIST,0.72458470679994,WEAK_PERSIST,,NOT_ACTIVE,15.0,25.0,,historical
