period,horizon_min,state,N,EV_R,PF,SumR,WR,MaxDD_R,mean_mfe60,mean_mae60,mean_ret60,initial_stop_share,right_tail_ge_1p5R
historical,15,STRONG_PERSIST,4208,0.15810625939728304,1.2735918251567742,665.311139543767,0.39567490494296575,29.811032273585113,1.2874795618544645,1.0421207354423723,0.11751705669297258,0.5527566539923955,0.1953422053231939
historical,15,WEAK_PERSIST,549,0.22770560611914084,1.4451748189168359,125.01037775940833,0.4553734061930783,12.573186558093482,1.378948473618285,0.936951268496208,0.24160846046091108,0.4936247723132969,0.18214936247723132
historical,15,SIGN_FLIP,122,0.2785398431853023,1.5086514717067854,33.98186086860688,0.45901639344262296,12.659907228979666,1.7343503680753865,0.9135801484652158,0.48535156379456224,0.5327868852459017,0.21311475409836064
historical,15,OPP_EXTREME,70,0.5281109577358587,2.232910254834077,36.96776704151011,0.5428571428571428,4.532052855159604,2.5845404617278955,0.854546602451093,0.3965064072603404,0.45714285714285713,0.22857142857142856
historical,15,NOT_ACTIVE,348,-0.46235843228140505,0.4533105416967198,-160.90073443392896,0.16666666666666666,162.3854444466691,1.332949896122662,2.70792790041368,-0.7353217373216658,0.8419540229885057,0.11206896551724138
historical,30,STRONG_PERSIST,3588,0.1971760159071343,1.354920595555774,707.4675450747978,0.4122073578595318,25.496013468504202,1.2205997192910223,0.9077713739916828,0.15340590518114955,0.5261984392419174,0.19816053511705686
historical,30,WEAK_PERSIST,547,0.2964765519493513,1.6196556197631615,162.17267391629517,0.4954296160877514,10.792153452427037,1.3246504768054463,0.7740612157009792,0.3384640215807927,0.46983546617915906,0.1846435100548446
historical,30,SIGN_FLIP,144,0.3403858008090226,1.6611985837462284,49.01555531649925,0.4513888888888889,8.28086590895338,1.4909305060529832,0.7778575953692596,0.4773943251586135,0.4930555555555556,0.2152777777777778
historical,30,OPP_EXTREME,115,0.3923425499433042,1.8793357463188016,45.11939324347998,0.5391304347826087,9.608806788814483,2.257781381026927,0.7015687880598656,0.5747199093268791,0.4434782608695652,0.22608695652173913
historical,30,NOT_ACTIVE,903,-0.2916996199022248,0.6357884046140636,-263.404756771709,0.21040974529346623,265.4963663493462,1.6087457298542287,2.369963645120225,-0.4564414019156148,0.7973421926910299,0.14839424141749724
historical,60,STRONG_PERSIST,2729,0.2908959737720227,1.5770072795208683,793.85511242385,0.45474532795895933,22.652203765176864,1.1338208149270685,0.698253082744576,0.24770648531534417,0.47160131916452913,0.20483693660681568
historical,60,WEAK_PERSIST,489,0.3442182198472532,1.7416902699220642,168.32270950530682,0.49079754601226994,12.558889979665338,1.1068636610579836,0.6244364829812371,0.3545506584738035,0.44785276073619634,0.20449897750511248
historical,60,SIGN_FLIP,196,0.2860600287748536,1.609476959890924,56.067765639871304,0.5051020408163265,6.512417365084099,1.3338299945250476,0.6615265817558054,0.48595340630213446,0.4336734693877551,0.15816326530612246
historical,60,OPP_EXTREME,158,0.44270228433842956,2.0242641915831205,69.94696092547187,0.5316455696202531,7.874982141022833,1.4751388372726206,0.5885684858552408,0.6381819078523768,0.43670886075949367,0.21518987341772153
historical,60,NOT_ACTIVE,1725,-0.22482442766094882,0.7107197074691576,-387.8221377151367,0.2336231884057971,393.2021996771241,1.6818411014304666,2.075205285215754,-0.3404143103970253,0.7692753623188405,0.1617391304347826
historical,120,STRONG_PERSIST,1674,0.34144348371206523,1.7708451687677331,571.5763917339972,0.4910394265232975,15.851337862075354,1.136278080250728,0.6122050527892899,0.3071946307571704,0.3996415770609319,0.18996415770609318
historical,120,WEAK_PERSIST,376,0.39690600146954536,2.0202277821107395,149.23665655254905,0.5531914893617021,9.747775102795252,0.9853192581151389,0.6141806534746911,0.28644118087313175,0.3670212765957447,0.17819148936170212
historical,120,SIGN_FLIP,197,0.4615192415088916,2.150220258684597,90.91929057725164,0.5583756345177665,7.073620176939755,1.0892848645186015,0.6311166628289993,0.3143969803332283,0.3604060913705584,0.18781725888324874
historical,120,OPP_EXTREME,233,0.33766536824889376,1.8260136318078544,78.67603080199224,0.5321888412017167,6.024819818719084,1.0157242937102868,0.6501069897068937,0.2505451914518397,0.3905579399141631,0.1888412017167382
historical,120,NOT_ACTIVE,2817,-0.06746111426568226,0.906918222887092,-190.0379588864269,0.2850550230741924,204.36537847975148,1.529027129301097,1.5909464520835788,-0.10082631756103512,0.7163649272275471,0.1906283280085197
forward_2026,15,STRONG_PERSIST,477,0.08555373555726145,1.1403971826107446,40.809131860813714,0.3752620545073375,24.217969311731757,1.3022412431673605,1.134749531729508,0.04464643995201945,0.5953878406708596,0.19916142557651992
forward_2026,15,WEAK_PERSIST,28,0.6224158434445626,2.5594265331536845,17.427643616447753,0.6071428571428571,3.9486170619029446,1.5596556748001433,0.791256776134036,0.601918062327835,0.39285714285714285,0.21428571428571427
forward_2026,15,SIGN_FLIP,5,0.7960563731431483,2.95743174370684,3.9802818657157415,0.6,1.0169611581920783,1.704837810392858,0.41644251171599383,0.8435342601224969,0.4,0.4
forward_2026,15,OPP_EXTREME,1,-1.0111796011359704,0.0,-1.0111796011359704,0.0,1.0111796011359704,2.183939471007094,2.902276195320455,1.7486648016276332,1.0,0.0
forward_2026,15,NOT_ACTIVE,33,-0.7790314230386703,0.18677280793956755,-25.70803696027612,0.06060606060606061,28.910640985006744,0.9279106769601166,2.6885589478137653,-1.073642657277656,0.9393939393939394,0.06060606060606061
forward_2026,30,STRONG_PERSIST,405,0.14966737416549078,1.260473412812433,60.61528653702376,0.4049382716049383,17.005741237803896,1.2870467962932328,0.9771253058386652,0.18425601534658353,0.5604938271604938,0.2
forward_2026,30,WEAK_PERSIST,41,0.43715699174274186,1.8825702816533307,17.923436661452417,0.5121951219512195,5.049269248332284,1.5661222599010933,0.6571165358247839,0.5785341005637815,0.4878048780487805,0.2926829268292683
forward_2026,30,SIGN_FLIP,8,0.8601188876847768,3.2512434051003876,6.880951101478215,0.625,1.0268609522454213,2.153129620448571,0.5599987739805539,1.665228194567273,0.375,0.375
forward_2026,30,OPP_EXTREME,3,-0.18807368480735995,0.7251619517820126,-0.5642210544220798,0.3333333333333333,2.052921922857524,1.545173128613497,0.610198923950022,0.49314575331562066,0.6666666666666666,0.0
forward_2026,30,NOT_ACTIVE,87,-0.5673288788961747,0.37021495621314837,-49.3576124639672,0.11494252873563218,49.53584544820437,1.1361274855604253,2.622408466681759,-1.2006742659838656,0.8850574712643678,0.10344827586206896
forward_2026,60,STRONG_PERSIST,284,0.2615425558176459,1.5112137436368316,74.27808585221143,0.45422535211267606,8.999406495601193,1.2154758922803064,0.6709109257888373,0.34045137456676255,0.49295774647887325,0.21830985915492956
forward_2026,60,WEAK_PERSIST,41,0.5282823192174027,2.188459709574466,21.65957508791351,0.5609756097560976,3.039891100820988,1.264967676824707,0.612696947816395,0.6811903522364191,0.43902439024390244,0.2682926829268293
forward_2026,60,SIGN_FLIP,13,0.6313141799062151,2.3494533701679905,8.207084338780795,0.5384615384615384,2.036184960200435,1.5829499835202165,0.4898914691825243,0.776794789201719,0.46153846153846156,0.3076923076923077
forward_2026,60,OPP_EXTREME,12,0.7078671913868982,2.662494797824569,8.49440629664278,0.5833333333333334,4.0825723571146995,1.7792131747064843,0.5841104105696714,1.182736776469331,0.4166666666666667,0.3333333333333333
