split,state_5m,n,resolved,rejection,acceptance,unresolved,ambiguous,rejection_rate
CONFIRMATION,EARLY_ACCEPTANCE,9587,9469,1327,8142,116,2,0.14014151441546097
CONFIRMATION,EARLY_REJECTION,5645,5524,4007,1517,118,3,0.7253801593048516
CONFIRMATION,NO_PENETRATION,12177,11940,10239,1701,227,10,0.857537688442211
CONFIRMATION,OTHER,3590,3490,1235,2255,97,3,0.3538681948424069
CONFIRMATION,RECLAIM_CHOP,2728,2620,1104,1516,104,4,0.4213740458015267
DISCOVERY,EARLY_ACCEPTANCE,10668,10543,1582,8961,111,14,0.15005216731480603
DISCOVERY,EARLY_REJECTION,6450,6299,4588,1711,134,17,0.7283695824734084
DISCOVERY,NO_PENETRATION,13618,13372,11315,2057,239,7,0.846171103798983
DISCOVERY,OTHER,4139,4020,1355,2665,115,4,0.3370646766169154
DISCOVERY,RECLAIM_CHOP,2959,2832,1165,1667,116,11,0.4113700564971751
