period,state,N,EV_R,PF,SumR,WR,MaxDD_R,mean_mfe15,mean_mae15,mean_mfe60,mean_mae60,initial_stop_share,right_tail_ge_1p5R
historical,SUPPORTIVE,32,-0.027388986485360787,0.9491077045155691,-0.8764475675315452,0.4375,4.970797615128373,0.4279666997639948,0.5002472068476582,0.935483956189846,0.8527011888781103,0.53125,0.125
historical,ADVERSE,27,0.527507285483538,2.2581856993663645,14.242696708055526,0.5555555555555556,2.9484516623445085,0.4256843446765641,0.3720262122955675,1.019472077143548,0.7702431736748265,0.4074074074074074,0.18518518518518517
historical,NONE,5238,0.13115772463513542,1.2234053876450297,687.0041616388393,0.38907980145093546,32.98311640594642,0.6517526025029381,0.5695384972462133,1.3313613243023885,1.1388280349448061,0.5649102710958381,0.18976708667430317
historical,NA,0,,,,,,,,,,,
forward_2026,SUPPORTIVE,2,-1.0084164283053678,0.0,-2.0168328566107356,0.0,2.0168328566107356,0.6117581262661991,0.4347107887903405,0.9529077423691277,0.5237224523876391,1.0,0.0
forward_2026,ADVERSE,0,,,,,,,,,,,
forward_2026,NONE,542,0.0692152650150846,1.1121565286113522,37.51467363817585,0.37084870848708484,27.632952848676055,0.5857394579361773,0.5572164027573926,1.2993778547290626,1.2104985341212322,0.6033210332103321,0.1937269372693727
forward_2026,NA,0,,,,,,,,,,,
