destination,lag,n,median_event_count,control_change_share,median_rev_rank,median_winner_margin,median_atr_ratio,median_adx
EXPANSION,-2,438,1.0,0.18493150684931506,4.0,13.333333333333336,0.9687100749917265,23.710403706752242
EXPANSION,-1,438,1.0,0.2420091324200913,4.0,6.666666666666664,1.0075407361946915,24.560565292429445
EXPANSION,0,438,1.0,0.2465753424657534,4.0,18.333333333333336,1.0231564150226855,25.75584269302031
PULLBACK,-2,494,2.0,0.0708502024291498,3.0,8.333333333333329,1.0309270414367866,30.06120792536924
PULLBACK,-1,494,2.0,0.032388663967611336,3.0,6.666666666666668,1.0289439730817787,29.794327560591796
PULLBACK,0,494,2.0,0.03441295546558704,3.0,16.66666666666667,1.0215188257022119,29.427986836258537
RANGE,-2,177,2.0,0.21468926553672316,4.0,6.666666666666671,0.8673950383252683,16.947459672178432
RANGE,-1,177,1.0,0.2711864406779661,4.0,6.666666666666671,0.8782009143981504,17.476158534665313
RANGE,0,177,1.0,0.3333333333333333,4.0,18.333333333333332,0.8808182102998522,17.756770321204428
REVERSAL,-2,9,2.0,0.0,3.0,8.333333333333332,0.9389791376409727,34.65197088635697
REVERSAL,-1,9,3.0,0.0,2.0,3.3333333333333357,0.9630596524304632,34.31900928357174
REVERSAL,0,9,3.0,0.0,1.0,5.0000000000000036,1.0028939670126502,34.009830652414024
