transition_time,destination,origin,lag,event_count,control_change,d1_conflict,stack_break_change,bos_against_control,rev_rank,winner_margin,rev_vs_pullback,rev_vs_expansion,rev_vs_range,atr_ratio,adx14,range24_ratio,ema_spread_atr,relvol20
2020-01-02 20:00:00+00:00,EXPANSION,RANGE,-2,0.0,False,False,False,False,2.0,3.333333333333333,6.666666666666667,0.0,-3.333333333333333,,,,,1.412703549015426
2020-01-02 20:00:00+00:00,EXPANSION,RANGE,-1,0.0,False,False,False,False,3.0,8.333333333333332,3.3333333333333335,-14.999999999999998,-6.666666666666666,,,,,2.9821660747603853
2020-01-02 20:00:00+00:00,EXPANSION,RANGE,0,1.0,False,False,False,False,3.0,15.0,3.3333333333333335,-21.666666666666668,-6.666666666666666,,,,,0.7343579004506331
2020-01-04 08:00:00+00:00,RANGE,EXPANSION,-2,1.0,False,False,False,False,2.0,16.666666666666668,0.0,-16.666666666666668,0.0,,,,,0.5357745620152573
2020-01-04 08:00:00+00:00,RANGE,EXPANSION,-1,0.0,False,False,False,False,4.0,1.6666666666666679,-3.333333333333333,-8.333333333333332,-10.0,,,,0.0,0.6618607862024665
2020-01-04 08:00:00+00:00,RANGE,EXPANSION,0,1.0,False,False,False,False,4.0,8.333333333333332,-8.333333333333332,-1.666666666666667,-16.666666666666664,,,,0.0,0.698144144646193
2020-01-07 04:00:00+00:00,EXPANSION,RANGE,-2,0.0,False,False,False,False,4.0,3.3333333333333357,-3.333333333333334,-20.0,-16.666666666666664,,25.898517310974533,,0.0,2.2429447117298373
2020-01-07 04:00:00+00:00,EXPANSION,RANGE,-1,1.0,False,False,False,False,4.0,8.333333333333336,-10.0,-35.0,-26.666666666666668,,28.670076391254028,,0.0,2.6699848751716906
2020-01-07 04:00:00+00:00,EXPANSION,RANGE,0,2.0,False,False,False,False,3.0,16.666666666666664,3.333333333333334,-33.33333333333333,-16.666666666666664,1.1695521581534298,31.24366696579927,,0.0,0.9253837928087787
2020-01-09 08:00:00+00:00,PULLBACK,EXPANSION,-2,1.0,False,False,False,False,4.0,3.3333333333333357,-24.999999999999996,-28.333333333333332,-13.333333333333332,1.5198070803824295,39.75414955409047,,0.0,0.6509918911801204
2020-01-09 08:00:00+00:00,PULLBACK,EXPANSION,-1,2.0,False,False,False,False,4.0,1.6666666666666643,-28.33333333333333,-26.666666666666664,-9.999999999999998,1.4439113468798592,37.83122367689309,,1.573100291812215,0.5385315515992927
2020-01-09 08:00:00+00:00,PULLBACK,EXPANSION,0,3.0,False,False,False,False,3.0,11.666666666666671,-20.000000000000004,-8.333333333333332,11.666666666666664,1.391313345220917,35.69704498653263,,1.5393402274193615,0.7536077313728224
2020-01-10 04:00:00+00:00,EXPANSION,PULLBACK,-2,2.0,False,False,False,False,3.0,1.6666666666666643,-15.0,-13.333333333333336,26.666666666666664,1.3730490486639328,29.38287728304987,,1.3153181764334427,1.0563327763906023
2020-01-10 04:00:00+00:00,EXPANSION,PULLBACK,-1,2.0,False,False,False,False,3.0,6.666666666666664,-11.666666666666671,-18.333333333333336,26.666666666666664,1.3159412454700556,27.43202834071304,,1.2781871840419858,0.37543523122453343
2020-01-10 04:00:00+00:00,EXPANSION,PULLBACK,0,1.0,False,False,False,False,3.0,15.0,-26.666666666666668,-41.66666666666667,8.333333333333332,1.27180190169061,25.722441696009895,,1.2108864448970098,0.5327616006215162
2020-01-12 00:00:00+00:00,PULLBACK,EXPANSION,-2,0.0,False,False,False,False,3.0,1.6666666666666643,-35.0,-36.666666666666664,0.0,1.2139360705925164,22.35518779028153,,1.2147014779865477,0.6882236143376426
2020-01-12 00:00:00+00:00,PULLBACK,EXPANSION,-1,2.0,False,False,False,False,3.0,8.333333333333336,-31.666666666666668,-23.333333333333332,6.666666666666668,1.2692844359316944,22.82156356020066,,1.109345142400556,0.9931909120521913
