market,high_n,moderate_n,high_mean,moderate_mean,effect
BTCUSDT,5607,3779,0.03397321669305807,-0.005035329109442448,0.039008545802500516
EURUSD,2208,1587,-0.019289339373327316,0.0005182642710169281,-0.019807603644344245
XAUUSD,2740,1635,0.07619493680530504,0.052495648257183045,0.02369928854812199
