market,state,n,occupancy
XAUUSD,EXPANSION,570,0.0916988416988417
XAUUSD,RETRACEMENT,2597,0.4177927927927928
XAUUSD,COMPRESSION,1382,0.22232947232947234
XAUUSD,TRANSITION,1667,0.26817889317889315
BTCUSDT,EXPANSION,848,0.07050802361353621
BTCUSDT,RETRACEMENT,5431,0.4515673068928245
BTCUSDT,COMPRESSION,2414,0.20071505778664672
BTCUSDT,TRANSITION,3334,0.2772096117069926
EURUSD,EXPANSION,423,0.07961603613777526
EURUSD,RETRACEMENT,2192,0.41257293431206477
EURUSD,COMPRESSION,1291,0.2429888951628082
EURUSD,TRANSITION,1407,0.2648221343873518
