market,state,metric,n_state,n_other,mean_state,mean_other,effect
BTCUSDT,EXPANSION,range8_atr,848,11177,1.6677739592756635,1.4583737567679749,0.20940020250768865
BTCUSDT,COMPRESSION,range8_atr,2412,9613,1.4696354930936621,1.4740200756807975,-0.004384582587135366
BTCUSDT,RETRACEMENT,range8_atr,5431,6594,1.429644609549664,1.5089651080371844,-0.07932049848752043
BTCUSDT,RETRACEMENT,absclose8_atr,5431,6594,0.6467712098901427,0.6875643462690215,-0.040793136378878825
EURUSD,EXPANSION,range8_atr,390,4557,1.4286154003366127,1.510038292206652,-0.08142289187003926
EURUSD,COMPRESSION,range8_atr,1208,3739,1.5629782929418978,1.4844414885913828,0.07853680435051502
EURUSD,RETRACEMENT,range8_atr,2051,2896,1.4772768196378556,1.522275464999914,-0.04499864536205833
EURUSD,RETRACEMENT,absclose8_atr,2051,2896,0.7243004991907773,0.7651049106396025,-0.040804411448825184
XAUUSD,EXPANSION,range8_atr,523,5265,1.477280220968157,1.495488408499656,-0.018208187531499
XAUUSD,COMPRESSION,range8_atr,1276,4512,1.4065886909302927,1.51851880689051,-0.11193011596021729
XAUUSD,RETRACEMENT,range8_atr,2425,3363,1.5329164685865375,1.4656680315178952,0.06724843706864236
XAUUSD,RETRACEMENT,absclose8_atr,2425,3363,0.7574529094801681,0.7326086276948157,0.024844281785352362
