state,eligible,pass_ci,observed,ci_lo,ci_hi,n,clusters
EXPANSION,True,True,0.06492506112719856,0.00493385290329214,0.12586806650745216,1614,332
RETRACEMENT,True,False,0.014174125054635563,-0.012567062383464452,0.03982525081983902,9293,579
COMPRESSION,True,False,0.002030419629612718,-0.0620767465722009,0.06631443488467804,1865,346
