market,state,metric,n_state,n_other,mean_state,mean_other,effect,n,mean_signed8,bull_n,bull_mean,bear_n,bear_mean
BTCUSDT,EXPANSION,range8_atr,465.0,6393.0,1.6718119730775798,1.4647900314574975,0.20702194162008225,,,,,,
BTCUSDT,COMPRESSION,range8_atr,1487.0,5371.0,1.4461438404130715,1.4878755069623193,-0.04173166654924776,,,,,,
BTCUSDT,DIRECTION,signed8,,,,,,5259.0,0.031770820410491396,2901.0,0.06126608156490704,2358.0,-0.0045166064805008685
EURUSD,EXPANSION,range8_atr,359.0,4172.0,1.4306591588410387,1.508324079545885,-0.07766492070484632,,,,,,
EURUSD,COMPRESSION,range8_atr,1163.0,3368.0,1.5646493363663858,1.4805960569166443,0.0840532794497415,,,,,,
EURUSD,DIRECTION,signed8,,,,,,3429.0,-0.011047326667402213,1732.0,-0.009551067441651387,1697.0,-0.012574445688616369
XAUUSD,EXPANSION,range8_atr,413.0,4097.0,1.4991016702201612,1.4888688484077748,0.010232821812386383,,,,,,
XAUUSD,COMPRESSION,range8_atr,1089.0,3421.0,1.3922761724841664,1.5208523560047713,-0.12857618352060496,,,,,,
XAUUSD,DIRECTION,signed8,,,,,,3345.0,0.0705025887997481,2310.0,0.1086180088531875,1035.0,-0.014566609580391984
