market,n,mean_signed8,bull_n,bull_mean,bear_n,bear_mean
BTCUSDT,9386,0.018267559907670317,4835,0.03492103324240389,4551,0.0005748454331731003
EURUSD,3795,-0.011006159667510633,1929,-0.014140629576515044,1866,-0.007765863604022162
XAUUSD,4375,0.06733817411360687,2896,0.10831031232839267,1479,-0.012888541417170425
