pressure_decile,direction_signed8_atr,direction_signed8_atr,direction_signed24_atr,direction_signed24_atr
,count,mean,count,mean
1,1759,-0.0025225839856993708,1646,-0.06913781902871634
2,1761,-0.016571172727098328,1644,0.01785936770859683
3,1740,0.005632749909556743,1629,0.1297289143879217
4,1763,0.05129317710386168,1644,0.12772748616979637
5,1758,0.05983320418630135,1640,0.11083615443642114
6,1750,0.0076544468891212875,1627,0.1608867299445502
7,1769,0.004056341673849974,1647,-0.018284497325738648
8,1736,0.004806866112337759,1607,0.03637788633202951
9,1768,0.030395637711499172,1632,0.1720048955875771
10,1752,0.09694162496990855,1626,0.13699249035953912
