split,model,n_total,n_top,top_tail_hit,top_mean_chosen_ret,top_ci_lo,top_ci_hi,top_median_chosen_ret,all_tail_hit,all_mean_chosen_ret
DEV_2021_2024,BTC_ONLY,1155,231,0.37662337662337664,0.006926008807627974,0.0012013759897119424,0.0129400425628432,0.005761054926842757,0.2935064935064935,0.004287186354578108
DEV_2021_2024,BTC_PLUS_PAXG,1155,231,0.4588744588744589,0.012627157897816233,0.006703204941084504,0.018276712570298212,0.015268355849326398,0.296969696969697,0.004490398937020298
BRIDGE_2025,BTC_ONLY,301,55,0.2,-0.0009764431137652008,-0.007554407509680496,0.0057715519797050035,0.0005973810597907914,0.18604651162790697,0.00014611527342383231
BRIDGE_2025,BTC_PLUS_PAXG,301,37,0.16216216216216217,0.004987234060550245,-0.002432487652902471,0.012084860452996386,0.002648623556546048,0.17275747508305647,-0.0004740037422337347
OOS_2026,BTC_ONLY,203,27,0.37037037037037035,0.01109342210473379,-0.004569252337311077,0.02886819252378003,0.00884980344313413,0.1625615763546798,-0.0019829259594333188
OOS_2026,BTC_PLUS_PAXG,203,39,0.20512820512820512,-0.0017899654001307065,-0.013489459213217984,0.009623193792421382,0.0011334978584727207,0.1724137931034483,-0.0011022181854791538
