split,regime,n,cont_mean,cont_ci_lo,cont_ci_hi,cont_tail_rate,rev_tail_rate,abs24_mean
BRIDGE_2025,GOLD_NEUTRAL__LOW_CORR,60,0.002439910116313717,-0.0024860321495614084,0.00749689123137736,0.18333333333333332,0.13333333333333333,0.016141518700681524
BRIDGE_2025,GOLD_NEUTRAL__POS_CORR,58,-0.004150993060251971,-0.01050442625078483,0.002514862164205072,0.1724137931034483,0.22413793103448276,0.020390730371620824
BRIDGE_2025,GOLD_DOWN__POS_CORR,48,-0.0018392411509153574,-0.01152765555645852,0.008241043599670072,0.20833333333333334,0.22916666666666666,0.025635347247498358
BRIDGE_2025,GOLD_DOWN__LOW_CORR,46,-0.0017718627180742556,-0.008462241069712172,0.004944495881615765,0.15217391304347827,0.1956521739130435,0.017542341799467186
BRIDGE_2025,GOLD_UP__POS_CORR,46,0.0012502660727676035,-0.006271755713855632,0.009145100379368729,0.17391304347826086,0.21739130434782608,0.019769834552942258
BRIDGE_2025,GOLD_UP__LOW_CORR,43,-0.0029238685593883716,-0.009113024398297555,0.0027847494248378615,0.06976744186046512,0.20930232558139536,0.014215821380705191
DEV_2021_2024,GOLD_NEUTRAL__POS_CORR,371,-0.0030320989398508013,-0.006970517751308907,0.0009276341006439617,0.22641509433962265,0.2830188679245283,0.028249997608919313
DEV_2021_2024,GOLD_DOWN__POS_CORR,321,0.0004389471061274976,-0.003922198740348625,0.004598774867831227,0.2554517133956386,0.24922118380062305,0.029148359762954303
DEV_2021_2024,GOLD_UP__POS_CORR,295,0.0006867201693041141,-0.0037923320266359745,0.004900532016946748,0.2542372881355932,0.23728813559322035,0.026781939487218607
DEV_2021_2024,GOLD_NEUTRAL__LOW_CORR,73,0.0033069253349141603,-0.005740101001311504,0.012385822927864679,0.2602739726027397,0.2602739726027397,0.029352132502872733
DEV_2021_2024,GOLD_DOWN__LOW_CORR,53,0.014688963934519949,0.006076673341864426,0.023765435306563353,0.39622641509433965,0.1320754716981132,0.028436328345467433
DEV_2021_2024,GOLD_UP__LOW_CORR,42,0.0046740444780970294,-0.0063666241531707,0.01643627159690156,0.19047619047619047,0.19047619047619047,0.025508854259915607
OOS_2026,GOLD_NEUTRAL__POS_CORR,59,0.0023184950202542894,-0.0051104454776818966,0.010837044697831083,0.1864406779661017,0.23728813559322035,0.022028274533069544
OOS_2026,GOLD_DOWN__POS_CORR,51,0.001885668725282436,-0.007816098971351455,0.011107476495161027,0.23529411764705882,0.21568627450980393,0.02490436552248035
OOS_2026,GOLD_UP__POS_CORR,41,0.004320275122085205,-0.002347162724752876,0.011707618507135907,0.21951219512195122,0.0975609756097561,0.017902317218996114
OOS_2026,GOLD_UP__LOW_CORR,11,0.0037174015071055736,-0.008300108561433636,0.01683967360358027,0.18181818181818182,0.0,0.017812212957942452
OOS_2026,GOLD_NEUTRAL__LOW_CORR,7,0.008093361445195775,-0.002087123621958178,0.020198985695562,0.14285714285714285,0.0,0.013451744394579983
OOS_2026,GOLD_DOWN__LOW_CORR,5,0.013797547222966023,-0.014042403436074125,0.040959392228617955,0.4,0.2,0.03146241036526613
