split,model,side,n,auc,brier,logloss
DEV_2021_2024,BTC_ONLY,CONT,1155,0.5939809968274772,0.1838407347609249,0.5525968481716994
DEV_2021_2024,BTC_ONLY,REV,1155,0.588658829922405,0.18391707769864263,0.5532463671815767
DEV_2021_2024,BTC_PLUS_PAXG,CONT,1155,0.6195689524281388,0.18041440534362724,0.5438341529977293
DEV_2021_2024,BTC_PLUS_PAXG,REV,1155,0.6254584974867545,0.17844741850841672,0.5406930784266473
BRIDGE_2025,BTC_ONLY,CONT,301,0.488824101068999,0.14751508625075735,0.47436362182363623
BRIDGE_2025,BTC_ONLY,REV,301,0.522475795297372,0.16467753286673106,0.5128501698282392
BRIDGE_2025,BTC_PLUS_PAXG,CONT,301,0.48882410106899904,0.1495338422916072,0.4773324026270319
BRIDGE_2025,BTC_PLUS_PAXG,REV,301,0.49647302904564317,0.16670080013539937,0.5196982683598542
OOS_2026,BTC_ONLY,CONT,174,0.3489840205168673,0.1785252037219983,0.5507403407542846
OOS_2026,BTC_ONLY,REV,174,0.6453703703703704,0.1461804642688188,0.4703682119043366
OOS_2026,BTC_PLUS_PAXG,CONT,174,0.43361609784967453,0.18320552855630357,0.5681588191644574
OOS_2026,BTC_PLUS_PAXG,REV,174,0.6347222222222223,0.14915108482068945,0.47258064067467415
