decision_time,entry_time,split,impulse_dir,entry,cont_24h,rev_24h,tail_cont_24h,tail_rev_24h,paxg_z24h,paxg_corr30d,BTC_ONLY_side,BTC_ONLY_conf,BTC_ONLY_top20,BTC_ONLY_chosen_ret,BTC_ONLY_tail_hit,BTC_PLUS_PAXG_side,BTC_PLUS_PAXG_conf,BTC_PLUS_PAXG_top20,BTC_PLUS_PAXG_chosen_ret,BTC_PLUS_PAXG_tail_hit
2021-01-21 08:45:00+00:00,2021-01-21 09:00:00+00:00,DEV_2021_2024,-1.0,33237.74,0.05149086550409265,-0.05149086550409265,1,0,0.46838393301354125,0.05959573628564747,REV,0.2971483021331866,False,-0.05149086550409265,0,REV,0.25703685205722543,False,-0.05149086550409265,0
2021-01-21 14:30:00+00:00,2021-01-21 14:45:00+00:00,DEV_2021_2024,-1.0,31212.28,-0.03445759169147533,0.03445759169147533,0,1,0.6369255152155737,0.053589918347086186,REV,0.29697168403033997,False,0.03445759169147533,1,REV,0.2806758132155193,False,0.03445759169147533,1
2021-01-21 22:00:00+00:00,2021-01-21 22:15:00+00:00,DEV_2021_2024,-1.0,30594.86,-0.09028215850636334,0.09028215850636334,0,1,0.03635151741554935,0.05108392391713597,REV,0.2775257234936304,False,0.09028215850636334,1,REV,0.22663765681890174,False,0.09028215850636334,1
2021-01-22 02:00:00+00:00,2021-01-22 02:15:00+00:00,DEV_2021_2024,1.0,30462.5,0.07049519901518253,-0.07049519901518253,1,0,0.08927694824104901,0.04822549292007091,REV,0.34587682169791617,True,-0.07049519901518253,0,CONT,0.3189595083550813,False,0.07049519901518253,1
2021-01-29 08:30:00+00:00,2021-01-29 08:45:00+00:00,DEV_2021_2024,1.0,33336.16,0.020622351224615976,-0.020622351224615976,0,0,0.38088600054847654,0.062030393584551716,REV,0.31634753292995654,False,-0.020622351224615976,0,CONT,0.28105078150339874,False,0.020622351224615976,0
2021-02-04 09:15:00+00:00,2021-02-04 09:30:00+00:00,DEV_2021_2024,-1.0,37175.54,-0.01034040124232205,0.01034040124232205,0,0,-0.6976191092281213,0.06514798878253783,REV,0.2828318793162218,False,0.01034040124232205,0,REV,0.24266030310650274,False,0.01034040124232205,0
2021-02-08 12:45:00+00:00,2021-02-08 13:00:00+00:00,DEV_2021_2024,1.0,42984.07,0.05388275237779938,-0.05388275237779938,1,0,-0.005009483631725682,0.06424202051230617,CONT,0.35756836279374127,True,0.05388275237779938,1,CONT,0.30854923837617043,False,0.05388275237779938,1
2021-02-08 23:15:00+00:00,2021-02-08 23:30:00+00:00,DEV_2021_2024,1.0,46201.48,0.006234648760169437,-0.006234648760169437,0,0,0.666257178921859,0.06846627205675365,CONT,0.30503348930556184,False,0.006234648760169437,0,CONT,0.34711015911652976,False,0.006234648760169437,0
2021-02-11 13:15:00+00:00,2021-02-11 13:30:00+00:00,DEV_2021_2024,1.0,48070.87,-0.00514594389492018,0.00514594389492018,0,0,0.2790556911962198,0.1339693676369732,CONT,0.24520419349145953,False,-0.00514594389492018,0,CONT,0.2290661342918121,False,-0.00514594389492018,0
2021-02-11 21:15:00+00:00,2021-02-11 21:30:00+00:00,DEV_2021_2024,-1.0,46961.71,-0.014889790001258563,0.014889790001258563,0,0,-0.885366169753608,0.15064752354337324,REV,0.2563524054457857,False,0.014889790001258563,0,CONT,0.1811992160945056,False,-0.014889790001258563,0
