policy,N,total_net,EV,gross_MaxDD,net_MaxDD,PF,negative_months,worst_month,all_years_positive,RH1,RH2,RH3
P0,3535,1848.8748114422258,0.5230197486399507,14.415969159999975,15.827252954613414,2.8612424560027296,1,-0.21696524036153408,True,BASELINE,BASELINE,BASELINE
P1,3535,1996.7867095057215,0.5648618697328773,14.415969159999975,15.827252954613414,3.0330767722832355,1,-1.2195686520360332,True,True,True,True
P2,3535,1829.5235140378418,0.5175455485255563,14.790003439999992,16.201287243884053,2.957714603181071,1,-0.5132234179697848,True,False,True,True
P3,3535,1988.1020445254471,0.5624051045333656,14.790003439999964,16.201287243884053,3.142579707043165,1,-0.4350612246714445,True,True,True,True
P4,3535,2134.3563657315744,0.6037783212819164,14.415969159999975,15.827252954613357,3.1213707159219655,0,2.0768748103357932,True,True,True,True
P5,3535,1984.152227759484,0.561287758913574,13.571548069999835,15.81187101215437,4.309812297037125,0,4.539774092910447,True,True,True,True
P6,3535,1500.273875706486,0.4244056225478037,12.74602288999995,14.085411983651738,2.7724634662636527,1,-2.0305457533620226,True,False,True,True
P7,3535,1643.9741049559152,0.465056323891348,13.853144669999892,15.960635915129956,4.08213991401336,0,3.055391344306626,True,False,True,True
