filename,bytes,sha256
CORE_VERDICT.json,2048,fbb7941516ba37dcfedd45bdc5df0da687181278b8d68b5f95ad161b944424df
ExitTournament_v003_lite_FROZEN.md,1317,97afcd2e28085c11de95aeec6190675f3d62488d19cc7b7665775039d2e1f2a3
FXArena_ExitTournament_v003_lite_Report.md,9678,c55111c4553b30e2debfd9f0da941b903052e21e77771b249eac230a8e98d5da
GATE0_DD_CONVENTION.json,342,0d480865786ec44a268844cef744fa8614f5f093c4aac8745f47517e7b52c962
P0_P7_corrected_tournament_table.csv,1266,9283c3d14a4907b71fb9d9bc3bfec445c1162aec6f6cfd737a6029b208f2b201
P4b_PRIMARY_trades.csv.gz,104228,4129ce0d3097b56aa35e6350c8b16630e70665269736529920dff12590ec5950
P5_SOLO_trades.csv.gz,98376,235aa16571969cc8edea0892d42384eadbcffbc99e7a3aab0f1e9f1f24a859c4
README.txt,493,a9225dd2a28136e253eb49e65e2f4c278a6ab14ac87ec9321f754a99906d83c0
RH4_reverse_chronology_economics.csv,308,465bf80a62881208f0f338cb076836cd19cc5c4222070cad9a1e8df7b989844c
RH5_permutation200.csv,12079,64fd71a408830eea552020c4b6929d5cf4dc81d86d4433773176c3027d9bc090
RH5_summary.json,384,cfc79329b1c777ce8eedaba2e1bee7cbda9f86e48c6a7613383dd7bf10c4dc53
RH6_forensic_bootstrap5000.csv.gz,1197805,2d285152bbebfd5a1373268921c8ec941794d7b20056b1e047fe36fa94638540
RH6_forensic_summary.csv,880,03f6c6a30008d6513c00a7936b45c106852a4f550657a6c7f5bc6137c738e957
RH7_cost_headroom_grid.csv,4624,be90628043e8f7ac8858da88fce79ebf9b290a01efcc6a1da01f68f17395e3aa
RH7_proxy_scenarios.csv,42229,91901a9cbd092e8be1aebb7c153e159181db975512babe628e7d5799740560b1
RH8_dedup_results.csv,1082,076062d3c3b74c3fee096e6ae4572619ac2c1d09a5ca6a89a8a4e7a510e4ecfd
SOURCE_ARTIFACTS_SHA256.csv,449,07dd96a619124cd142471ab8125c910e53fe5831717acbf172fe1d29732044fd
run_v003_lite.py,3551,77afa2c9ef90f67227f816fbf2777c2512492ee4547a27bb2e81b47a22675f03
v003_lite_core_metrics.csv,684,e5ffd712d280822867a17fd68788c71cf75220af21738ce5c1b0ab9239f428a2
