period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,positive_periods,periods_total,skips
historical,CONTROL,5297,0.39022087974325087,0.1322202021482657,1.2256575126182987,700.3704107793633,31.976920699121933,21.902371944106395,14,5,5,0
historical,SKIP_CSTATE_AND_RET15_DIR_LE_0,5297,0.39040966584859355,0.13242234809228076,1.226087619938697,701.4411778448111,31.976920699121933,21.935857565674617,14,5,5,8
forward_2026,CONTROL,544,0.3694852941176471,0.06525338378964178,1.1054907878098506,35.49784078156513,27.632952848676066,1.2846198875653596,16,4,6,0
forward_2026,SKIP_CSTATE_AND_RET15_DIR_LE_0,544,0.3713235294117647,0.06910435340259523,1.112057148186342,37.592768251011805,27.632952848676055,1.3604325407015971,16,4,6,3
