signal_ts,entry_ts,side,entry_k,entry_price,atr,signal_z,confirm_z,confirm_age_min,pre_fav_atr,pre_adv_atr,response_ratio,ret60_atr,eff60,ret15_dir,hyp_R,hyp_exit_ts,hyp_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,mfe_360m,mae_360m,ret_360m,period,event_no,side_name,signal_time,entry_time,hyp_exit_time,control_exact_match,control_exact_R,control_exact_exit_reason,next_D_delay_min,next_D_side,next_D_signal_time,next_D_entry_time,next_D_R,next_control_delay_min,next_control_side,next_control_R,resync_delay_min,control_R_until_resync,D_R_until_resync,stateful_delta_R,control_trades_until_resync,D_trades_until_resync,direct_skip_label,stateful_label
1643804400,1643805000,1,108341,38620.81,108.21071428571356,-1.3209422182897463,-1.5932249628153337,10.0,0.8891910624113174,0.19304927555364454,4.606031570204973,1.0550241450023061,0.24774911922056486,-0.046120261956767404,-1.0118967917532984,1643808300,INITIAL_STOP,0.65788309845212,0.8256114063170134,0.47740189445199754,0.9166375127892286,0.8256114063170134,0.6609327040496806,0.9674642727483035,1.9104392884253356,-1.097950427406831,0.9674642727483035,3.5838410508597667,-2.7772665764546764,0.9674642727483035,14.497732598435666,-11.253783953265849,historical,1,BUY,2022-02-02 12:20:00,2022-02-02 12:30:00,2022-02-02 13:25:00,True,-1.0118967917532984,INITIAL_STOP,15.0,BUY,2022-02-02 12:35:00,2022-02-02 12:45:00,-1.0119383162444258,110.0,SELL,2.3180754439839135,110.0,-1.0118967917532984,-1.0119383162444258,-4.1524491127375995e-05,1,1,GOOD_SKIP,BAD
1695899700,1695900300,1,281868,26492.1,57.02142857142826,-3.6076063868246724,-3.310404819786859,10.0,0.56119253413504,0.31391707378181355,1.787709491511712,1.3170487285481465,0.2209473374521866,-0.522610547413307,1.4845133659025536,1695911400,PROFIT_STOP,0.7681322810973871,0.34548415382683295,-0.21044720030064,0.7681322810973871,1.2030564950519664,-0.862833521232573,0.7681322810973871,1.2030564950519664,-0.38406614054862975,1.19253413503696,1.2030564950519664,0.522610547413307,14.32093198045859,1.2030564950519664,11.148440435926418,historical,2,BUY,2023-09-28 11:15:00,2023-09-28 11:25:00,2023-09-28 14:30:00,True,1.4845133659025536,PROFIT_STOP,10.0,BUY,2023-09-28 11:30:00,2023-09-28 11:35:00,1.4843359594680123,800.0,SELL,-0.0043987500436295165,800.0,1.4845133659025536,1.4843359594680123,-0.0001774064345412274,1,1,BAD_SKIP,BAD
1715343600,1715344200,1,346550,63224.0,187.87142857142888,-2.5625975580086173,-2.5823153595708352,10.0,0.429549083719853,0.3890958862443837,1.1039671654253735,1.0733752620545238,0.18991097922849037,-0.13626834381551378,-1.0112176006894233,1715345400,INITIAL_STOP,0.3369325526576075,0.5599574176868515,-0.48809976427646456,0.3369325526576075,1.7187286137936328,-1.2428712645426183,0.3369325526576075,2.4005779028210745,-2.3207360656984224,0.3369325526576075,5.652802068283772,-5.522393734316773,0.3369325526576075,16.5357767470154,-14.776062656832156,historical,3,BUY,2024-05-10 12:20:00,2024-05-10 12:30:00,2024-05-10 12:50:00,True,-1.0112176006894233,INITIAL_STOP,135.0,SELL,2024-05-10 14:40:00,2024-05-10 14:45:00,2.3981830316996424,845.0,BUY,0.1800242409615288,845.0,-1.0112176006894233,2.3981830316996424,3.4094006323890658,1,1,GOOD_SKIP,GOOD
1721113800,1721114100,-1,365724,63186.6,313.1428571428561,1.1694895488201982,1.0860843489117806,5.0,0.4397354014598462,0.012454379562048484,35.30768947271665,1.1392494886672027,0.22034473014976155,-0.8952706933255482,-1.006726067518245,1721129100,INITIAL_STOP,0.9787864963503683,0.19160583941605905,0.6990419708029267,1.29206204379562,0.19160583941605905,0.9516423357664265,1.6420620437956166,0.19160583941605905,0.7466240875912294,2.6716240875912454,0.19160583941605905,0.8152828467153173,2.6716240875912454,3.4233576642335883,-1.6334397810219032,historical,4,SELL,2024-07-16 07:10:00,2024-07-16 07:15:00,2024-07-16 11:25:00,True,-1.006726067518245,INITIAL_STOP,25.0,SELL,2024-07-16 07:35:00,2024-07-16 07:40:00,-1.0058700860172087,460.0,BUY,2.2974795311988414,460.0,-1.006726067518245,-1.0058700860172087,0.0008559815010362737,1,1,GOOD_SKIP,GOOD
1733044200,1733044500,1,405491,97011.7,190.97857142857123,-1.8189605199589292,-2.356783177265993,5.0,0.45764296667536364,0.13090473875154293,3.495999973293324,1.1341480846197647,0.22554969654759974,-0.4417524299599903,-1.0169323883257744,1733049300,INITIAL_STOP,0.37857650446947744,0.5084340053109471,-0.27699442719823436,0.37857650446947744,0.5356621909713289,0.21677824737260082,0.4623555372704649,0.5356621909713289,-0.5120993379960512,0.4623555372704649,2.233758462056283,0.08063731907099617,2.458914612709013,2.233758462056283,1.3362755731757352,historical,5,BUY,2024-12-01 09:10:00,2024-12-01 09:15:00,2024-12-01 10:35:00,True,-1.0169323883257744,INITIAL_STOP,45.0,BUY,2024-12-01 09:20:00,2024-12-01 10:00:00,-1.0161904183342916,910.0,BUY,1.4877134575009858,1120.0,0.47078106917521145,0.4717492938564849,0.0009682246812734441,2,2,GOOD_SKIP,GOOD
1735484100,1735484400,-1,413624,94568.4,209.76428571428758,1.9489650145811148,1.3376801997354257,5.0,0.501038580719879,0.10058909660499034,4.98104260451206,1.2900804903898875,0.1684910700256684,-1.4512904242215603,2.823453109499311,1735490700,PROFIT_STOP,1.0807368815336709,0.3885313447066401,0.6192665236489605,1.0807368815336709,0.3885313447066401,-0.20546872339703617,1.0807368815336709,1.0330643239010235,0.4767255763271657,4.8883440596587295,1.0330643239010235,3.424319814757976,6.046310484557387,1.0330643239010235,3.662205877345273,historical,6,SELL,2024-12-29 14:55:00,2024-12-29 15:00:00,2024-12-29 16:45:00,True,2.823453109499311,PROFIT_STOP,95.0,SELL,2024-12-29 16:20:00,2024-12-29 16:35:00,0.5622713330993795,150.0,SELL,0.6579546004712868,2005.0,0.45182321954023563,-3.4857353530221764,-3.937558572562412,5,5,BAD_SKIP,BAD
1756911300,1756911600,1,485028,112208.3,417.27142857142564,-1.782101602293522,-1.7646026779878397,5.0,0.5420931904549936,0.0,542093190.4549936,1.845765397055943,0.24632318934418895,-0.5403987061852167,-0.07526741871797557,1756933200,TIME_EXIT,0.3029203327741331,0.36499024273341363,-0.36499024273341363,0.3029203327741331,0.8586736964634318,-0.7366907460029704,0.3029203327741331,0.8586736964634318,-0.09514190831592372,0.3029203327741331,1.3954945393543254,-0.9545345612653771,0.7978020473141756,1.3954945393543254,-0.09945564723201823,historical,7,BUY,2025-09-03 14:55:00,2025-09-03 15:00:00,2025-09-03 21:00:00,True,-0.07526741871797557,TIME_EXIT,45.0,BUY,2025-09-03 15:35:00,2025-09-03 15:45:00,-0.6707452045746428,840.0,SELL,0.8612016984873587,840.0,-0.07526741871797557,-0.6707452045746428,-0.5954777858566672,1,1,GOOD_SKIP,BAD
1757638800,1757639100,1,487453,115900.1,248.79285714285652,-2.0106059423346987,-1.9025456681530073,5.0,0.743188538945171,0.013264046395464059,56.03029880602818,1.2970629611553428,0.20019852348161352,-1.3063075995521263,-1.0155283262993595,1757640900,INITIAL_STOP,0.049438718383002914,0.8336252189142228,-0.3705894174729885,0.07998621917255296,1.7022192874163862,-1.5309925066751273,0.07998621917255296,2.449829175160065,-1.7299532026069127,0.07998621917255296,2.826447704630986,-2.6572306278889797,0.07998621917255296,3.6460049955499736,-2.4679165111538635,historical,8,BUY,2025-09-12 01:00:00,2025-09-12 01:05:00,2025-09-12 01:35:00,True,-1.0155283262993595,INITIAL_STOP,325.0,SELL,2025-09-12 06:10:00,2025-09-12 06:30:00,1.4783548787683618,95.0,BUY,-1.0149040086953265,2950.0,-1.2959478417264418,-0.12920359781786805,1.1667442439085738,5,6,GOOD_SKIP,GOOD
1776089400,1776089700,1,12513,71582.1,220.52857142856996,-3.9565939316164767,-4.405629528748095,5.0,0.6933341970589922,0.13649025069640613,5.079734182051099,1.760963026655238,0.22142934371283837,-0.17583834909713858,2.0029350543067705,1776092700,PROFIT_STOP,0.526008939560799,1.159940402928051,0.08071516486358705,1.7630368594933838,1.159940402928051,1.6401502882684436,3.849387834423786,1.159940402928051,1.4596748072811907,3.849387834423786,1.159940402928051,1.84284511239229,8.432467448338425,1.159940402928051,6.478525620263034,forward_2026,1,BUY,2026-04-13 14:10:00,2026-04-13 14:15:00,2026-04-13 15:05:00,True,2.0029350543067705,PROFIT_STOP,10.0,BUY,2026-04-13 14:20:00,2026-04-13 14:25:00,1.4897396388649886,115.0,BUY,2.507276879352015,720.0,4.510211933658786,3.756561125293864,-0.7536508083649216,2,2,BAD_SKIP,BAD
1776418800,1776419100,1,13611,75717.8,231.8142857142853,-2.768630120945616,-2.6347462461209266,5.0,0.6237751894989466,0.09921735379306112,6.2869564583732584,1.496891537789645,0.19102258123737678,-1.9126547808662737,-1.0108877097841076,1776421800,INITIAL_STOP,0.65742281382878,0.3356134837000193,0.12164910334626239,0.65742281382878,0.6190300117088814,-0.5448326862636482,0.65742281382878,2.9661674986134527,-2.4795710852283404,0.65742281382878,2.9661674986134527,-1.6426942749738247,9.844518395267128,2.9661674986134527,7.567695815615975,forward_2026,2,BUY,2026-04-17 09:40:00,2026-04-17 09:45:00,2026-04-17 10:30:00,True,-1.0108877097841076,INITIAL_STOP,10.0,BUY,2026-04-17 09:50:00,2026-04-17 09:55:00,-1.009090924660458,865.0,SELL,-1.0149351941848188,865.0,-1.0108877097841076,-1.009090924660458,0.001796785123649558,1,1,GOOD_SKIP,GOOD
