period,triggers,direct_good_skips,direct_bad_skips,stateful_good,stateful_bad,hyp_R_sum,stateful_delta_R_sum_event_windows,control_N,D_N,control_SumR,D_SumR,net_full_period_delta_R
historical,8,6,2,4,4,-0.8296021179022117,0.04471379313520174,5297,5297,700.3704107793633,701.4411778448111,1.0707670654478534
forward_2026,3,1,2,2,1,2.4843935864839386,-0.6932434120327218,544,544,35.49784078156513,37.592768251011805,2.0949274694466737
