window,side,real_fills,fills_per_month,cum_R,mean_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,loeo,worst_episode
2021,BUY,1,0.08333333333333333,1.4774834258555554,1.4774834258555554,inf,0.0,0,1,1,0,0.0,1.4774834258555554
2021,SELL,10,0.8333333333333334,-1.2557955294485008,-0.12557955294485007,0.8147365396691377,4.167498796060729,3,7,3,4,-2.6487231435355865,-2.0271480042152303
2022,BUY,6,0.5,0.5106312163884095,0.08510520273140158,1.147242641863201,3.4679574471559844,3,6,3,3,-0.8327137317574094,-1.1938838111221934
2022,SELL,7,0.5833333333333334,-0.8041930878911954,-0.11488472684159934,0.833739562017059,3.589454959843105,3,2,1,1,-2.2128299092387467,-2.2128299092387467
2023,BUY,7,0.5833333333333334,-6.3994920255253875,-0.9142131465036268,0.1694795875795205,6.3994920255253875,4,6,1,5,-6.511297863019429,-1.4949768255769902
2023,SELL,1,0.08333333333333333,-1.304717149417153,-1.304717149417153,0.0,1.304717149417153,1,1,0,1,0.0,-1.304717149417153
2024,BUY,2,0.16666666666666666,-2.393298272881888,-1.196649136440944,0.0,2.393298272881888,2,1,0,1,0.0,-2.393298272881888
2024,SELL,1,0.08333333333333333,1.4228053023726854,1.4228053023726854,inf,0.0,0,1,1,0,0.0,1.4228053023726854
2025_H1,BUY,7,1.1666666666666667,-1.0320957661919326,-0.1474422523131332,0.7737598829496908,3.3881067952301542,3,4,2,2,-1.8582369518393431,-1.1155399899458072
2025_H1,SELL,3,0.5,1.1056593748593109,0.3685531249531036,1.9472585313143906,1.1672202870795236,1,3,2,1,-0.1536932862674616,-1.1672202870795236
2025_H2,BUY,8,1.3333333333333333,4.538198017761122,0.5672747522201402,2.7400630415988383,1.3863099634369287,1,4,2,2,0.8512952460683341,-0.40715302662375075
2025_H2,SELL,3,0.5,-1.5474693102048946,-0.5158231034016315,0.4292238320658568,1.5474693102048946,1,2,0,2,-1.3403618388378409,-1.3403618388378409
2026_JAN_JUL,BUY,6,0.8571428571428571,5.127357573466741,0.8545595955777902,5.379376390081535,1.1707962770862181,1,5,4,1,2.973121877678266,-1.170796277086218
2026_JAN_JUL,SELL,1,0.14285714285714285,-1.3615308322678183,-1.3615308322678183,0.0,1.3615308322678183,1,1,0,1,0.0,-1.3615308322678183
POOLED_RECENT,BUY,14,1.0769230769230769,9.665555591227863,0.6903968279448474,3.5577956283125083,1.3863099634369287,1,9,6,3,5.978652819535075,-1.170796277086218
POOLED_RECENT,SELL,4,0.3076923076923077,-2.909000142472713,-0.7272500356181782,0.2857313472751846,2.909000142472713,2,3,0,3,-2.701892671105659,-1.3615308322678183
HIST_PRE_RECENT,BUY,23,0.42592592592592593,-7.8367714223552465,-0.34072919227631504,0.5677123677166601,12.879828700002149,7,18,7,11,-9.3142548482108,-2.393298272881888
HIST_PRE_RECENT,SELL,22,0.4074074074074074,-0.8362410895248531,-0.03801095861476605,0.9406387219194009,6.238178103378692,4,14,7,7,-2.259046391897538,-2.2128299092387467
ALL_PRE_AUG,BUY,37,0.5522388059701493,1.828784168872619,0.04942659915871943,1.0834776683667098,12.879828700002149,7,27,13,14,-1.8581186028201688,-2.393298272881888
ALL_PRE_AUG,SELL,26,0.3880597014925373,-3.745241231997566,-0.14404773969221407,0.7937644037804696,6.238178103378692,4,16,6,10,-5.168046534370251,-2.2128299092387467
AUG2026_REUSED_AUDIT,BUY,2,2.0,-2.9220094982742264,-1.4610047491371132,0.0,2.9220094982742264,2,1,0,1,0.0,-2.9220094982742264
AUG2026_REUSED_AUDIT,SELL,0,0.0,0.0,,,0.0,0,0,0,0,,
