window,side,real_fills,fills_per_month,cum_R,mean_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,loeo,worst_episode,leave_window_out_remaining_R
2021,BUY,1,0.08333333333333333,1.4774834258555554,1.4774834258555554,inf,0.0,0,1,1,0,0.0,1.4774834258555554,-9.314254848210798
2022,BUY,6,0.5,0.5106312163884095,0.08510520273140158,1.147242641863201,3.4679574471559844,3,6,3,3,-0.8327137317574094,-1.1938838111221934,-8.347402638743652
2023,BUY,7,0.5833333333333334,-6.3994920255253875,-0.9142131465036268,0.1694795875795205,6.3994920255253875,4,6,1,5,-6.511297863019429,-1.4949768255769902,-1.4372793968298554
2024,BUY,2,0.16666666666666666,-2.393298272881888,-1.196649136440944,0.0,2.393298272881888,2,1,0,1,0.0,-2.393298272881888,-5.4434731494733555
2025_H1,BUY,7,1.1666666666666667,-1.0320957661919326,-0.1474422523131332,0.7737598829496908,3.3881067952301542,3,4,2,2,-1.8582369518393431,-1.1155399899458072,-6.80467565616331
