window,buy_fills,sell_fills,buy_cum_R,sell_cum_R,cumR_delta,buy_mean_R,sell_mean_R,meanR_delta
2025_H2,8,3,4.538198017761122,-1.5474693102048946,6.085667327966016,0.5672747522201402,-0.5158231034016315,1.0830978556217716
2026_JAN_JUL,6,1,5.127357573466741,-1.3615308322678183,6.488888405734559,0.8545595955777902,-1.3615308322678183,2.2160904278456086
POOLED_RECENT,14,4,9.665555591227863,-2.909000142472713,12.574555733700576,0.6903968279448474,-0.7272500356181782,1.4176468635630255
HIST_PRE_RECENT,23,22,-7.8367714223552465,-0.8362410895248531,-7.000530332830394,-0.34072919227631504,-0.03801095861476605,-0.302718233661549
ALL_PRE_AUG,37,26,1.828784168872619,-3.745241231997566,5.574025400870185,0.04942659915871943,-0.14404773969221407,0.1934743388509335
