parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R,side
0,2021-01-20 19:45:00+00:00,1903,2021-01-20 21:45:00+00:00,1911,2021-01-20 19:45:00+00:00,1911,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,34752.84,34950.49,34751.11,34892.89,199.37999999999735,1999,0.3254023435307476,0.3254023435307476,0.1321862974266719,0,34793.2,True,2021-01-20 22:00:00+00:00,1912.0,TP,1.5,0.0872534858059997,1.4127465141940003,0.0057304300840393,2021-01-20 22:15:00+00:00,1,0,False,False,0.0,BUY
1,2021-02-12 03:45:00+00:00,4042,2021-02-12 04:15:00+00:00,4044,2021-02-12 03:45:00+00:00,4044,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,47373.6,47373.97,46888.0,47270.78,485.9700000000012,4138,0.3244866617595536,0.3244866617595536,0.1497662613599462,1,47513.765,False,,,NO_FILL,0.0,0.0,0.0,0.0102279834064928,,2,0,False,False,0.0,SELL
2,2021-02-14 07:45:00+00:00,4250,2021-02-14 08:30:00+00:00,4253,2021-02-14 07:45:00+00:00,4253,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,48792.52,48829.4,48600.4,48603.35,229.0,4346,0.3168032941093595,0.3168032941093595,0.150121233639152,2,48717.85,True,2021-02-14 09:00:00+00:00,4255.0,SL,-1.0,0.1063708515283842,-1.1063708515283843,0.0047005358405594,2021-02-14 09:30:00+00:00,2,0,False,False,0.0,SELL
3,2021-02-16 07:45:00+00:00,4442,2021-02-16 09:15:00+00:00,4448,2021-02-16 07:45:00+00:00,4448,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49085.04,49129.43,48900.0,49016.52,229.4300000000003,4538,0.3419328459211035,0.3419328459211035,0.1484178964319936,3,49131.235,True,2021-02-16 09:45:00+00:00,4450.0,TP,1.5,0.1070723859129144,1.3929276140870854,0.0046697381004161,2021-02-16 10:30:00+00:00,2,1,True,True,1.3929276140870854,SELL
4,2021-02-28 07:45:00+00:00,5594,2021-02-28 08:00:00+00:00,5595,2021-02-28 07:45:00+00:00,5595,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44400.83,44899.95,44375.02,44686.68,524.9300000000003,5690,0.4376914264670378,0.4376914264670378,0.1831005441395043,4,44424.215,False,,,NO_FILL,0.0,0.0,0.0,0.0118163033381681,,3,0,False,False,0.0,BUY
5,2021-02-28 19:45:00+00:00,5642,2021-02-28 21:00:00+00:00,5647,2021-02-28 19:45:00+00:00,5647,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44866.37,45380.21,44860.78,45180.17,519.4300000000003,5738,0.3255674189841013,0.3255674189841013,0.2182393752987512,5,44920.455,True,2021-02-28 21:15:00+00:00,5648.0,TP,1.5,0.0432401430414107,1.4567598569585891,0.0115633290001181,2021-02-28 23:00:00+00:00,3,0,False,False,0.0,BUY
6,2021-03-09 07:45:00+00:00,6452,2021-03-09 10:30:00+00:00,6463,2021-03-09 07:45:00+00:00,6463,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54148.43,54150.0,53875.0,54036.01,275.0,6548,0.3221194084086901,0.3221194084086901,0.1441539298824958,6,54173.51,True,2021-03-09 10:45:00+00:00,6464.0,TP,1.5,0.0984972909090909,1.4015027090909091,0.0050762817472967,2021-03-09 12:30:00+00:00,4,0,False,False,0.0,SELL
7,2021-03-10 03:45:00+00:00,6532,2021-03-10 10:00:00+00:00,6557,2021-03-10 03:45:00+00:00,6557,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,55228.0,55389.0,54918.91,54966.53,470.0899999999965,6628,0.3481352848561148,0.3481352848561148,0.1879644624297874,7,55201.575,False,,,NO_FILL,0.0,0.0,0.0,0.008515880208128,,4,1,True,False,0.0,SELL
8,2021-03-23 07:45:00+00:00,7796,2021-03-23 08:45:00+00:00,7800,2021-03-23 07:45:00+00:00,7800,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54278.85,54482.81,54273.11,54309.24,209.6999999999971,7892,0.406214499327816,0.406214499327816,0.232286474047101,8,54204.39,False,,,NO_FILL,0.0,0.0,0.0,0.0038686903403948,,5,0,False,False,0.0,BUY
9,2021-03-25 03:45:00+00:00,7972,2021-03-25 04:00:00+00:00,7973,2021-03-25 03:45:00+00:00,7973,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,52131.51,52391.36,51905.58,52350.01,485.7799999999989,8068,0.4323304786315072,0.4323304786315072,0.1533294432245568,9,52107.12,False,,,NO_FILL,0.0,0.0,0.0,0.0093227182772718,,5,0,False,False,0.0,BUY
10,2021-04-07 19:45:00+00:00,9284,2021-04-07 20:45:00+00:00,9288,2021-04-07 19:45:00+00:00,9288,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,56107.43,56250.0,55984.77,56249.99,265.2300000000032,9380,0.3288254361784641,0.3288254361784641,0.1736719109603664,10,56117.375,True,2021-04-07 21:00:00+00:00,9289.0,TP,1.5,0.1057900218678115,1.3942099781321884,0.0047263436680707,2021-04-07 22:30:00+00:00,6,0,False,False,0.0,BUY
11,2021-04-25 23:45:00+00:00,11000,2021-04-26 00:00:00+00:00,11001,2021-04-25 23:45:00+00:00,11001,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49066.76,49999.99,48753.44,49922.69,1246.5499999999956,11096,0.380958982313418,0.380958982313418,0.2146105779988126,11,49299.41500000001,False,,,NO_FILL,0.0,0.0,0.0,0.0252852898964418,,7,0,False,False,0.0,BUY
12,2021-04-30 19:45:00+00:00,11464,2021-04-30 20:15:00+00:00,11466,2021-04-30 19:45:00+00:00,11466,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,56864.98,57000.0,56667.05,56798.69,332.9499999999971,11560,0.3230393485020826,0.3230393485020826,0.1022329834135287,12,56965.165,True,2021-04-30 20:30:00+00:00,11467.0,SL,-1.0,0.0855461255443767,-1.0855461255443768,0.0058448000633369,2021-04-30 22:30:00+00:00,7,0,False,False,0.0,SELL
13,2021-05-03 11:45:00+00:00,11720,2021-05-03 13:30:00+00:00,11727,2021-05-03 11:45:00+00:00,11727,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,58535.41,58645.09,57938.0,58234.86,707.0899999999965,11816,0.3424134827450351,0.3424134827450351,0.1307084113954935,13,58588.405,False,,,NO_FILL,0.0,0.0,0.0,0.0120687702626483,,7,1,True,False,0.0,SELL
14,2021-05-08 11:45:00+00:00,12200,2021-05-08 12:00:00+00:00,12201,2021-05-08 11:45:00+00:00,12201,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,58556.09,58604.19,58213.76,58337.11,390.4300000000003,12296,0.3364589098833516,0.3364589098833516,0.1185557037616244,14,58532.325,True,2021-05-08 12:15:00+00:00,12202.0,SL,-1.0,0.0749587954306789,-1.074958795430679,0.0066703313083838,2021-05-08 12:45:00+00:00,7,1,True,True,-1.074958795430679,SELL
15,2021-06-08 07:45:00+00:00,15160,2021-06-08 08:00:00+00:00,15161,2021-06-08 07:45:00+00:00,15161,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,32966.7,33299.23,32961.09,33200.55,338.1400000000067,15256,0.4407324081185178,0.4407324081185178,0.2042714646688167,15,33031.48,True,2021-06-08 08:45:00+00:00,15164.0,SL,-1.0,0.0488429053054937,-1.0488429053054935,0.0102369012832608,2021-06-08 09:30:00+00:00,8,0,False,False,0.0,BUY
16,2021-06-14 03:45:00+00:00,15720,2021-06-14 06:00:00+00:00,15729,2021-06-14 03:45:00+00:00,15729,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,39403.79,39514.38,39213.14,39246.75,301.239999999998,15816,0.3496144062333004,0.3496144062333004,0.146557870077051,16,39397.37,True,2021-06-14 06:15:00+00:00,15730.0,SL,-1.0,0.0653919964148191,-1.065391996414819,0.0076461956724521,2021-06-14 06:45:00+00:00,8,1,True,True,-1.065391996414819,SELL
17,2021-06-29 19:45:00+00:00,17224,2021-06-29 20:30:00+00:00,17227,2021-06-29 19:45:00+00:00,17227,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,36373.62,36411.1,36300.0,36304.01,111.09999999999854,17320,0.336863623911175,0.336863623911175,0.1121579200560352,17,36359.56,False,,,NO_FILL,0.0,0.0,0.0,0.0030555925319227,,9,0,False,False,0.0,SELL
18,2021-07-15 15:45:00+00:00,18744,2021-07-15 18:15:00+00:00,18754,2021-07-15 15:45:00+00:00,18754,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,31315.0,31449.99,31308.0,31400.06,141.9900000000016,18840,0.3867441953712883,0.3867441953712883,0.1267230585405572,18,31329.065,False,,,NO_FILL,0.0,0.0,0.0,0.0045322131381833,,10,0,False,False,0.0,BUY
19,2021-07-15 19:45:00+00:00,18760,2021-07-15 20:00:00+00:00,18761,2021-07-15 19:45:00+00:00,18761,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,31538.92,31652.08,31528.52,31639.48,123.56000000000132,18856,0.3796396668775148,0.3796396668775148,0.1462549719742019,19,31577.7,False,,,NO_FILL,0.0,0.0,0.0,0.0039128878924051,,10,0,False,False,0.0,BUY
20,2021-07-20 11:45:00+00:00,19208,2021-07-20 12:00:00+00:00,19209,2021-07-20 11:45:00+00:00,19209,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,29693.63,29787.66,29651.44,29722.8,136.22000000000116,19304,0.4096990922314198,0.4096990922314198,0.1381725876446218,20,29654.69,True,2021-07-20 12:15:00+00:00,19210.0,SL,-1.0,0.1088485171046826,-1.108848517104683,0.0045935398414214,2021-07-20 13:15:00+00:00,10,0,False,False,0.0,BUY
21,2021-07-23 07:45:00+00:00,19480,2021-07-23 08:15:00+00:00,19482,2021-07-23 07:45:00+00:00,19482,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,32479.28,32540.2,32317.88,32448.0,222.3199999999997,19576,0.3900526743151861,0.3900526743151861,0.1165890316773532,21,32559.16,False,,,NO_FILL,0.0,0.0,0.0,0.0068281859851421,,10,1,True,False,0.0,SELL
22,2021-07-24 11:45:00+00:00,19592,2021-07-24 13:45:00+00:00,19600,2021-07-24 11:45:00+00:00,19600,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,33829.11,33829.12,33767.24,33783.09,61.88000000000466,19688,0.3372424180759674,0.3372424180759674,0.1065647355661378,22,33814.03,True,2021-07-24 14:30:00+00:00,19603.0,SL,-1.0,0.2732226082740583,-1.2732226082740583,0.0018300096143525,2021-07-24 14:45:00+00:00,10,1,True,True,-1.2732226082740583,SELL
23,2021-07-31 03:45:00+00:00,20232,2021-07-31 04:00:00+00:00,20233,2021-07-31 03:45:00+00:00,20233,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41810.0,41876.34,41500.0,41653.14,376.3399999999965,20328,0.3871639134886123,0.3871639134886123,0.1710088514007932,23,41841.31,True,2021-07-31 05:00:00+00:00,20237.0,TP,1.5,0.0555897725461024,1.4444102274538977,0.0089944602594898,2021-07-31 05:30:00+00:00,10,2,True,True,1.4444102274538977,SELL
24,2021-08-04 11:45:00+00:00,20648,2021-08-04 12:00:00+00:00,20649,2021-08-04 11:45:00+00:00,20649,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,38160.06,38415.0,38154.32,38374.96,260.6800000000003,20744,0.3666010564667508,0.3666010564667508,0.1828043872819446,24,38244.62,False,,,NO_FILL,0.0,0.0,0.0,0.00681612211077,,10,3,True,False,0.0,BUY
25,2021-08-10 03:45:00+00:00,21192,2021-08-10 04:30:00+00:00,21195,2021-08-10 03:45:00+00:00,21195,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,45749.62,45757.72,45500.0,45544.13,257.7200000000012,21288,0.351879797476052,0.351879797476052,0.1393840074087985,25,45672.99,True,2021-08-10 05:00:00+00:00,21197.0,SL,-1.0,0.0886097120906406,-1.0886097120906406,0.0056427223179389,2021-08-10 07:45:00+00:00,10,3,True,True,-1.0886097120906406,SELL
26,2021-08-14 11:45:00+00:00,21590,2021-08-14 12:15:00+00:00,21592,2021-08-14 11:45:00+00:00,21592,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,46407.88,46474.57,46263.06,46310.5,211.51000000000204,21686,0.3421296469425918,0.3421296469425918,0.1739727251691462,26,46416.255000000005,True,2021-08-14 12:30:00+00:00,21593.0,SL,-1.0,0.109725911304429,-1.109725911304429,0.0045568088162218,2021-08-14 14:00:00+00:00,10,4,True,True,-1.109725911304429,SELL
27,2021-08-21 19:45:00+00:00,22294,2021-08-21 23:15:00+00:00,22308,2021-08-21 19:45:00+00:00,22308,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49290.01,49320.71,49108.03,49138.21,212.6800000000003,22390,0.3167368055580153,0.3167368055580153,0.1243833103203724,27,49244.55,False,,,NO_FILL,0.0,0.0,0.0,0.004318853558414,,11,0,False,False,0.0,SELL
28,2021-08-23 07:45:00+00:00,22438,2021-08-23 08:30:00+00:00,22441,2021-08-23 07:45:00+00:00,22441,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,50208.19,50217.0,50118.88,50122.87,98.12000000000262,22534,0.3641551374221985,0.3641551374221985,0.1552424509927173,28,50171.93000000001,True,2021-08-23 08:45:00+00:00,22442.0,SL,-1.0,0.2556661740725574,-1.2556661740725574,0.001955675215205,2021-08-23 08:45:00+00:00,11,0,False,False,0.0,SELL
29,2021-08-23 11:45:00+00:00,22454,2021-08-23 13:15:00+00:00,22460,2021-08-23 11:45:00+00:00,22460,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,50205.01,50237.65,50100.0,50193.14,137.65000000000146,22550,0.3360239187434691,0.3360239187434691,0.1402655715762252,29,50261.965,True,2021-08-23 13:30:00+00:00,22461.0,TP,1.5,0.1825716127860496,1.3174283872139505,0.0027386513838048,2021-08-23 14:30:00+00:00,11,1,True,True,1.3174283872139505,SELL
30,2021-09-15 03:45:00+00:00,24630,2021-09-15 04:45:00+00:00,24634,2021-09-15 03:45:00+00:00,24634,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,46990.01,47054.27,46831.78,46867.71,222.489999999998,24726,0.3591589494166794,0.3591589494166794,0.1387511480657345,30,46978.955,True,2021-09-15 05:00:00+00:00,24635.0,SL,-1.0,0.1055754303564215,-1.1055754303564216,0.0047359503845923,2021-09-15 07:45:00+00:00,12,0,False,False,0.0,SELL
31,2021-09-15 19:45:00+00:00,24694,2021-09-15 20:00:00+00:00,24695,2021-09-15 19:45:00+00:00,24695,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,48075.44,48178.98,48030.9,48051.74,148.08000000000175,24790,0.3243919085854343,0.3243919085854343,0.1182931741199681,31,48125.78,False,,,NO_FILL,0.0,0.0,0.0,0.0030769371426292,,12,1,True,False,0.0,SELL
32,2021-09-15 23:45:00+00:00,24710,2021-09-16 00:30:00+00:00,24713,2021-09-15 23:45:00+00:00,24713,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,48015.46,48023.09,47841.55,47883.37,181.5399999999936,24806,0.3207692615297593,0.3207692615297593,0.1421475042124038,32,47974.14,True,2021-09-16 01:00:00+00:00,24715.0,TP,1.5,0.132131045499619,1.367868954500381,0.0037841220290763,2021-09-16 03:15:00+00:00,12,1,True,True,1.367868954500381,SELL
33,2021-09-21 23:45:00+00:00,25286,2021-09-22 00:00:00+00:00,25287,2021-09-21 23:45:00+00:00,25287,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,40734.09,41487.66,40579.77,41339.09,907.8900000000068,25382,0.3784071280405359,0.3784071280405359,0.283301303558447,33,40885.14499999999,True,2021-09-22 00:30:00+00:00,25289.0,TP,1.5,0.0225165741444446,1.4774834258555554,0.0222058647462301,2021-09-22 01:45:00+00:00,12,2,True,True,1.4774834258555554,BUY
34,2021-10-01 23:45:00+00:00,26238,2021-10-02 02:00:00+00:00,26247,2021-10-01 23:45:00+00:00,26247,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,47736.81,47791.89,47634.94,47679.4,156.9499999999971,26334,0.3277543741075089,0.3277543741075089,0.1207475905428845,34,47757.875,True,2021-10-02 02:15:00+00:00,26248.0,TP,1.5,0.1521435966868457,1.347856403313154,0.0032863690019708,2021-10-02 03:15:00+00:00,13,0,False,False,0.0,SELL
35,2021-10-05 03:45:00+00:00,26542,2021-10-05 04:15:00+00:00,26544,2021-10-05 03:45:00+00:00,26544,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49299.99,49318.89,49170.89,49216.42,148.0,26638,0.3937136665496076,0.3937136665496076,0.1386696846678946,35,49290.42,True,2021-10-05 05:00:00+00:00,26547.0,SL,-1.0,0.1665216891891892,-1.1665216891891892,0.0030026118665655,2021-10-05 06:30:00+00:00,13,1,True,True,-1.1665216891891892,SELL
36,2021-10-15 07:45:00+00:00,27518,2021-10-15 10:15:00+00:00,27528,2021-10-15 07:45:00+00:00,27528,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,59248.8,59398.97,59000.0,59015.67,398.9700000000012,27614,0.3170809003385542,0.3170809003385542,0.1828317199702373,36,59215.155,True,2021-10-15 10:45:00+00:00,27530.0,SL,-1.0,0.0742100345890666,-1.0742100345890666,0.0067376332967464,2021-10-15 13:15:00+00:00,14,0,False,False,0.0,SELL
37,2021-11-26 15:45:00+00:00,31582,2021-11-26 16:30:00+00:00,31585,2021-11-26 15:45:00+00:00,31585,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54344.93,54505.48,54257.88,54377.0,247.60000000000585,31678,0.3667074141393087,0.3667074141393087,0.1529916210353039,37,54253.2,True,2021-11-26 17:00:00+00:00,31587.0,TP,1.5,0.1095581583198681,1.390441841680132,0.0045637860992532,2021-11-26 17:30:00+00:00,15,0,False,False,0.0,BUY
38,2021-11-28 19:45:00+00:00,31790,2021-11-28 20:45:00+00:00,31794,2021-11-28 19:45:00+00:00,31794,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54881.91,54989.2,54822.44,54918.51,166.75999999999476,31886,0.3223360568630702,0.3223360568630702,0.1493269124643774,38,54835.130000000005,False,,,NO_FILL,0.0,0.0,0.0,0.0030411161603883,,15,1,True,False,0.0,BUY
39,2021-12-24 03:45:00+00:00,34222,2021-12-24 04:30:00+00:00,34225,2021-12-24 03:45:00+00:00,34225,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,51036.0,51080.68,51007.63,51007.63,73.05000000000291,34318,0.3152240963523093,0.3152240963523093,0.1524811609993947,39,51044.155,True,2021-12-24 04:45:00+00:00,34226.0,TP,1.5,0.3493781998630935,1.1506218001369064,0.0014311139052062,2021-12-24 04:45:00+00:00,16,0,False,False,0.0,SELL
40,2022-01-07 07:45:00+00:00,35582,2022-01-07 08:00:00+00:00,35583,2022-01-07 07:45:00+00:00,35583,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41706.71,41800.0,41607.5,41754.17,192.5,35678,0.3891158491495493,0.3891158491495493,0.2174693442151616,40,41657.92,True,2022-01-07 08:15:00+00:00,35584.0,TP,1.5,0.1082023896103896,1.3917976103896104,0.0046209700340295,2022-01-07 08:15:00+00:00,17,0,False,False,0.0,BUY
41,2022-02-01 11:45:00+00:00,37998,2022-02-01 13:00:00+00:00,38003,2022-02-01 11:45:00+00:00,38003,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,38650.01,38711.58,38589.98,38625.08,121.59999999999854,38094,0.3739888059493246,0.3739888059493246,0.1210835771373208,41,38685.880000000005,True,2022-02-01 13:15:00+00:00,38004.0,SL,-1.0,0.1590702302631598,-1.15907023026316,0.0031432657083152,2022-02-01 13:15:00+00:00,18,0,False,False,0.0,SELL
42,2022-02-01 19:45:00+00:00,38030,2022-02-01 22:15:00+00:00,38040,2022-02-01 19:45:00+00:00,38040,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,38779.59,38797.93,38731.0,38731.0,66.93000000000029,38126,0.3519300422183044,0.3519300422183044,0.1278090658155459,42,38764.465,True,2022-02-01 23:15:00+00:00,38044.0,SL,-1.0,0.289589608546241,-1.289589608546241,0.0017265812903647,2022-02-01 23:15:00+00:00,18,1,True,True,-1.289589608546241,SELL
43,2022-02-05 03:45:00+00:00,38350,2022-02-05 04:45:00+00:00,38354,2022-02-05 03:45:00+00:00,38354,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41486.88,41496.64,41369.69,41465.42,126.94999999999708,38446,0.342302638478252,0.342302638478252,0.1516167874702038,43,41528.895,True,2022-02-05 05:15:00+00:00,38356.0,SL,-1.0,0.1635639818826346,-1.1635639818826349,0.0030569077265358,2022-02-05 05:45:00+00:00,18,2,True,True,-1.1635639818826349,SELL
44,2022-02-06 15:45:00+00:00,38494,2022-02-06 18:15:00+00:00,38504,2022-02-06 15:45:00+00:00,38504,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41607.7,41647.86,41495.24,41528.32,152.62000000000262,38590,0.3258477562497378,0.3258477562497378,0.2050105519284626,44,41604.630000000005,True,2022-02-06 19:15:00+00:00,38508.0,SL,-1.0,0.1363013694142291,-1.136301369414229,0.003668341720621,2022-02-06 22:45:00+00:00,18,3,True,True,-1.136301369414229,SELL
45,2022-02-07 07:45:00+00:00,38558,2022-02-07 08:15:00+00:00,38560,2022-02-07 07:45:00+00:00,38560,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,42682.57,42694.99,42522.08,42579.07,172.90999999999622,38654,0.3259830104112768,0.3259830104112768,0.2289898831918616,45,42665.525,True,2022-02-07 08:45:00+00:00,38562.0,TP,1.5,0.123374949395642,1.376625050604358,0.0040526865660271,2022-02-07 09:30:00+00:00,18,4,True,True,1.376625050604358,SELL
46,2022-02-14 03:45:00+00:00,39214,2022-02-14 06:15:00+00:00,39224,2022-02-14 03:45:00+00:00,39224,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41809.67,41978.99,41800.35,41868.98,178.63999999999942,39310,0.4110710020771134,0.4110710020771134,0.2081562730121343,46,41779.66,False,,,NO_FILL,0.0,0.0,0.0,0.0042757648099577,,18,5,True,False,0.0,BUY
47,2022-02-18 19:45:00+00:00,39662,2022-02-18 22:30:00+00:00,39673,2022-02-18 19:45:00+00:00,39673,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,39848.22,39975.5,39848.22,39941.75,127.27999999999884,39758,0.3470341174465148,0.3470341174465148,0.1365390713620627,47,39878.11,True,2022-02-18 22:45:00+00:00,39674.0,TP,1.5,0.1566550518541812,1.3433449481458188,0.0031917259870138,2022-02-18 23:30:00+00:00,18,5,True,True,1.3433449481458188,BUY
48,2022-03-18 23:45:00+00:00,42366,2022-03-19 01:30:00+00:00,42373,2022-03-18 23:45:00+00:00,42373,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41767.41,41826.97,41682.05,41736.29,144.91999999999825,42462,0.3437440820952923,0.3437440820952923,0.1245204202818275,48,41808.75,True,2022-03-19 01:45:00+00:00,42374.0,TP,1.5,0.1442476883797974,1.3557523116202026,0.0034662600532184,2022-03-19 03:45:00+00:00,19,0,False,False,0.0,SELL
49,2022-03-19 23:45:00+00:00,42462,2022-03-20 00:30:00+00:00,42465,2022-03-19 23:45:00+00:00,42465,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,42143.54,42143.93,41927.12,42041.0,216.80999999999767,42558,0.3604038728808098,0.3604038728808098,0.1220210878732076,49,42149.405,False,,,NO_FILL,0.0,0.0,0.0,0.0051438448538003,,19,1,True,False,0.0,SELL
