path_mode,tf,N,WR,EV_base_R,PF,sum_base_R,sum_usd,full_risk_N,reduced_risk_share,final_balance,max_dd_usd,max_dd_pct,daily_guard_days,ambiguous_oco_count,candidate_bars,filter_pass_bars,window_count,actual_14d_pass_rate,permutation_mean_pass_rate,permutation_p95_pass_rate,actual_above_perm95,verdict
primary,M15,1071,0.942110177404295,0.1500770088020483,4.549816891585877,160.73247642699374,395667.1699999414,1009,0.05788982259570495,495667.1699999405,6411.239999999583,1.2889192397579787,40,6,16601,1362,1486,0.05518169582772544,0.03372409152086137,0.04845222072678331,True,REGIME
primary,H1,990,0.9555555555555556,0.10473154555406902,4.513161603076773,103.68423009852833,180872.41999996753,946,0.044444444444444446,280872.41999996774,3006.100000000035,1.0702724033923943,37,0,4204,1233,1489,0.004029550033579583,0.0,0.0,True,REGIME
mirror,M15,1064,0.9398496240601504,0.143174165559545,4.379952048030563,152.3373121553559,356039.88999994646,1001,0.05921052631578947,456039.88999994594,6098.449999999721,1.3285775885761648,44,6,16584,1354,1486,0.04306864064602961,0.02950740242261104,0.04374158815612382,False,GO
mirror,H1,989,0.9534883720930233,0.10022448846018,4.167665985278414,99.12201908711802,168381.14999996906,943,0.046511627906976744,268381.1499999688,3547.0599999999686,1.3215528963744496,38,0,4201,1229,1489,0.0,3.089321692411014e-05,0.0,False,GO
