split,limit,n,mean_delta,ci_lo,ci_hi,limit_mean,mkt0_matched_mean
BRIDGE_2025,LIMIT_R0.50_T60,18,0.0031859847968061703,0.0021932052101150137,0.00439009518267199,0.005190227783170853,0.002004242986364683
DEV_2021_2024,LIMIT_R0.50_T60,77,0.005993024326634942,0.0051452583805688835,0.006941053528262177,0.006796754174249282,0.0008037298476143399
OOS_2026,LIMIT_R0.50_T60,14,0.004367260997305619,0.003165689152864033,0.005529478245346893,0.019220484768370977,0.014853223771065358
