split,method,signal_n,filled_n,fill_rate,mean_rev,ci_lo,ci_hi,positive_rate,mean_mfe,mean_mae,mean_price_improvement
BRIDGE_2025,LIMIT_R0.25_T60_AUDIT,27,20,0.7407407407407407,0.0032590142548336474,-0.006365486554689246,0.013048730480065994,0.55,0.0243989372029695,0.02123009255011177,0.0017311942350360786
BRIDGE_2025,LIMIT_R0.50_T60,27,18,0.6666666666666666,0.005190227783170853,-0.0060503723313470505,0.015979389714256848,0.5555555555555556,0.02669414570600024,0.020734548172779532,0.003169562365565216
BRIDGE_2025,LIMIT_R1.00_T60_AUDIT,27,9,0.3333333333333333,0.00966942752342834,-0.010328380267628872,0.030962416024389317,0.5555555555555556,0.030761955359821885,0.02139905723506934,0.007143885527269863
BRIDGE_2025,MKT_0,27,27,1.0,0.0039184233718412495,-0.006540759655644203,0.014893002607261827,0.5555555555555556,0.026215364472240515,0.023290603478611612,
BRIDGE_2025,MKT_15,27,27,1.0,0.003338567492317995,-0.0076468339595050835,0.014211439195583656,0.5555555555555556,0.025610114002112667,0.022898798226665563,
BRIDGE_2025,MKT_30,27,27,1.0,0.003294810006701526,-0.007960495260732356,0.014851321045363752,0.5555555555555556,0.02544208044715825,0.022777305095336636,
BRIDGE_2025,MKT_60,27,27,1.0,0.003174535169205488,-0.007682192223125591,0.014239467326451488,0.5555555555555556,0.024890449418477272,0.022767321120620035,
DEV_2021_2024,LIMIT_R0.25_T60_AUDIT,122,92,0.7540983606557377,0.004038440483675787,-0.0059078294544171,0.014076604499744525,0.6086956521739131,0.04483122014793338,0.04573352313537633,0.003151957758893294
DEV_2021_2024,LIMIT_R0.50_T60,122,77,0.6311475409836066,0.006796754174249282,-0.004469495968384772,0.01789199065487391,0.6363636363636364,0.047499382117452374,0.044982936025674075,0.005941570585617637
DEV_2021_2024,LIMIT_R1.00_T60_AUDIT,122,46,0.3770491803278688,0.012546936484467412,-0.0035447255575777937,0.029520868263103333,0.6304347826086957,0.054829346746757934,0.048073942855544415,0.01102511084267741
DEV_2021_2024,MKT_0,122,122,1.0,0.005034683323620599,-0.004279010212450928,0.014008116270160187,0.5327868852459017,0.045909454104420704,0.044339708879109346,
DEV_2021_2024,MKT_15,122,122,1.0,0.005297125824883368,-0.004111614633591227,0.014478059637257384,0.5737704918032787,0.045743174941916036,0.04331141228318681,
DEV_2021_2024,MKT_30,122,122,1.0,0.004241246895082386,-0.004778751084997272,0.013021292784670192,0.5327868852459017,0.0443805460746234,0.043704035641140365,
DEV_2021_2024,MKT_60,122,122,1.0,0.004811687150056903,-0.0038275161426095045,0.013314790470899491,0.5819672131147541,0.04416241623877798,0.042168871337141374,
OOS_2026,LIMIT_R0.25_T60_AUDIT,21,16,0.7619047619047619,0.01907062898184527,-0.004686706059546942,0.0431962594999665,0.625,0.045845929952998896,0.03375114362868726,0.002027057308211926
OOS_2026,LIMIT_R0.50_T60,21,14,0.6666666666666666,0.019220484768370977,-0.007910601074184993,0.046883172429643696,0.5714285714285714,0.04790843229814803,0.03606874478515848,0.004182840931407843
OOS_2026,LIMIT_R1.00_T60_AUDIT,21,10,0.47619047619047616,0.028103643468943885,-0.007958968824171369,0.06510093350763617,0.6,0.05732451428510864,0.03058193282179142,0.008439863436352479
OOS_2026,MKT_0,21,21,1.0,0.012188553817460746,-0.0058019179748417015,0.030883494660665912,0.6190476190476191,0.03877792558667234,0.03236128706718684,
OOS_2026,MKT_15,21,21,1.0,0.014935127845762517,-0.004605565625827081,0.03708270742640509,0.5714285714285714,0.04155159846105827,0.02907184325536915,
OOS_2026,MKT_30,21,21,1.0,0.01287720060021442,-0.007009271695689812,0.033914170990609734,0.5714285714285714,0.03927881040251829,0.029427111409124875,
OOS_2026,MKT_60,21,21,1.0,0.008918208686922465,-0.011270172884723477,0.029194594472315993,0.6190476190476191,0.03527346436632681,0.031167856153111118,
