method,filled,fill_bar,entry,price_improvement_vs_mkt0,rev_return,mfe,mae,event_row,event_time,split,impulse_dir
LIMIT_R0.50_T60,True,5116.0,47570.675,0.017909529218480078,0.061408315101688205,0.07959367824820641,0.05629760351308879,17,2021-02-23 08:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,5116.0,47997.4275,0.009099278709480876,0.05197117074659907,0.0699948450362262,0.06468820646689867,17,2021-02-23 08:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,True,5118.0,46717.17,0.035530030236478785,0.08079984296994036,0.0993174458127494,0.03905651819234771,17,2021-02-23 08:00:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,5132.0,46576.83,,0.09107253542158178,0.10301602749693348,0.02846544086405197,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5133.0,46429.11,,0.09454391867515866,0.10652541045908477,0.025374382580239004,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,5134.0,47686.24,,0.06568897023543907,0.07735459956582863,0.051067981036038865,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5136.0,49254.07,,0.031766511884195436,0.04306080695463336,0.0812738926955681,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,5133.0,46176.645000000004,0.0085919329417652,0.10052819991577988,0.11257519899940746,0.020045739572461446,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,5133.0,46376.6675,0.004297469364059309,0.09578162337774687,0.10777666377171224,0.02427228088348528,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,18,2021-02-23 12:00:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,5150.0,47428.01,,0.04531583762422242,0.08322044294078533,0.04590135660340803,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5151.0,47361.41,,0.04678576925813638,0.0847436763390278,0.044559695330016635,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,5152.0,46954.15,,0.05586513652147884,0.0941522740801398,0.03627261914016123,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5154.0,47302.32,,0.048093412754385056,0.08609873680614394,0.043366160475849805,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,False,,,,,,,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,5151.0,47132.75,0.006225435138434061,0.051864149662389725,0.0900062058759567,0.03992446865502225,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,19,2021-02-23 16:30:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,5166.0,47264.16,,-0.02889081282730932,0.005828306268428364,0.08697562804459011,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
MKT_15,True,5167.0,47812.8,,-0.017084546397617473,0.01723617943312252,0.07450285279255753,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
MKT_30,True,5168.0,47958.63,,-0.013991850893155355,0.02022451433662711,0.07123556281736991,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
MKT_60,True,5170.0,48411.0,,-0.00451674206275432,0.029379892999524853,0.061225547912664435,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,True,5166.0,47629.420000000006,0.0077280544073987986,-0.02100046567856584,0.013452399798276005,0.07863984066990512,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,True,5166.0,47449.450000000004,0.003920306634033078,-0.024872996420401083,0.00971054459008486,0.08273099055942679,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,True,5167.0,47989.36000000001,0.01534354995413024,-0.013342540929905944,0.02085191384090151,0.0705495968272965,20,2021-02-23 20:30:00+00:00,DEV_2021_2024,1.0
MKT_0,True,5185.0,49171.09,,-0.033791400597383614,0.023243535988321518,0.044821052370407115,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
MKT_15,True,5186.0,49722.31,,-0.022330820913187832,0.03407182811900729,0.033238198305750484,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
MKT_30,True,5187.0,50191.68,,-0.012770443228838024,0.04310475361653565,0.02357581973745445,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
MKT_60,True,5189.0,50012.99,,-0.01638894215282871,0.03968588960588035,0.02723292488611459,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,True,5185.0,49487.205,0.006428879245914729,-0.02718773468818858,0.02948287340131659,0.038146931110778964,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,True,5185.0,49326.662500000006,0.003163901796767355,-0.030530902024842987,0.02632415075720976,0.04152576712442266,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,True,5185.0,49808.29000000001,0.012958834144209772,-0.020566054365648734,0.035739231360884055,0.031454603239741606,21,2021-02-24 01:15:00+00:00,DEV_2021_2024,1.0
MKT_0,True,5373.0,46752.35,,-0.0006716239932325063,0.035757774742873935,0.05658688814572957,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5374.0,46170.09,,0.011931100849056131,0.04881991782991985,0.044689321593265205,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
