sample,signals,trades,utilization,ev_trade,policy_ev_signal,cum_atr,t_trade,pf_trade,maxdd_policy_atr,stop_rate,median_hold_h,long_trades,short_trades,window
2021,631,322,0.5103011093502378,0.31584002170248915,0.16117351345198336,101.70048698820149,1.5113383596294234,1.2994931004528905,40.919440492145895,0.6521739130434783,4.875,162,160,2021
2022,529,268,0.5066162570888468,0.37697562559491204,0.1909819804526208,101.0294676594364,1.6042483864756303,1.3451012035638488,50.38527094421339,0.6604477611940298,4.25,136,132,2022
2023,572,265,0.4632867132867133,0.24359251740746074,0.11285317677093894,64.55201711297707,0.9623957417516327,1.205778007949277,40.27750096733158,0.6830188679245283,4.25,133,132,2023
2024,583,253,0.4339622641509434,0.12832883317765809,0.05568987100162524,32.46719479394751,0.5903073856215012,1.1133575645112224,33.49024094326395,0.6758893280632411,5.0,122,131,2024
2025_H1,256,128,0.5,0.3119778969697013,0.15598894848485065,39.933170812121766,0.8464939833438693,1.2711922066023598,37.186561235297326,0.6875,4.125,68,60,2025_H1
2025_H2,309,132,0.42718446601941745,-0.1987226547436282,-0.08489123115261787,-26.231390426158924,-0.6419175443652023,0.8475425758186208,62.93140034108269,0.7651515151515151,3.875,57,75,2025_H2
2026_JAN_JUL,316,128,0.4050632911392405,-0.15432897524744146,-0.06251300263187505,-19.754108831672518,-0.6038973807821997,0.8731817038641276,39.35140952404929,0.703125,4.125,58,70,2026_JAN_JUL
AUG2026_REUSED_AUDIT,13,5,0.38461538461538464,-1.4085949026692182,-0.5417672702573916,-7.04297451334609,-3.0885445821041406,0.05187272424411665,7.042974513346091,0.8,2.0,5,0,AUG2026_REUSED_AUDIT
ALL_PRE_AUG,3196,1496,0.46808510638297873,0.19632141584816365,0.09189513082254469,293.69683810885283,2.028899527615415,1.1720025405410335,67.4956302217534,0.68048128342246,4.5,736,760,ALL_PRE_AUG
POOLED_RECENT,625,260,0.416,-0.1768673048378132,-0.0735767988125303,-45.98549925783144,-0.8801953452938168,0.8597251144332771,67.49563022175337,0.7346153846153847,4.0,115,145,POOLED_RECENT
