sample,signals,trades,utilization,ev_trade,policy_ev_signal,cum_atr,t_trade,pf_trade,maxdd_policy_atr,stop_rate,median_hold_h,long_trades,short_trades
ACCEPT_BOUNDED,3196,1496,0.46808510638297873,0.19632141584816365,0.09189513082254469,293.69683810885283,2.028899527615415,1.1720025405410335,67.4956302217534,0.68048128342246,4.5,736,760
ACCEPT_NOSTOP,3196,1496,0.46808510638297873,0.3794282928490352,0.1776047328229526,567.6247261021565,2.637381398236814,1.2216149505697418,139.58965003389096,,4.5,736,760
IMMEDIATE_BOUNDED,3196,3196,1.0,0.09903369743752562,0.09903369743752562,316.5116970103319,1.5212663830283344,1.0848424647924089,167.9611778035465,0.6930538172715894,,1563,1633
IMMEDIATE_NOSTOP,3196,3196,1.0,0.19282486297044094,0.19282486297044094,616.2682620535293,1.8334177803743574,1.1021082026697349,231.4313585976371,,,1563,1633
