period,cost_model,mode,subperiod,N,WR,EV_R,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
historical,GROSS,MARKET_RAW,2021,1090,0.41467889908256883,0.16191474364947336,1.2869300428622574,176.48707057792598,16.41392313809483,10.752278361065294,10
historical,GROSS,MARKET_RAW,2022,1036,0.39768339768339767,0.1611606185564976,1.2881681208790814,166.96240082453153,18.285502501388493,9.130862048327815,14
historical,GROSS,MARKET_RAW,2023,1087,0.38546458141674333,0.128122856714643,1.222410047551182,139.26954524881694,26.80755194767248,5.195160883047689,12
historical,GROSS,MARKET_RAW,2024,1098,0.3989071038251366,0.1290980634352858,1.2274124402133024,141.7496736519438,20.470962354346753,6.924426472888561,10
historical,GROSS,MARKET_RAW,2025,1094,0.39945155393053017,0.1182482939380314,1.203969748576944,129.36363356820635,25.807499819793527,5.012637197385102,12
historical,GROSS,CONFIRM_CANONICAL,2021,1071,0.3949579831932773,0.11101301398339405,1.1924879162546944,118.89493797621503,31.123306879905428,3.820125491002334,11
historical,GROSS,CONFIRM_CANONICAL,2022,1009,0.41526263627353815,0.22518774774101893,1.4062528610487877,227.2144374706881,24.28522587595191,9.356076761702425,9
historical,GROSS,CONFIRM_CANONICAL,2023,1065,0.38309859154929576,0.17137184597610272,1.2954924599576745,182.5110159645494,28.420067685928586,6.4219064493964835,14
historical,GROSS,CONFIRM_CANONICAL,2024,1075,0.3851162790697674,0.10164591850563735,1.1734554277991442,109.26936239356016,27.461845205680774,3.9789519449682365,9
historical,GROSS,CONFIRM_CANONICAL,2025,1077,0.3788300835654596,0.11984101032791883,1.2023887146154095,129.06876812316858,20.423905727783932,6.3194949018780555,14
historical,IC,MARKET_RAW,2021,1090,0.4073394495412844,0.13692521526437113,1.2384328379196154,149.24848463816454,18.379223013342454,8.120500226250975,10
historical,IC,MARKET_RAW,2022,1036,0.3909266409266409,0.14291252703622848,1.2496526214292605,148.0573780095327,22.384942174591856,6.614150568482861,16
historical,IC,MARKET_RAW,2023,1087,0.37718491260349585,0.08944877496477782,1.1488130891629227,97.2308183867135,32.09176910083295,3.02977433500822,14
historical,IC,MARKET_RAW,2024,1098,0.39162112932604737,0.0968886209992179,1.1663457443352647,106.38370585714125,18.67446979766118,5.696745718074679,10
historical,IC,MARKET_RAW,2025,1094,0.3939670932358318,0.0866132380777181,1.1448755432255413,94.75488245702361,27.3241955460599,3.4678013593226202,13
historical,IC,CONFIRM_CANONICAL,2021,1071,0.39402427637721754,0.10174910294455718,1.1749091567689494,108.97328925362073,30.08192103386567,3.622550871366913,11
historical,IC,CONFIRM_CANONICAL,2022,1009,0.40237859266600595,0.17374293090497941,1.3028762890055716,175.30661728312424,26.22009306181465,6.685964724451345,11
historical,IC,CONFIRM_CANONICAL,2023,1066,0.3705440900562852,0.11532281351531071,1.189935205232493,122.93411920732122,30.39471464445276,4.044588693967473,14
historical,IC,CONFIRM_CANONICAL,2024,1075,0.38325581395348834,0.07747165385993965,1.1294288284007292,83.28202789943512,36.17587265843104,2.3021428863866165,9
historical,IC,CONFIRM_CANONICAL,2025,1078,0.37012987012987014,0.07423064636498126,1.1204867242743217,80.02063678144981,33.28576591187103,2.4040497368549736,13
historical,GETLEVERAGED,MARKET_RAW,2021,1090,0.3944954128440367,0.09532988863557533,1.162855894415038,103.90957861277711,33.83539753673206,3.0710317057741614,10
historical,GETLEVERAGED,MARKET_RAW,2022,1036,0.3658301158301158,0.07627294320730288,1.1291054519927628,79.01876916276578,28.711568711336838,2.7521578481904756,16
historical,GETLEVERAGED,MARKET_RAW,2023,1087,0.33486660533578655,-0.021064066293758194,0.9668217132026168,-22.896640061315157,56.27892167879822,-0.40684219559133694,26
historical,GETLEVERAGED,MARKET_RAW,2024,1098,0.3743169398907104,0.044600304158262744,1.0741927762654024,48.971133965772495,24.000806164200707,2.040395378002644,12
historical,GETLEVERAGED,MARKET_RAW,2025,1094,0.35648994515539306,0.003699906465431165,1.0059249869570677,4.047697673181695,53.44626177980015,0.07573397162664629,12
historical,GETLEVERAGED,CONFIRM_CANONICAL,2021,1070,0.3850467289719626,0.0656575415149454,1.1113845881183229,70.25356942099158,35.32390206465793,1.988839434907201,10
historical,GETLEVERAGED,CONFIRM_CANONICAL,2022,1008,0.3869047619047619,0.1360950860743487,1.232973054043868,137.1838467629435,30.724072922904114,4.465028028906805,12
historical,GETLEVERAGED,CONFIRM_CANONICAL,2023,1064,0.35150375939849626,0.054645470305426595,1.087664492128413,58.1427804049739,34.44742633300994,1.687870084774879,14
historical,GETLEVERAGED,CONFIRM_CANONICAL,2024,1078,0.3608534322820037,0.04011745103019118,1.0652820751537198,43.2466122105461,49.759467884298616,0.8691132371251176,13
historical,GETLEVERAGED,CONFIRM_CANONICAL,2025,1077,0.3500464252553389,0.022666587951433805,1.0359191374844123,24.41191522369421,56.26122934057275,0.43390298274356354,14
forward_2026,GROSS,MARKET_RAW,2026-03,93,0.3870967741935484,0.20348918547878656,1.3444523191240196,18.92449424952715,10.407566805105228,1.818339925547642,6
forward_2026,GROSS,MARKET_RAW,2026-04,90,0.4111111111111111,0.13665981800973026,1.2459779517870468,12.299383620875723,9.715187260628056,1.2659955275098431,6
forward_2026,GROSS,MARKET_RAW,2026-05,93,0.2903225806451613,-0.18278294874868423,0.7390796183898274,-16.998814233627634,22.973954310444334,-0.7399167772306265,9
forward_2026,GROSS,MARKET_RAW,2026-06,90,0.35555555555555557,0.00031050033746604275,1.0004879684355044,0.027945030371943846,21.756330054359214,0.0012844551586651735,9
forward_2026,GROSS,MARKET_RAW,2026-07,93,0.3333333333333333,-0.04803828661997153,0.9255117561623529,-4.467560655657352,14.641399096280997,-0.30513208650887325,8
forward_2026,GROSS,MARKET_RAW,2026-08,93,0.26881720430107525,-0.24023739221777846,0.6544389566276927,-22.342077476253397,28.68956922356597,-0.778752629645667,8
forward_2026,GROSS,CONFIRM_CANONICAL,2026-03,93,0.45161290322580644,0.32651876656885015,1.5954165743314326,30.366245290903066,7.284254850072197,4.1687510824256915,6
forward_2026,GROSS,CONFIRM_CANONICAL,2026-04,87,0.40229885057471265,0.19582871559761772,1.3394264068374153,17.037098256992742,9.669046302345485,1.7620246841573133,7
forward_2026,GROSS,CONFIRM_CANONICAL,2026-05,93,0.3548387096774194,-0.041617012632857664,0.9318489172311967,-3.870382174855763,11.985207400188454,-0.3229299290052257,5
forward_2026,GROSS,CONFIRM_CANONICAL,2026-06,89,0.34831460674157305,0.048685147257136296,1.0768707334491203,4.332978105885131,20.239569162456558,0.2140845030398473,8
forward_2026,GROSS,CONFIRM_CANONICAL,2026-07,93,0.3870967741935484,0.1373099149763095,1.2338877111776851,12.769822092796785,12.99999999999995,0.982294007138218,13
forward_2026,GROSS,CONFIRM_CANONICAL,2026-08,89,0.2696629213483146,-0.18259443528800748,0.7377463607974335,-16.250904740632667,25.722518070790443,-0.6317773670489362,16
forward_2026,IC,MARKET_RAW,2026-03,93,0.3870967741935484,0.18577140629013333,1.3101205967482648,17.2767407849824,10.868233950090454,1.589654847726075,6
forward_2026,IC,MARKET_RAW,2026-04,90,0.4111111111111111,0.11274467824662457,1.1985733495356201,10.147021042196211,10.687176647016383,0.9494575955221092,6
forward_2026,IC,MARKET_RAW,2026-05,93,0.26881720430107525,-0.24987128372506492,0.6624136083018045,-23.238029386431037,28.861764701733343,-0.8051492909938192,13
forward_2026,IC,MARKET_RAW,2026-06,90,0.34444444444444444,-0.028809004115413064,0.9562160059193464,-2.5928103703871757,22.834765322614174,-0.11354661778894713,9
forward_2026,IC,MARKET_RAW,2026-07,93,0.3225806451612903,-0.09825009098369009,0.853944825888408,-9.137258461483178,17.294693432826662,-0.5283272870359157,8
forward_2026,IC,MARKET_RAW,2026-08,93,0.2903225806451613,-0.2338520733856494,0.6684993871897239,-21.748242824865393,28.39212551203999,-0.7659955861931793,8
forward_2026,IC,CONFIRM_CANONICAL,2026-03,93,0.45161290322580644,0.31927685146209656,1.574224536592093,29.69274718597498,7.639440678047301,3.8867697829371286,6
forward_2026,IC,CONFIRM_CANONICAL,2026-04,87,0.40229885057471265,0.17674783832441704,1.3000460055045104,15.377061934224281,10.075583097011675,1.5261709209450096,7
forward_2026,IC,CONFIRM_CANONICAL,2026-05,93,0.3225806451612903,-0.11141259821529889,0.8312851463195168,-10.361371634022797,16.23509047384884,-0.6382084319587062,11
forward_2026,IC,CONFIRM_CANONICAL,2026-06,89,0.34831460674157305,0.03302836216193164,1.051314729870376,2.939524232411916,20.682353792212325,0.14212716124790187,8
forward_2026,IC,CONFIRM_CANONICAL,2026-07,93,0.3978494623655914,0.1497047029457417,1.2534778960041708,13.922537373953977,13.235553594201999,1.0519044235560286,13
forward_2026,IC,CONFIRM_CANONICAL,2026-08,89,0.2696629213483146,-0.2246668448030547,0.6880183243495075,-19.99534918747187,28.868538961929502,-0.6926346086942887,16
forward_2026,GETLEVERAGED,MARKET_RAW,2026-03,93,0.3978494623655914,0.2118041674863753,1.3623717843156453,19.6977875762329,10.153566317965122,1.9399870901892664,6
forward_2026,GETLEVERAGED,MARKET_RAW,2026-04,90,0.35555555555555557,0.050654586909778684,1.0833601851044385,4.558912821880082,12.999445574150437,0.3507005584103939,9
forward_2026,GETLEVERAGED,MARKET_RAW,2026-05,93,0.2903225806451613,-0.25884773823679535,0.6367748766287565,-24.07283965602197,28.27609488913065,-0.8513495145072378,13
forward_2026,GETLEVERAGED,MARKET_RAW,2026-06,90,0.34444444444444444,-0.0411137971349553,0.9370366083889023,-3.700241742145977,25.661583616511642,-0.1441938189568745,8
forward_2026,GETLEVERAGED,MARKET_RAW,2026-07,93,0.3225806451612903,-0.05976039448071602,0.9105423203744434,-5.5577166867065895,15.17287551767393,-0.36629290738151477,7
forward_2026,GETLEVERAGED,MARKET_RAW,2026-08,93,0.27956989247311825,-0.28033069693292956,0.6006568715804016,-26.07075481476245,31.29127136718355,-0.8331638081699655,10
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,2026-03,93,0.40860215053763443,0.21863967632356776,1.3675384864416262,20.333489898091802,8.052401924935001,2.5251459238674223,8
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,2026-04,88,0.375,0.07525136371230629,1.1231997008688661,6.6221200066829535,10.041150765727137,0.6594981154237662,7
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,2026-05,93,0.3225806451612903,-0.08742924327863778,0.867713393325237,-8.130919624913314,14.430644704473893,-0.5634481197082282,10
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,2026-06,89,0.33707865168539325,0.05922045071524891,1.0927191421001476,5.270620113657153,19.599509006552143,0.26891592600075737,8
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,2026-07,92,0.32608695652173914,-0.08742225643573055,0.8680151285437067,-8.042847592087211,15.822977016265432,-0.5083017932604884,13
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,2026-08,89,0.24719101123595505,-0.2217784185508323,0.7002864933963918,-19.738279251024075,28.50257305363564,-0.6925086803174201,16
