period,cost_model,mode,timeout,adverse,side,minz,response,pause
historical,GROSS,MARKET_RAW,0,0,0,0,0,15470
historical,GROSS,CONFIRM_CANONICAL,1031,5062,165,424,8,38422
historical,IC,MARKET_RAW,0,0,0,0,0,15596
historical,IC,CONFIRM_CANONICAL,1023,5055,159,420,8,38914
historical,GETLEVERAGED,MARKET_RAW,0,0,0,0,0,15650
historical,GETLEVERAGED,CONFIRM_CANONICAL,1040,5095,157,426,12,40380
forward_2026,GROSS,MARKET_RAW,0,0,0,0,0,1258
forward_2026,GROSS,CONFIRM_CANONICAL,104,533,11,54,1,3236
forward_2026,IC,MARKET_RAW,0,0,0,0,0,1237
forward_2026,IC,CONFIRM_CANONICAL,106,537,11,54,1,3308
forward_2026,GETLEVERAGED,MARKET_RAW,0,0,0,0,0,1221
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,104,544,12,52,1,3491
