period,cost_model,mode,N,WR,EV_R,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,InitialStopRate,ProtectedStopRate,TimeExitRate,RightTail_ge1p5R,RightTail_ge2R
historical,GROSS,MARKET_RAW,5405,0.3992599444958372,0.13946944012422285,1.2448932070653587,753.8323238714245,26.80755194767255,28.12014783531447,14,0.5548566142460685,0.2780758556891767,0.16706753006475486,0.23589269195189638,0.17890841813135985
historical,GROSS,CONFIRM_CANONICAL,5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281812,31.123306879905428,24.642578145298668,14,0.5631489522371154,0.2860109495941099,0.15084009816877478,0.24391164810269964,0.18406645270908062
historical,IC,MARKET_RAW,5405,0.39222941720629045,0.11020819044376977,1.1881498420798824,595.6752693485756,32.091769100833346,18.56162143872297,16,0.5602220166512488,0.2740055504162812,0.16577243293246993,0.18612395929694728,0.17317298797409805
historical,IC,CONFIRM_CANONICAL,5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,15.77064071989924,14,0.5704849971692773,0.27986412530666166,0.14965087752406114,0.18645027363653519,0.1741838082657105
historical,GETLEVERAGED,MARKET_RAW,5405,0.3652173913043478,0.03941730607829452,1.0648869062682345,213.0505393531819,79.7349045523902,2.67198588308582,26,0.5877890841813136,0.2543940795559667,0.1578168362627197,0.17335800185013875,0.16466234967622573
historical,GETLEVERAGED,CONFIRM_CANONICAL,5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.2387240231492,56.26122934057247,5.923061545739029,14,0.5899565791957712,0.26732112516518786,0.14272229563904096,0.1767037946007174,0.1699074948083821
forward_2026,GROSS,MARKET_RAW,552,0.34057971014492755,-0.02274751714631082,0.9643269024032636,-12.556629464763573,49.81148154972119,-0.2520830353586192,9,0.6268115942028986,0.2536231884057971,0.11956521739130435,0.21739130434782608,0.17753623188405798
forward_2026,GROSS,CONFIRM_CANONICAL,544,0.3694852941176471,0.08158981035126708,1.1341270495537077,44.384856831089294,25.722518070790443,1.7255253435506817,16,0.6029411764705882,0.3014705882352941,0.09558823529411764,0.25183823529411764,0.19117647058823528
forward_2026,IC,MARKET_RAW,552,0.33695652173913043,-0.05306626669563073,0.9193106676106312,-29.292579215988162,64.11012394211726,-0.45691035073392444,13,0.6322463768115942,0.2536231884057971,0.11413043478260869,0.18115942028985507,0.1721014492753623
forward_2026,IC,CONFIRM_CANONICAL,544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.86853896192951,1.0937564227517829,16,0.6066176470588235,0.30330882352941174,0.0900735294117647,0.19669117647058823,0.1875
forward_2026,GETLEVERAGED,MARKET_RAW,552,0.33152173913043476,-0.06366821105348551,0.9027809087528474,-35.144852501524,64.25966773714721,-0.5469193000698862,13,0.6376811594202898,0.24456521739130435,0.11775362318840579,0.1793478260869565,0.17753623188405798
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,544,0.33639705882352944,-0.006775397885280698,0.9895933443319518,-3.6858164495927,46.275382759123275,-0.07964961562346093,16,0.6397058823529411,0.2775735294117647,0.08272058823529412,0.17095588235294118,0.1636029411764706
