candidate,order,eligible,prevalence,n_8h,containment_effect_8h,containment_ci_lo_8h,containment_ci_hi_8h,bootstrap_pass,movement_effect_expansion_minus_candidate_24h,movement_ci_lo_24h,movement_ci_hi_24h,movement_pass,positive_years,transfer_pass,movement_n_expansion,movement_n_candidate
G1_VOL_COMPRESSION,1,True,0.18098455598455598,1055,-0.060136202102210656,-0.10044772782893238,-0.020281892207993923,False,0.052162016628420016,-0.20355511787321492,0.32414242511203967,False,1,False,738,865
G2_STRUCTURAL_COIL,2,True,0.042631917631917635,246,0.053121323346037475,-0.018214320523475713,0.10449319818292645,False,0.3312682546239487,0.05487818659876677,0.6227258465863031,True,2,False,738,206
G3_MAJORITY_3OF5,3,True,0.212998712998713,1251,-6.607013265302886e-05,-0.040309033646037426,0.038252381373024134,False,0.21603021841361603,-0.018638775301719923,0.4740680308282873,False,2,False,738,1058
G4_STRICT_COIL,4,True,0.023487773487773488,137,0.005020750800517226,-0.09140361232193801,0.0613159808173604,False,0.10931971012333497,-0.2987670189512395,0.4229816362198625,False,2,False,738,115
