year,component_a,component_b,cooccur_rate,cooccur_bars
2023,SWEEP,RSI_TURN,0.03372243839169909,52
2023,SWEEP,EMA20_CROSS,0.005188067444876783,8
2023,SWEEP,ADX_FALLING,0.02464332036316472,38
2023,SWEEP,REJECTION,0.06031128404669261,93
2023,RSI_TURN,EMA20_CROSS,0.0038910505836575876,6
2023,RSI_TURN,ADX_FALLING,0.04539559014267185,70
2023,RSI_TURN,REJECTION,0.062905317769131,97
2023,EMA20_CROSS,ADX_FALLING,0.08884565499351492,137
2023,EMA20_CROSS,REJECTION,0.01621271076523995,25
2023,ADX_FALLING,REJECTION,0.1893644617380026,292
2024,SWEEP,RSI_TURN,0.030264005151320026,47
2024,SWEEP,EMA20_CROSS,0.004507405022537025,7
2024,SWEEP,ADX_FALLING,0.025112685125563427,39
2024,SWEEP,REJECTION,0.05280103026400515,82
2024,RSI_TURN,EMA20_CROSS,0.003219575016097875,5
2024,RSI_TURN,ADX_FALLING,0.0412105602060528,64
2024,RSI_TURN,REJECTION,0.0489375402446877,76
2024,EMA20_CROSS,ADX_FALLING,0.12169993560849968,189
2024,EMA20_CROSS,REJECTION,0.03412749517063748,53
2024,ADX_FALLING,REJECTION,0.20734063103670317,322
2025,SWEEP,RSI_TURN,0.0394311570782159,61
2025,SWEEP,EMA20_CROSS,0.003878474466709761,6
2025,SWEEP,ADX_FALLING,0.015513897866839044,24
2025,SWEEP,REJECTION,0.07045895281189399,109
2025,RSI_TURN,EMA20_CROSS,0.003232062055591467,5
2025,RSI_TURN,ADX_FALLING,0.03813833225597932,59
2025,RSI_TURN,REJECTION,0.06334841628959276,98
2025,EMA20_CROSS,ADX_FALLING,0.10989010989010989,170
2025,EMA20_CROSS,REJECTION,0.01874595992243051,29
2025,ADX_FALLING,REJECTION,0.2068519715578539,320
2026,SWEEP,RSI_TURN,0.028968713789107765,25
2026,SWEEP,EMA20_CROSS,0.006952491309385863,6
2026,SWEEP,ADX_FALLING,0.02433371958285052,21
2026,SWEEP,REJECTION,0.06488991888760139,56
2026,RSI_TURN,EMA20_CROSS,0.002317497103128621,2
2026,RSI_TURN,ADX_FALLING,0.030127462340672075,26
2026,RSI_TURN,REJECTION,0.05330243337195829,46
2026,EMA20_CROSS,ADX_FALLING,0.10892236384704519,94
2026,EMA20_CROSS,REJECTION,0.026651216685979143,23
2026,ADX_FALLING,REJECTION,0.21436848203939746,185
