candidate,year,metric,n_candidate,n_other,effect,positive
G1_VOL_COMPRESSION,2023,contained_1atr_8h,224,1214,-0.1681792774770534,False
G1_VOL_COMPRESSION,2024,contained_1atr_8h,259,1187,-0.0777470213022024,False
G1_VOL_COMPRESSION,2025,contained_1atr_8h,249,1190,-0.01116398366575544,False
G1_VOL_COMPRESSION,2026,contained_1atr_8h,222,580,0.008946877912395124,True
G2_STRUCTURAL_COIL,2023,contained_1atr_8h,5,1433,-0.11290997906489875,False
G2_STRUCTURAL_COIL,2024,contained_1atr_8h,144,1302,0.062435995903737884,True
G2_STRUCTURAL_COIL,2025,contained_1atr_8h,78,1361,0.10847981310876242,True
G2_STRUCTURAL_COIL,2026,contained_1atr_8h,19,783,-0.03562546212273987,False
G3_MAJORITY_3OF5,2023,contained_1atr_8h,227,1211,-0.10640712703303418,False
G3_MAJORITY_3OF5,2024,contained_1atr_8h,411,1035,-0.011467259071194336,False
G3_MAJORITY_3OF5,2025,contained_1atr_8h,330,1109,0.05600185807579855,True
G3_MAJORITY_3OF5,2026,contained_1atr_8h,205,597,0.11123912244147571,True
G4_STRICT_COIL,2023,contained_1atr_8h,1,1437,-0.5128740431454419,False
G4_STRICT_COIL,2024,contained_1atr_8h,70,1376,0.02300664451827239,True
G4_STRICT_COIL,2025,contained_1atr_8h,51,1388,0.043820986607899626,True
G4_STRICT_COIL,2026,contained_1atr_8h,15,787,-0.09623041084286321,False
