candidate,order,eligible,n_24h,n_2025,n_2026,effect_24h,ci_lo_24h,ci_hi_24h,bootstrap_pass,positive_years,all_years_eligible,transfer_pass
R1_LOCATION_TRANSITION,1,True,823,201,112,0.000641440630212764,-0.034056625655101105,0.036331112674240565,False,2,True,False
R2_TWO_OF_FIVE,2,True,906,223,127,0.00897152883907848,-0.024248065097833137,0.04313648702576004,False,2,True,False
R3_RAW_REVERSAL_WINNER,3,True,147,33,24,0.032357162518186544,-0.05608432754214702,0.12019258502665957,False,4,True,True
