period,bars,sweep_rate,rsi_turn_rate,ema20_cross_rate,adx_falling_rate,rejection_rate,raw_rev_rank1_rate,raw_rev_top2_rate,raw_rev_score_mean,r0_frozen_reversal_onset_events,r1_location_transition_events,r2_two_of_five_events,r3_raw_reversal_winner_events
EARLY_2023_2024,3095,0.10436187399030694,0.13667205169628432,0.12924071082390953,0.5059773828756058,0.40775444264943456,0.035864297253634894,0.11405492730210016,22.621970920840063,6,596,654,95
LATE_2025_2026,2410,0.11327800829875519,0.12946058091286308,0.12904564315352698,0.5058091286307054,0.41120331950207467,0.03734439834024896,0.1024896265560166,22.726141078838175,2,447,514,81
