year,bars,raw_rev_score_mean,raw_rev_score_median,raw_rev_score_p75,raw_rev_score_p90,raw_rev_rank1_rate,raw_rev_top2_rate,sweep_rate,rsi_turn_rate,ema20_cross_rate,adx_falling_rate,rejection_rate,r0_frozen_reversal_onset_events,r1_location_transition_events,r2_two_of_five_events,r3_raw_reversal_winner_events
2023,1542,22.720492866407263,15.0,30.0,45.0,0.04085603112840467,0.1297016861219196,0.10959792477302205,0.1543450064850843,0.10830090791180286,0.49546044098573283,0.4066147859922179,3,292,316,53
2024,1553,22.524146812620735,15.0,30.0,45.0,0.030907920154539602,0.09851899549259498,0.09916291049581455,0.11912427559562137,0.15003219575016097,0.5164198325820991,0.4088860270444301,3,304,338,42
2025,1547,22.944408532643827,25.0,30.0,45.0,0.03490627020038785,0.0982546864899806,0.11506140917905623,0.1383322559793148,0.12605042016806722,0.49903038138332256,0.4130575307045895,1,293,328,49
2026,863,22.334878331402084,15.0,30.0,45.0,0.04171494785631518,0.1100811123986095,0.1100811123986095,0.11355735805330243,0.13441483198146004,0.5179606025492468,0.4078794901506373,1,154,186,32
