observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,candidate,horizon_h,metric,prevalence
-0.040631115345416746,-0.07127309869026825,-0.012586797095005315,0.0012,1087,4915,210,G1_VOL_COMPRESSION,4,contained_1atr_4h,0.18098455598455598
-0.060136202102210656,-0.10044772782893238,-0.020281892207993923,0.0012,1055,4733,210,G1_VOL_COMPRESSION,8,contained_1atr_8h,0.18098455598455598
-0.05274551752795026,-0.09349061992200465,-0.013331134872940558,0.0034,1007,4567,210,G1_VOL_COMPRESSION,12,contained_1atr_12h,0.18098455598455598
0.008167168039276862,-0.053693313936651096,0.04949742289489309,0.6328,254,5748,210,G2_STRUCTURAL_COIL,4,contained_1atr_4h,0.042631917631917635
0.053121323346037475,-0.018214320523475713,0.10449319818292645,0.9378,246,5542,210,G2_STRUCTURAL_COIL,8,contained_1atr_8h,0.042631917631917635
0.020439718968808418,-0.06617168305409556,0.09238027746511442,0.6838,235,5339,210,G2_STRUCTURAL_COIL,12,contained_1atr_12h,0.042631917631917635
-0.0158700008046464,-0.04290642508105248,0.009477499536476206,0.1124,1286,4716,210,G3_MAJORITY_3OF5,4,contained_1atr_4h,0.212998712998713
-6.607013265302886e-05,-0.040309033646037426,0.038252381373024134,0.479,1251,4537,210,G3_MAJORITY_3OF5,8,contained_1atr_8h,0.212998712998713
0.001811484287070786,-0.04186325952969357,0.04370663353947413,0.525,1208,4366,210,G3_MAJORITY_3OF5,12,contained_1atr_12h,0.212998712998713
0.0019617877857386334,-0.07331783197512386,0.044664334561466415,0.5374,140,5862,210,G4_STRICT_COIL,4,contained_1atr_4h,0.023487773487773488
0.005020750800517226,-0.09140361232193801,0.0613159808173604,0.5304,137,5651,210,G4_STRICT_COIL,8,contained_1atr_8h,0.023487773487773488
-0.029848548384156126,-0.11722240037490296,0.025394609184370736,0.1434,131,5443,210,G4_STRICT_COIL,12,contained_1atr_12h,0.023487773487773488
