type,leave_out,n,ev_r,pf,wr_pct,cum_r,maxdd_r,maxdd_pct_at_025,max_consec_losses
split,TRAIN,23,0.2628140109728415,2.174060204565489,69.56521739130434,6.044722252375355,2.0252725823763216,0.5063181455940804,3
split,VALID,16,0.22449147208654635,1.8401043614763535,62.5,3.5918635533847416,2.0252725823763216,0.5063181455940804,2
split,POST_CHECK,23,0.3705942277018264,3.9427315446574696,78.26086956521739,8.523667237142007,1.8847904855187076,0.4711976213796769,3
iso_week,2026-W32,29,0.3378569174077384,2.90246632267094,72.41379310344827,9.797850604824413,2.0252725823763216,0.5063181455940804,3
iso_week,2026-W33,26,0.20740409821160075,1.8755815382501808,69.23076923076923,5.39250655350162,2.0252725823763216,0.5063181455940804,3
iso_week,2026-W34,27,0.22067369336590129,1.9671934755329517,66.66666666666666,5.958189720879335,2.0252725823763216,0.5063181455940804,3
iso_week,2026-W35,25,0.37882682829058445,3.215104123257072,76.0,9.470670707264611,2.0252725823763216,0.5063181455940804,2
iso_week,2026-W36,25,0.250309911345731,2.0158207629174516,64.0,6.257747783643275,3.910063067895029,0.9775157669737573,5
iso_week,2026-W37,27,0.3928223750700549,3.5649737070585457,74.07407407407408,10.606204126891482,1.8847904855187076,0.4711976213796769,3
iso_week,2026-W38,27,0.2591699863593177,2.421757632951651,74.07407407407408,6.997589631701578,2.0252725823763216,0.5063181455940804,3
