maxdd_r,max_consec_losses
1.9568942433405654,2
4.22925133401826,3
2.4482487895267484,4
1.5908290364281692,3
2.684096715723145,3
3.043525845045333,3
2.1483286160979906,2
2.8211153987351887,3
3.8877672427302503,3
1.3944902423298629,2
2.3961783263016883,3
1.6762548614172452,2
1.663588293604765,2
3.2223929630665733,3
3.9930602326464855,3
1.5707984562069548,2
2.4734012259353166,4
1.6703970374964727,2
1.2281267438884065,1
2.3624961823324853,2
1.795887658823356,3
1.2974285682981879,2
1.8628292267120865,2
2.4816142310236984,2
1.6717609455108562,2
1.6855849336682116,2
4.3107462147792415,4
3.1790906458723094,3
1.2215195712922258,2
2.01709993047023,3
2.143838342708798,2
2.0863002279216953,3
2.8455016817097567,2
1.5893131180903444,2
2.5654488105177746,2
2.7919663336425344,3
2.235219249518898,3
3.0456526191223556,3
2.0149731563932076,2
1.6916513280141237,2
2.5778603599084495,2
2.9660078378051646,2
2.698949726148598,3
2.684096715723144,3
2.0252725823763216,4
3.512293693752846,3
2.224919823535785,3
2.238302122384172,3
1.6717609455108562,2
2.0387616847873913,3
3.4163548402673722,4
2.016489074731032,3
2.3970825088311205,2
1.9597433837364164,2
2.6772879718314364,3
2.9201519180625404,4
2.0401255928017754,2
2.264970477130564,4
2.2487083519299675,3
3.7105226302982484,4
2.025272582376322,2
2.0319529408956827,2
2.231295151766397,3
3.846020525116,4
3.501276173476455,4
2.021781900284916,2
3.2498750265338225,4
1.656789941905945,2
2.2317285674274916,3
1.3787863668571516,2
2.9555258959944513,4
1.2327750960635917,2
2.6921409822568907,3
1.2576564152867753,2
1.670397037496473,2
2.6334413416489726,2
2.0267885007141455,3
2.031262607037738,3
3.043525845045333,3
2.0437682852166215,3
2.4814995616799074,2
2.0319529408956836,3
1.5332092736592413,2
3.4466022815767863,3
2.929245222696891,3
3.042161937030949,3
1.6635882936047661,2
2.9104123116289973,5
1.9235289385299614,2
2.685057432269623,3
2.3991664036031883,2
1.7071691263930076,2
1.795055394374903,2
2.9633164604436937,3
2.6819699416461225,3
3.036997496849411,4
2.9509069770140535,2
2.0387616847873913,3
2.205966970208079,2
2.3928316616228376,2
1.670397037496473,2
2.497297772187383,2
2.025272582376322,2
1.9317015904360533,2
1.232775096063592,2
1.7184641869371102,2
2.015229966731633,2
3.4605262336560267,3
2.135383828369779,2
3.585942581966692,3
2.2134687014917382,2
2.0762624367963234,2
2.0401255928017754,2
2.6535450206795046,2
2.6369320237403797,2
1.6887407300133328,2
2.0252725823763216,2
1.6433360245442385,2
1.9141816364558357,2
1.6738877195878794,2
3.7107519260548347,2
2.71920925961051,3
2.014973156393209,2
1.640366282202196,2
2.023297818622739,3
