feature,period,n,fail_n,good_n,fail_median,good_median,auc_fail_high,auc_direction_free
delta_excess,train,70,40,30,0.07941873103551933,0.09488333505385114,0.46416666666666667,0.5358333333333334
delta_excess,valid,33,21,12,0.08078477078477081,0.05945160304629735,0.6190476190476191,0.6190476190476191
buy_q75_ratio,train,70,40,30,1.8013138686131387,1.7604166666666665,0.46541666666666665,0.5345833333333334
buy_q75_ratio,valid,33,21,12,1.7628865979381443,1.7055678334640336,0.48412698412698413,0.5158730158730158
close_pos,train,70,40,30,0.8749999999998817,0.8912529550830209,0.44916666666666666,0.5508333333333333
close_pos,valid,33,21,12,0.9310344827586747,0.9009803921568271,0.6448412698412699,0.6448412698412699
body_atr,train,70,40,30,1.0845984112975653,1.5109924974806832,0.36833333333333335,0.6316666666666666
body_atr,valid,33,21,12,1.1570247933884386,1.1825630065009058,0.47619047619047616,0.5238095238095238
breakout_atr,train,70,40,30,0.6055125725340588,0.8224999999997842,0.4033333333333333,0.5966666666666667
breakout_atr,valid,33,21,12,0.49122807017549525,0.9565738682885824,0.2976190476190476,0.7023809523809523
range_atr,train,70,40,30,1.3631133339872503,1.766733870967824,0.3883333333333333,0.6116666666666667
range_atr,valid,33,21,12,1.42058823529423,1.5193125442945767,0.42857142857142855,0.5714285714285714
atr_ratio_60,train,70,40,30,1.0698729873628487,1.0019019890733416,0.5566666666666666,0.5566666666666666
atr_ratio_60,valid,33,21,12,1.0665280665280332,0.9797300388926753,0.6904761904761905,0.6904761904761905
