signal_time_utc,signal_utc_ms,expiry_min,filled,fill_time_msc,status,raw_r,exit_time_msc,accepted,busy_skip,stress_r,candidate,delta_excess,buy_q75_ratio,close_pos,body_atr,breakout_atr,range_atr,atr_ratio_60,utc_hour_sin,utc_hour_cos,veto,accepted_corrected,busy_skip_corrected,active_fill,active_r
2026-08-07 01:07:00+00:00,1786064820000,3,True,1786075773604.0,TIMEOUT,0.4104870641603671,1786077480309.0,True,False,0.3604870641603671,D1.00_E3M,0.012540400775694849,3.207920792079208,0.8536585365852901,1.1161731207289385,0.7015945330295605,1.307517084282587,1.6692015209125513,0.28819626813408933,0.9575713608048144,True,False,False,False,0.0
2026-08-07 03:03:00+00:00,1786071780000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.044242424242424305,1.3846153846153846,0.8378378378379774,1.4136807817591739,0.8664495114005164,1.6872964169380877,1.0604490500863415,0.7163019434246543,0.6977904598416802,False,True,False,False,0.0
2026-08-07 07:55:00+00:00,1786089300000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.13874088205588603,1.47985347985348,0.9166666666666035,1.6231884057970414,0.6086956521738328,1.8260869565214983,1.0952380952380816,0.8767267557075076,-0.48098876891938785,False,True,False,False,0.0
2026-08-07 08:33:00+00:00,1786091580000,3,True,1786102554325.0,SL,-1.0,1786102579056.0,True,False,-1.05,D1.00_E3M,0.06909322667051954,9.652173913043478,0.847222222222231,3.837037037037077,4.390123456789962,4.977777777777541,1.653061224489741,0.7853169308807448,-0.6190939493098341,True,False,False,False,0.0
2026-08-07 10:31:00+00:00,1786098660000,3,True,1786109564707.0,TIMEOUT,1.6242981112812214,1786111320305.0,True,False,1.574298111281221,D1.00_E3M,0.18124568668046925,1.2,1.0,1.5797665369647378,1.0894941634240938,1.5797665369647378,0.8726655348047704,0.37864861735243294,-0.9255405040175664,False,True,False,True,1.574298111281221
2026-08-07 11:03:00+00:00,1786100580000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.0716021237663857,3.290909090909091,0.9464285714286962,2.7179487179487025,1.8974358974357284,2.8717948717944775,1.1543340380549656,0.2461532930289928,-0.9692309097067544,False,True,False,False,0.0
2026-08-07 13:37:00+00:00,1786109820000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.11468911071553023,2.6692913385826773,0.7608695652173312,0.41758241758233283,0.19780219780231548,1.0109890109890793,0.9571750563486251,-0.410718852613477,-0.9117620435770887,False,True,False,False,0.0
2026-08-07 13:41:00+00:00,1786110060000,3,True,1786121004764.0,SL,-1.0,1786121166154.0,True,False,-1.05,D1.00_E3M,0.05379510025118733,1.0448343079922027,0.9807692307691601,0.920777279521603,0.2301943198804959,1.0881913303437645,1.0268610897927788,-0.4265687399014583,-0.904455145454368,False,True,False,True,-1.05
2026-08-07 14:22:00+00:00,1786112520000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.18085820273975503,2.685099846390169,0.8723404255320261,0.5316455696202282,0.19690576652602373,0.9254571026722758,1.0913277052954329,-0.5807029557109398,-0.8141155183563192,False,True,False,False,0.0
2026-08-07 14:24:00+00:00,1786112640000,3,False,,NO_FILL,0.0,,False,True,0.0,D1.00_E3M,0.09163817956525261,1.0211480362537764,0.8484848484848568,0.1686746987952223,0.3162650602409699,0.6957831325301721,1.0060606060605868,-0.587785252292473,-0.8090169943749476,False,False,True,False,0.0
2026-08-07 19:00:00+00:00,1786129200000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.01446738089016636,2.3787375415282392,0.8571428571429963,1.9764705882358493,0.8235294117647499,2.3058823529414494,0.7906976744186291,-0.9659258262890684,0.2588190451025203,False,True,False,False,0.0
2026-08-09 23:02:00+00:00,1786316520000,3,False,,NO_FILL,0.0,,True,False,0.0,D1.00_E3M,0.17459277459277467,1.2941176470588236,0.8750000000001421,1.580645161290985,0.9032258064518448,1.8064516129036896,0.5166666666666613,-0.250380004054441,0.9681476403781079,False,True,False,False,0.0
