clock,feature,folds,coef_median,coef_mean,coef_abs_median,same_sign_as_median_pct
FILL_TIME_DIAGNOSTIC,xau_mom_30s_atr,5,-0.9276886935924864,-0.9699735141002559,0.9276886935924864,100.0
FILL_TIME_DIAGNOSTIC,gc_body_atr,5,-0.7110667363295505,-0.664113473565862,0.7110667363295505,100.0
FILL_TIME_DIAGNOSTIC,gc_range_atr,5,0.5564259325837949,0.5171937903407864,0.5564259325837949,100.0
FILL_TIME_DIAGNOSTIC,xau_mom_10s_atr,5,0.49633260033396676,0.5323545516790846,0.49633260033396676,100.0
FILL_TIME_DIAGNOSTIC,xau_fill_overshoot_atr,5,0.37902529231071946,0.3988267079609972,0.37902529231071946,100.0
FILL_TIME_DIAGNOSTIC,xau_spread_start_atr,5,-0.30933517558479046,-0.34275254643417397,0.30933517558479046,100.0
FILL_TIME_DIAGNOSTIC,xau_spread_fill_atr,5,-0.2828630408011848,-0.35794785824108766,0.2828630408011848,100.0
FILL_TIME_DIAGNOSTIC,gc_buy_strength,5,-0.27350382643747095,-0.35523798983202076,0.27350382643747095,100.0
FILL_TIME_DIAGNOSTIC,gc_delta_excess,5,-0.2347970157946617,-0.25814102492390145,0.2347970157946617,100.0
FILL_TIME_DIAGNOSTIC,gc_post_delta_frac,5,0.22973946462674674,0.17115746994951736,0.22973946462674674,80.0
FILL_TIME_DIAGNOSTIC,xau_prefill_range_atr,5,-0.17106838935669547,-0.14698890712612844,0.17106838935669547,100.0
FILL_TIME_DIAGNOSTIC,gc_close_pos,5,0.15880310610857215,0.16900778309180448,0.15880310610857215,100.0
FILL_TIME_DIAGNOSTIC,gc_breakout_atr,5,-0.1354141516361357,-0.18923978892336,0.1354141516361357,100.0
FILL_TIME_DIAGNOSTIC,fill_delay_sec,5,0.008521676192619593,0.09004765966053796,0.12222640018003282,60.0
FILL_TIME_DIAGNOSTIC,gc_buy_loc_excess,5,0.025566633350203136,0.20657741183906714,0.025566633350203136,80.0
ORDER_START_DEPLOYABLE,gc_range_atr,5,0.7338492369257263,0.6583841500334513,0.7338492369257263,100.0
ORDER_START_DEPLOYABLE,gc_body_atr,5,-0.6012769586470926,-0.6219978624677486,0.6012769586470926,100.0
ORDER_START_DEPLOYABLE,xau_spread_start_atr,5,-0.41137325974345723,-0.4715612315444977,0.41137325974345723,100.0
ORDER_START_DEPLOYABLE,gc_breakout_atr,5,-0.22775402171283463,-0.296453499314944,0.22775402171283463,100.0
ORDER_START_DEPLOYABLE,gc_delta_excess,5,-0.1583560514628292,-0.17859282010949779,0.1583560514628292,100.0
ORDER_START_DEPLOYABLE,gc_close_pos,5,0.15006927188068991,0.15474768921165621,0.15006927188068991,100.0
ORDER_START_DEPLOYABLE,gc_buy_strength,5,0.047994343273517495,0.00032001054329346135,0.07410233506923734,60.0
ORDER_START_DEPLOYABLE,gc_buy_loc_excess,5,0.03988360588797053,0.21280093119677082,0.05118189058590052,60.0
