feed,seed_time,confirm_time,confirm_lag_m1,entry_time,entry,seed_atr14,seed_delta_frac,seed_buy_vol,seed_buy_loc,seed_impact,seed_impact_q20,seed_close_pos,fwd_15m_atr,fwd_30m_atr,fwd_1m_atr,fwd_3m_atr,fwd_5m_atr,fwd_10m_atr
RITHMIC_RAW,2026-08-06 06:28:00+00:00,2026-08-06 06:30:00+00:00,2,2026-08-06 06:31:00+00:00,4314.3,2.1714285714284807,0.4049586776859504,85.0,0.6941176470588235,-0.3684210526316781,0.2786875436323308,0.2500000000001894,-0.6907894736842394,0.41447368421079495,0.09210526315781482,0.18421052631604848,0.18421052631604848,2.3947368421052793
RITHMIC_RAW,2026-08-07 09:18:00+00:00,2026-08-07 09:19:00+00:00,1,2026-08-07 09:20:00+00:00,4366.0,1.4642857142856494,0.4509803921568627,74.0,0.6621621621621622,0.1365853658541614,0.2914823914824955,0.4000000000002425,1.3658536585366459,-6.96585365853677,-0.6829268292683229,-1.8439024390243477,-2.8000000000003724,0.06829268292708074
RITHMIC_RAW,2026-08-07 13:14:00+00:00,2026-08-07 13:15:00+00:00,1,2026-08-07 13:16:00+00:00,4405.6,4.271428571428585,0.429951690821256,148.0,0.6351351351351351,-0.3043478260869982,0.2754969845879143,0.3333333333330807,-2.3645484949831426,-2.9498327759195955,0.35117056856187184,1.030100334448285,-1.0535117056856154,-0.8896321070232382
RITHMIC_RAW,2026-08-13 11:32:00+00:00,2026-08-13 11:33:00+00:00,1,2026-08-13 11:34:00+00:00,4444.5,1.200000000000078,0.4347826086956521,66.0,0.4545454545454545,-0.0833333333328731,0.2849420849422531,0.4000000000014552,3.3333333333331168,1.33333333333355,-1.1666666666662877,-1.33333333333355,-1.1666666666662877,2.3333333333333335
RITHMIC_RAW,2026-08-13 19:09:00+00:00,2026-08-13 19:10:00+00:00,1,2026-08-13 19:11:00+00:00,4409.4,1.1142857142858702,0.4432989690721649,70.0,0.3714285714285714,-0.1794871794869911,0.2793611793613493,0.4444444444442199,3.4999999999991838,0.0,0.2692307692300786,3.9487179487170696,4.128205128204061,4.666666666665851
RITHMIC_RAW,2026-08-14 11:42:00+00:00,2026-08-14 11:44:00+00:00,2,2026-08-14 11:45:00+00:00,4418.4,1.750000000000065,0.4754098360655737,90.0,0.6888888888888889,0.0571428571430629,0.2882657190106252,0.4000000000002425,-4.228571428571583,-5.599999999999896,0.05714285714254319,0.3999999999998812,0.2857142857142751,-2.9142857142858136
RITHMIC_RAW,2026-08-17 01:53:00+00:00,2026-08-17 01:55:00+00:00,2,2026-08-17 01:56:00+00:00,4452.5,2.714285714285649,0.5217391304347826,105.0,0.3428571428571428,0.2210526315790867,0.3068584531999863,0.2000000000001212,0.9947368421052201,0.1473684210525011,0.33157894736829496,0.11052631578954335,0.07368421052625054,-0.4052631578948806
RITHMIC_RAW,2026-08-17 09:51:00+00:00,2026-08-17 09:52:00+00:00,1,2026-08-17 09:53:00+00:00,4450.4,1.3428571428572855,0.4098360655737705,43.0,0.5581395348837209,-0.2234042553192606,0.2999616417338034,0.6666666666664982,-1.8617021276593766,-1.787234042553408,-0.22340425531926067,0.0744680851059687,-0.07446808510664599,0.14893617021261468
RITHMIC_RAW,2026-08-17 11:42:00+00:00,2026-08-17 11:43:00+00:00,1,2026-08-17 11:44:00+00:00,4457.5,1.3357142857143376,0.5137254901960784,193.0,0.5803108808290155,-0.2245989304814108,0.29842731108555,0.4000000000002425,3.1443850267377096,5.6898395721925645,0.8235294117649462,0.2994652406414272,1.1978609625670709,3.2941176470584232
RITHMIC_RAW,2026-08-20 14:01:00+00:00,2026-08-20 14:02:00+00:00,1,2026-08-20 14:03:00+00:00,4542.6,3.49999999999987,0.4223107569721115,357.0,0.5378151260504201,0.228571428571489,0.294367236138975,0.6250000000000355,-0.19999999999995546,-2.20000000000003,0.8000000000000818,1.3428571428574008,0.857142857142889,-0.17142857142842188
RITHMIC_RAW,2026-08-21 15:25:00+00:00,2026-08-21 15:26:00+00:00,1,2026-08-21 15:27:00+00:00,4658.2,2.742857142857052,0.2619047619047619,742.0,0.316711590296496,-0.3281250000002098,0.2862993661630177,0.1199999999999514,-2.8437500000001608,-5.177083333333439,-0.3645833333333454,-0.765625000000158,0.1822916666666727,-2.0781250000000027
RITHMIC_RAW,2026-08-24 00:38:00+00:00,2026-08-24 00:39:00+00:00,1,2026-08-24 00:40:00+00:00,4658.6,5.614285714285805,0.4083601286173633,219.0,0.6301369863013698,0.0356234096693402,0.2870159453301825,0.2187500000000666,-2.796437659033001,-3.811704834605471,-0.6946564885495422,-0.7124681933842124,-0.9796437659032919,-2.1730279898218154
RITHMIC_RAW,2026-08-25 15:41:00+00:00,2026-08-25 15:43:00+00:00,2,2026-08-25 15:44:00+00:00,4711.6,3.78571428571409,0.2432432432432432,184.0,0.2989130434782608,0.0,0.2868200300093093,0.4878048780488454,0.9773584905662804,2.667924528302121,-0.3962264150943601,-0.23773584905651995,0.7132075471700403,0.9509433962265603
RITHMIC_RAW,2026-08-26 18:06:00+00:00,2026-08-26 18:07:00+00:00,1,2026-08-26 18:08:00+00:00,4656.9,1.6357142857143248,0.4151624548736462,196.0,0.8010204081632653,-0.6724890829696387,0.2864943929792058,0.0,4.279475982532649,3.790393013100235,0.12227074235796448,-1.4061135371179816,-0.9781659388648278,1.3449781659387212
RITHMIC_RAW,2026-08-31 15:01:00+00:00,2026-08-31 15:02:00+00:00,1,2026-08-31 15:03:00+00:00,4479.4,3.2714285714287143,0.2923076923076923,126.0,0.365079365079365,-0.4585152838427747,0.3044157500398823,0.1538461538460283,-0.5807860262010148,-1.1921397379913812,-0.7641921397379579,0.1528384279475916,-0.36681222707444217,-1.956331877729339
RITHMIC_RAW,2026-09-01 07:50:00+00:00,2026-09-01 07:51:00+00:00,1,2026-09-01 07:52:00+00:00,4469.3,2.8285714285715198,0.4647887323943662,52.0,0.5769230769230769,-0.0353535353536628,0.3056768558951649,0.4444444444442199,5.232323232323128,8.30808080808054,0.31818181818200086,0.565656565656676,-0.10606060606066695,1.5555555555556984
RITHMIC_RAW,2026-09-02 06:02:00+00:00,2026-09-02 06:03:00+00:00,1,2026-09-02 06:04:00+00:00,4365.1,1.878571428571572,0.391304347826087,64.0,0.34375,0.0532319391636877,0.3051440857759751,0.5333333333334546,-4.311787072242726,-0.2661596958174702,0.053231939163687694,-0.42585551330756494,-1.1178707224330842,-4.7908745247144635
RITHMIC_RAW,2026-09-02 20:06:00+00:00,2026-09-02 20:07:00+00:00,1,2026-09-02 20:08:00+00:00,4435.4,1.6857142857143768,0.5522388059701493,52.0,0.7307692307692307,0.0,0.3033259423503877,0.5,2.135593220338544,0.7711864406774929,0.41525423728800526,0.47457627118598344,0.8305084745760105,1.7203389830505387
RITHMIC_RAW,2026-09-04 19:45:00+00:00,2026-09-04 19:46:00+00:00,1,2026-09-04 19:47:00+00:00,4482.0,1.457142857142961,0.5838926174496645,118.0,0.9152542372881356,-0.6862745098038726,0.2937062937055963,0.0,1.098039215686446,3.088235294117427,0.3431372549019363,-0.3431372549019363,-0.20588235294128662,1.029411764705809
RITHMIC_RAW,2026-09-07 13:42:00+00:00,2026-09-07 13:43:00+00:00,1,2026-09-07 13:44:00+00:00,4447.6,1.357142857142987,0.5517241379310345,45.0,0.6444444444444445,0.0736842105265768,0.2946977073556644,0.1818181818187831,0.7368421052630874,-3.536842105262283,-0.7368421052630874,-2.7999999999991956,-2.2842105263151686,-1.0315789473680541
RITHMIC_RAW,2026-09-11 06:30:00+00:00,2026-09-11 06:32:00+00:00,2,2026-09-11 06:33:00+00:00,4391.4,1.9642857142857144,0.4517133956386293,233.0,0.5064377682403434,-0.3054545454547306,0.3112199902008547,0.3793103448274456,-1.425454545454638,-1.425454545454638,1.3236363636360857,0.7636363636363636,0.30545454545426765,0.0509090909088131
RITHMIC_RAW,2026-09-11 10:27:00+00:00,2026-09-11 10:28:00+00:00,1,2026-09-11 10:29:00+00:00,4389.6,1.757142857142688,0.4716981132075472,39.0,0.6923076923076923,-0.4552845528456757,0.30471332164303,0.0,0.8536585365854481,5.804878048781461,-1.1951219512193167,-0.05691056910538598,0.17073170731719314,1.3089430894311238
AMP_CQG_RAW_EXCLUSIVE,2026-08-07 13:14:00+00:00,2026-08-07 13:15:00+00:00,1,2026-08-07 13:16:00+00:00,4405.6,4.271428571428585,0.429951690821256,148.0,0.6351351351351351,-0.3043478260869982,0.3111111111111237,0.3333333333330807,-2.3645484949831426,-2.9498327759195955,0.35117056856187184,1.030100334448285,-1.0535117056856154,-0.8896321070232382
AMP_CQG_RAW_EXCLUSIVE,2026-08-13 11:32:00+00:00,2026-08-13 11:33:00+00:00,1,2026-08-13 11:34:00+00:00,4444.5,1.200000000000078,0.4347826086956521,66.0,0.4545454545454545,-0.0833333333328731,0.245614035087876,0.4000000000014552,3.3333333333331168,1.33333333333355,-1.1666666666662877,-1.1666666666662877,-1.1666666666662877,2.2499999999997025
