feed,seed_time,entry_time,cp10_dist_seed_high,threshold_q50,selected,resid_10_20_atr,resid_10_30_atr,prior_history_n
AMP_CQG_RAW_EXCLUSIVE,2026-08-24 00:38:00+00:00,2026-08-24 00:40:00+00:00,-0.9612983770286989,1.3711246200607852,False,-1.3458177278401466,-1.5555555555554672,8
AMP_CQG_RAW_EXCLUSIVE,2026-08-25 15:41:00+00:00,2026-08-25 15:44:00+00:00,2.249527410208071,0.6571428571429335,True,0.4763705103968107,1.6937618147448041,9
AMP_CQG_RAW_EXCLUSIVE,2026-08-26 18:06:00+00:00,2026-08-26 18:08:00+00:00,3.4086956521741345,1.3711246200607852,True,3.165217391304237,2.4347826086956523,10
AMP_CQG_RAW_EXCLUSIVE,2026-08-31 15:01:00+00:00,2026-08-31 15:03:00+00:00,0.2139737991265726,2.085106382978637,False,0.947598253275179,0.7641921397379579,11
AMP_CQG_RAW_EXCLUSIVE,2026-09-01 07:50:00+00:00,2026-09-01 07:52:00+00:00,2.4332493702768496,1.3711246200607852,True,8.251889168765274,6.770780856422831,12
AMP_CQG_RAW_EXCLUSIVE,2026-09-02 06:02:00+00:00,2026-09-02 06:04:00+00:00,-2.71482889733839,2.085106382978637,False,1.5969581749048214,4.524714828896994,13
AMP_CQG_RAW_EXCLUSIVE,2026-09-02 20:06:00+00:00,2026-09-02 20:08:00+00:00,2.1355932203390835,1.3711246200607852,True,-0.8898305084745282,-0.9491525423730459,14
AMP_CQG_RAW_EXCLUSIVE,2026-09-04 19:45:00+00:00,2026-09-04 19:47:00+00:00,2.91089108910868,2.085106382978637,True,0.9009900990099946,2.148514851485323,15
AMP_CQG_RAW_EXCLUSIVE,2026-09-07 16:12:00+00:00,2026-09-07 16:15:00+00:00,4.666666666667012,2.1103498016588604,True,0.5691056910569021,-0.9105691056912505,16
AMP_CQG_RAW_EXCLUSIVE,2026-09-10 02:35:00+00:00,2026-09-10 02:37:00+00:00,-0.828947368421171,2.1355932203390835,False,0.0,1.1973684210528492,17
AMP_CQG_RAW_EXCLUSIVE,2026-09-11 06:30:00+00:00,2026-09-11 06:33:00+00:00,1.1282051282050274,2.1103498016588604,False,-0.3589743589742633,-1.4871794871792907,18
AMP_CQG_RAW_EXCLUSIVE,2026-09-11 10:27:00+00:00,2026-09-11 10:29:00+00:00,2.105691056910668,2.085106382978637,True,1.5934959349596063,4.495934959350336,19
AMP_CQG_RAW_EXCLUSIVE,2026-09-13 22:21:00+00:00,2026-09-13 22:23:00+00:00,-0.8679245283019469,2.0953987199446527,False,0.03773584905674068,-0.03773584905639748,20
AMP_CQG_RAW_EXCLUSIVE,2026-09-14 12:16:00+00:00,2026-09-14 12:19:00+00:00,4.406685236768807,2.085106382978637,True,3.8997214484679077,3.509749303621117,21
AMP_CQG_RAW_EXCLUSIVE,2026-09-14 16:19:00+00:00,2026-09-14 16:21:00+00:00,-0.2545454545455808,2.0953987199446527,False,-1.993939393939097,-5.727272727272096,22
RITHMIC_RAW,2026-08-17 11:42:00+00:00,2026-08-17 11:44:00+00:00,4.5668449197855105,1.5144265697977937,True,0.8235294117649462,2.3957219251341417,8
RITHMIC_RAW,2026-08-20 14:01:00+00:00,2026-08-20 14:03:00+00:00,0.6571428571429335,1.9361702127660223,False,-0.028571428571533577,-2.028571428571608,9
RITHMIC_RAW,2026-08-21 15:25:00+00:00,2026-08-21 15:27:00+00:00,0.5833333333334854,1.5144265697977937,False,-1.1302083333335036,-3.098958333333436,10
RITHMIC_RAW,2026-08-24 00:38:00+00:00,2026-08-24 00:40:00+00:00,-0.9262086513994436,1.0926829268295652,False,-1.4071246819337546,-1.638676844783656,11
RITHMIC_RAW,2026-08-25 15:41:00+00:00,2026-08-25 15:44:00+00:00,2.21886792452832,0.8779204107830776,True,0.5018867924527599,1.7169811320755601,12
RITHMIC_RAW,2026-08-26 18:06:00+00:00,2026-08-26 18:08:00+00:00,3.4235807860263416,1.0926829268295652,True,3.1790393013098566,2.445414847161514,13
RITHMIC_RAW,2026-08-31 15:01:00+00:00,2026-08-31 15:03:00+00:00,0.2139737991265726,1.5144265697977937,False,0.947598253275179,0.7641921397379579,14
RITHMIC_RAW,2026-09-01 07:50:00+00:00,2026-09-01 07:52:00+00:00,2.4747474747473954,1.0926829268295652,True,8.237373737373217,6.752525252524843,15
RITHMIC_RAW,2026-09-02 06:02:00+00:00,2026-09-02 06:04:00+00:00,-2.71482889733839,1.5144265697977937,False,1.5969581749048214,4.524714828896994,16
RITHMIC_RAW,2026-09-02 20:06:00+00:00,2026-09-02 20:08:00+00:00,2.1355932203390835,1.0926829268295652,True,-0.9491525423730459,-0.9491525423730459,17
RITHMIC_RAW,2026-09-04 19:45:00+00:00,2026-09-04 19:47:00+00:00,2.950980392156777,1.5144265697977937,True,0.8235294117645223,2.058823529411618,18
RITHMIC_RAW,2026-09-07 13:42:00+00:00,2026-09-07 13:44:00+00:00,0.0,1.9361702127660223,False,-2.5789473684208057,-2.505263157894229,19
RITHMIC_RAW,2026-09-11 06:30:00+00:00,2026-09-11 06:33:00+00:00,1.1199999999999075,1.5144265697977937,False,-0.3563636363635438,-1.4763636363634511,20
RITHMIC_RAW,2026-09-11 10:27:00+00:00,2026-09-11 10:29:00+00:00,2.105691056910668,1.1199999999999075,True,1.5934959349596063,4.495934959350336,21
