seed_time,gc_entry_time,broker_target_msc,entry_lag_ms,variant,filled,reject_reason,xau_atr14,initial_bid,initial_ask,initial_spread,fill_msc,fill_price,fill_delay_ms,limit_price,exit_msc,exit_price,exit_reason,gross_r
2026-08-07T13:14:00+00:00,2026-08-07T13:16:00+00:00,1786119360000,4,IMMEDIATE,True,,3.687499999999935,4345.72,4346.17,0.4499999999998181,1786119360004.0,4345.72,4.0,,1786119606308.0,4349.57,SL,-1.0440677966100398
2026-08-07T13:14:00+00:00,2026-08-07T13:16:00+00:00,1786119360000,4,LIMIT_050_5M,True,,3.687499999999935,4345.72,4346.17,0.4499999999998181,1786119601659.0,4347.56375,241659.0,4347.56375,1786119682054.0,4351.32,SL,-1.01864406779648
2026-08-13T11:32:00+00:00,2026-08-13T11:34:00+00:00,1786631640000,155,IMMEDIATE,True,,1.2549999999999142,4386.77,4387.22,0.4499999999998181,1786631640155.0,4386.77,155.0,,1786631689203.0,4388.03,SL,-1.0039840637445379
2026-08-13T11:32:00+00:00,2026-08-13T11:34:00+00:00,1786631640000,155,LIMIT_050_5M,True,,1.2549999999999142,4386.77,4387.22,0.4499999999998181,1786631688607.0,4387.3975,48607.0,4387.3975,1786631691154.0,4388.71,SL,-1.0458167330678005
2026-08-13T19:09:00+00:00,2026-08-13T19:11:00+00:00,1786659060000,305,IMMEDIATE,True,,1.0932142857142415,4352.81,4353.26,0.4499999999998181,1786659060305.0,4352.81,305.0,,1786659231004.0,4350.623571428572,TP,2.0
2026-08-13T19:09:00+00:00,2026-08-13T19:11:00+00:00,1786659060000,305,LIMIT_050_5M,True,,1.0932142857142415,4352.81,4353.26,0.4499999999998181,1786659168756.0,4353.356607142858,108756.0,4353.356607142858,1786659231004.0,4351.1701785714295,TP,2.0
2026-08-14T11:42:00+00:00,2026-08-14T11:45:00+00:00,1786718700000,162,IMMEDIATE,True,,1.3589285714287402,4362.33,4362.77,0.4400000000005093,1786718700162.0,4362.33,162.0,,1786719024759.0,4363.71,SL,-1.0155059132719646
2026-08-14T11:42:00+00:00,2026-08-14T11:45:00+00:00,1786718700000,162,LIMIT_050_5M,False,LIMIT_NOT_FILLED,1.3589285714287402,4362.33,4362.77,0.4400000000005093,,,,4363.009464285714,,,,
2026-08-17T09:51:00+00:00,2026-08-17T09:53:00+00:00,1786971180000,1655,IMMEDIATE,True,,1.3639285714285247,4393.5,4393.95,0.4499999999998181,1786971181655.0,4393.5,1655.0,,1786971385207.0,4394.9,SL,-1.0264467137991924
2026-08-17T09:51:00+00:00,2026-08-17T09:53:00+00:00,1786971180000,1655,LIMIT_050_5M,True,,1.3639285714285247,4393.5,4393.95,0.4499999999998181,1786971210156.0,4394.1819642857145,30156.0,4394.1819642857145,1786971540902.0,4395.64,SL,-1.0689971196649846
