episode_id,rule,gc_t0_ms,event_utc,period,prediction,source_signal_direction,quiet_start,signal_index,elapsed_s,directional_balance,run_length_same_direction,direction_flips_so_far,hit1,hit2,hit3,fixed5m_ev_atr,mfe5_atr,mae5_atr
71,R2_EARLY_QUIET_DOMINANCE_3,1786077540000,2026-08-07T04:39:00+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.4724476719350883,0.723622383596836,-2.4758650149507355
71,R3_RUN3_BEFORE240,1786077540000,2026-08-07T04:39:00+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.4724476719350883,0.723622383596836,-2.4758650149507355
75,R3_RUN3_BEFORE240,1786079280000,2026-08-07T05:08:00+00:00,TRAIN,1,1,True,4,240.0,0.5,3,1,,True,True,4.498455200823086,6.365602471677711,-0.3388259526262933
75,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786079340000,2026-08-07T05:09:00+00:00,TRAIN,-1,-1,True,5,300.0,0.2,1,2,,False,False,-3.863646976417981,0.1699743170676046,-4.360494980153782
80,R3_RUN3_BEFORE240,1786081290000,2026-08-07T05:41:30+00:00,TRAIN,1,1,False,3,240.0,1.0,3,0,,False,False,-0.206806661839343,0.1500362056484112,-1.137436640116018
82,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786082190000,2026-08-07T05:56:30+00:00,TRAIN,-1,-1,True,4,240.0,0.0,1,2,,False,False,0.0997920997920115,0.6133056133057798,-0.3762993762996579
83,R1_EARLY_DOMINANCE_3,1786082460000,2026-08-07T06:01:00+00:00,TRAIN,-1,-1,True,3,150.0,1.0,3,0,,False,False,-0.9567642956763488,0.6072524407249964,-1.6596931659692995
83,R2_EARLY_QUIET_DOMINANCE_3,1786082460000,2026-08-07T06:01:00+00:00,TRAIN,-1,-1,True,3,150.0,1.0,3,0,,False,False,-0.9567642956763488,0.6072524407249964,-1.6596931659692995
83,R3_RUN3_BEFORE240,1786082460000,2026-08-07T06:01:00+00:00,TRAIN,-1,-1,True,3,150.0,1.0,3,0,,False,False,-0.9567642956763488,0.6072524407249964,-1.6596931659692995
83,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786082520000,2026-08-07T06:02:00+00:00,TRAIN,1,1,True,4,210.0,0.5,1,1,,True,False,1.2764879696073486,2.255522724074292,-0.0256085549460288
84,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786083000000,2026-08-07T06:10:00+00:00,TRAIN,-1,-1,True,4,270.0,0.0,1,2,,False,False,-2.6131160263875373,0.3042297244860592,-4.87310826542514
