candidate,period,signal_time,action_time_utc,direction,side,xau_atr14,entry_bid,entry_ask,entry_lag_ms,pre_move_atr,gc_delta_frac,gc_impact,gc_body_atr,gc_close_pos,gc_buy_loc,gc_sell_loc,ret_1m_atr,ret_1m_bps,ret_3m_atr,ret_3m_bps,ret_5m_atr,ret_5m_bps,ret_10m_atr,ret_10m_bps,ret_15m_atr,ret_15m_bps,ret_30m_atr,ret_30m_bps
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T03:17:00+00:00,2026-08-07T03:18:00+00:00,1,LONG,1.6421428571428416,4253.85,4254.35,155,0.19486733362369293,-0.689922480620155,-0.12556053811646134,0.12556053811646134,0.7857142857142393,0.5,0.11926605504587157,0.012179208351169271,0.04701070668733663,-0.43236189647675527,-1.6688800874399998,0.541974771639494,2.091976447634581,1.4858634188775433,5.73530621598975,3.1300565463241643,12.081751618929841,3.7877337973028125,14.620329780105878
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T04:36:00+00:00,2026-08-07T04:37:00+00:00,1,LONG,1.690714285714161,4266.68,4267.08,153,-0.1478664976763945,-0.5555555555555556,-0.0,0.0,0.0,0.16666666666666666,0.6904761904761905,-0.6506125897763511,-2.5778752683342328,-1.5023236163921467,-5.952548346878811,-2.1647655259823297,-8.577294074636178,-2.2830587241233378,-9.045998668878186,-0.6387832699619812,-2.5310048089089663,-2.3836079425433288,-9.444397573984425
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T06:53:00+00:00,2026-08-07T06:54:00+00:00,-1,SHORT,2.0860714285713584,4294.4,4294.77,453,-0.043143297380656725,0.4967741935483871,-0.04374999999976499,-0.04374999999976499,0.647058823529695,0.16379310344827586,0.20512820512820512,0.3067967813727838,1.4903129657214464,-0.62797466187318,-3.050484351714792,-1.9462420818355595,-9.454172876304956,0.12463619243247545,0.6054396423232787,1.3230611196710023,6.4269746646779735,2.2722136620441424,11.037630402383995
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T07:59:00+00:00,2026-08-07T08:00:00+00:00,-1,SHORT,1.6653571428571792,4289.92,4290.35,12,0.07205661591188944,0.42857142857142855,-0.061674008810797556,-0.061674008810797556,0.23529411764687,0.24705882352941178,0.11764705882352941,-0.7625991850736861,-2.960428166491513,-2.191722067338357,-8.508317171414935,-1.6693116019727894,-6.480307325077729,-3.0383873043101577,-11.795091749961514,-6.106798198584513,-23.70673578994497,-3.1524769461719235,-12.237990452036401
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T09:27:00+00:00,2026-08-07T09:28:00+00:00,1,LONG,1.4746428571431482,4308.7,4309.15,158,-0.09493824170583337,-0.4098360655737705,-0.06896551724101162,0.06896551724101162,0.9444444444442479,0.5,0.23255813953488372,-1.9258900460150863,-6.590626921780945,-3.234681520948423,-11.06946845665509,-3.6754662145791253,-12.577886590162963,-2.1293291353830552,-7.286819906476725,3.1804310971176637,10.883816994071939,3.7093727294738894,12.693918754279277
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T09:44:00+00:00,2026-08-07T09:45:00+00:00,1,LONG,2.022500000000101,4317.31,4317.74,154,0.16316440049439343,-0.36,-0.2295081967213115,0.2295081967213115,0.294117647058855,0.125,0.2411764705882353,0.306551297898571,1.4359363926496056,0.23733003708304026,1.1116926910848568,-0.5933250927069261,-2.7792317277089826,-0.004944375772666392,-0.023160264398083902,-0.8751545117426148,-4.0993667983702755,-4.731767614338309,-22.164373028481823
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T11:17:00+00:00,2026-08-07T11:18:00+00:00,-1,SHORT,1.8314285714289196,4318.6,4319.05,309,0.45319812792499115,0.3050847457627119,-0.6570397111914535,-0.6570397111914535,0.11111111111099883,0.1038961038961039,0.36585365853658536,-0.2511700468018442,-1.0651600055574406,-2.446177847113181,-10.373732228035852,-2.009360374414257,-8.52128004445742,-4.084243369733775,-17.320427916453394,-4.368174726988249,-18.52452183578011,-3.0304212168477007,-12.85138702357077
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T13:14:00+00:00,2026-08-07T13:15:00+00:00,-1,SHORT,4.104642857142737,4347.68,4348.13,10,0.27286174192963014,0.42995169082125606,-0.3043478260869982,-0.3043478260869982,0.3333333333330807,0.6351351351351351,0.15254237288135594,0.36787609849479985,3.4731166967215117,1.4983033150615184,14.14547528797093,0.036543983294313076,0.3450115923907594,-0.7308796658836026,-6.900231847790085,-2.1780214043330384,-20.562690906413533,-2.7286174192987387,-25.760865565082565
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T13:18:00+00:00,2026-08-07T13:19:00+00:00,1,LONG,3.5025000000001194,4340.95,4341.4,13,-0.03711634546781276,-0.36279926335174956,-0.0,0.0,0.7419354838709393,0.09248554913294797,0.16756756756756758,1.6216987865810413,13.083337172341391,2.592433975731511,20.91491224029098,2.5182012847966644,20.316027088037544,4.199857244824992,33.88307919104445,3.0064239828694634,24.254848666330343,4.356887937187637,35.14995162850744
FADE_OPPOSITE_BODY,TRAIN,2026-08-07T14:36:00+00:00,2026-08-07T14:37:00+00:00,1,LONG,3.2542857142856128,4348.23,4348.68,8,0.40561896400343506,-0.373134328358209,-0.5249999999997879,0.5249999999997879,0.821428571428525,0.12380952380952381,0.08695652173913043,-0.7497805092187927,-5.610898019630116,-1.6101843722566278,-12.04963345199162,0.2550482879718908,1.908625146021154,-1.1215978928887014,-8.393351545757668,-1.0079016681301711,-7.542518649338775,-0.3472344161545659,-2.598489656631689
