core_bar_utc,side,open,high,low,close,atr14_wilder,delta_frac,q10_prior240,q90_prior240,sell_loc,q75_sell_loc_prior240,buy_loc,q75_buy_loc_prior240,directional_impact_atr,cooldown30_keep
2026-08-03T20:10:00+00:00,LONG,4107.7,4108.9,4106.3,4108.8,2.6849469056584624,-0.19411764705882353,-0.19072580645161292,0.1899324132629993,0.2702702702702703,0.2574751937984496,0.06382978723404255,0.2603550295857988,0.0,1
2026-08-03T22:05:00+00:00,SHORT,4107.0,4107.7,4105.6,4106.1,2.619422781028778,0.21428571428571427,-0.18878151260504202,0.18831553973931245,0.047619047619047616,0.25520397843505283,0.3870967741935484,0.2603550295857988,0.0,1
2026-08-03T22:40:00+00:00,LONG,4108.6,4109.0,4107.4,4108.4,2.146465543445393,-0.2698412698412698,-0.18878151260504202,0.18831553973931245,0.35294117647058826,0.25520397843505283,0.1,0.2603550295857988,0.09317644816016772,1
2026-08-04T00:25:00+00:00,LONG,4114.8,4115.1,4112.6,4114.6,3.317513290902151,-0.20588235294117646,-0.18878151260504202,0.18831553973931245,0.2727272727272727,0.25520397843505283,0.1875,0.2603550295857988,0.060285741783716695,1
2026-08-04T14:55:00+00:00,SHORT,4140.7,4143.5,4138.5,4140.4,6.420530643599161,0.22906403940886699,-0.20322085889570553,0.22145074709052303,0.15286624203821655,0.2585470085470085,0.32857142857142857,0.265625,0.0,1
2026-08-05T22:25:00+00:00,LONG,4196.7,4197.0,4194.3,4196.5,4.096348045167402,-0.2222222222222222,-0.1970189701897019,0.21821463857432317,0.30434782608695654,0.25724322745149654,0.09210526315789473,0.27697594501718214,0.04882446431541614,1
2026-08-06T07:05:00+00:00,LONG,4224.3,4225.6,4222.9,4223.8,4.258523778222064,-0.2222222222222222,-0.1970189701897019,0.21821463857432317,0.32142857142857145,0.25724322745149654,0.14705882352941177,0.27697594501718214,0.11741158933252915,1
2026-08-06T10:00:00+00:00,SHORT,4308.9,4309.1,4307.5,4308.4,4.093253864214755,0.23076923076923078,-0.1970189701897019,0.21821463857432317,0.10526315789473684,0.25724322745149654,0.29411764705882354,0.27697594501718214,0.0,1
2026-08-06T19:10:00+00:00,SHORT,4306.5,4307.6,4305.5,4307.0,3.778936539597363,0.23809523809523808,-0.1970189701897019,0.21821463857432317,0.08333333333333333,0.25724322745149654,0.32,0.27697594501718214,0.1323120135942161,1
2026-08-07T09:05:00+00:00,LONG,4307.8,4308.2,4306.8,4307.6,3.324571194371183,-0.25650557620817843,-0.20538823529411764,0.23932408317855714,0.34911242603550297,0.25809756742464305,0.07,0.27010104267440615,0.06015814458553895,0
2026-08-07T13:15:00+00:00,LONG,4307.5,4308.2,4306.6,4308.0,2.974271362180546,-0.24742268041237114,-0.20538823529411764,0.24311351115474826,0.42739079102715465,0.25877359140377464,0.10567514677103718,0.27685880712486517,0.0,1
2026-08-07T13:50:00+00:00,LONG,4315.1,4318.8,4314.5,4318.3,4.605295618707936,-0.2222222222222222,-0.20538823529411764,0.24311351115474826,0.29411764705882354,0.25877359140377464,0.13953488372093023,0.27685880712486517,0.0,1
2026-08-07T20:40:00+00:00,SHORT,4332.6,4333.7,4330.7,4331.0,4.561826275902532,0.2857142857142857,-0.20538823529411764,0.24311351115474826,0.11864406779661017,0.25877359140377464,0.34615384615384615,0.27685880712486517,0.0,1
2026-08-10T04:05:00+00:00,LONG,4307.6,4308.0,4304.6,4305.9,3.8400100325605464,-0.23809523809523808,-0.21304119488267542,0.16183952721538136,0.36,0.26120095440084834,0.11764705882352941,0.2830322899913398,0.4427071761120996,1
2026-08-10T20:50:00+00:00,SHORT,4298.7,4299.9,4298.4,4298.7,3.673622611348282,0.17117117117117117,-0.21304119488267542,0.16183952721538136,0.17391304347826086,0.26120095440084834,0.27692307692307694,0.2830322899913398,0.0,1
