feed,candidate,period,horizon_min,n,ev_atr,median_atr,wr_pct,days,positive_days
AMP,FAILED_RECLAIM_SHORT_001,FULL,15,42,-0.037966290754090005,0.31299867021287464,54.761904761904766,19,10
AMP,FAILED_RECLAIM_SHORT_001,FULL,30,41,0.5054852475353694,0.983783783783873,60.97560975609756,19,12
AMP,MIRROR_BREAKDOWN_SHORT_REF,TRAIN,5,82,0.2317136165378536,0.3734291026200629,54.87804878048781,10,7
AMP,MIRROR_BREAKDOWN_SHORT_REF,TRAIN,15,82,-0.05492076159909977,0.30227272727264054,52.4390243902439,10,6
AMP,MIRROR_BREAKDOWN_SHORT_REF,TRAIN,30,80,-0.04523542496201884,0.28285181733450643,52.5,10,7
AMP,MIRROR_BREAKDOWN_SHORT_REF,VALID,5,97,0.10998528057039922,-0.053639846743489414,47.42268041237113,14,8
AMP,MIRROR_BREAKDOWN_SHORT_REF,VALID,15,97,-0.05667787280067871,-0.243478260869907,45.36082474226804,14,9
AMP,MIRROR_BREAKDOWN_SHORT_REF,VALID,30,96,0.10365567038416772,0.6543209876544159,56.25,14,7
AMP,MIRROR_BREAKDOWN_SHORT_REF,LATE_CHECK,5,40,0.0764196180813792,-0.05257803790431532,47.5,5,4
AMP,MIRROR_BREAKDOWN_SHORT_REF,LATE_CHECK,15,40,-0.005903654362523536,0.42852207558904654,55.00000000000001,5,2
AMP,MIRROR_BREAKDOWN_SHORT_REF,LATE_CHECK,30,40,-0.17796137998741615,0.2325255569585153,55.00000000000001,5,2
AMP,MIRROR_BREAKDOWN_SHORT_REF,POST_CHECK,5,18,0.558564466778082,0.367155410619577,66.66666666666666,3,3
AMP,MIRROR_BREAKDOWN_SHORT_REF,POST_CHECK,15,18,1.1967510097747531,2.287355227669364,61.111111111111114,3,3
AMP,MIRROR_BREAKDOWN_SHORT_REF,POST_CHECK,30,18,2.0822266090884876,1.4238713919688757,72.22222222222221,3,3
AMP,MIRROR_BREAKDOWN_SHORT_REF,FULL,5,237,0.1805064721379467,0.0823529411760256,51.47679324894515,31,21
AMP,MIRROR_BREAKDOWN_SHORT_REF,FULL,15,237,0.04769669151330207,0.1609195402299804,50.63291139240506,31,19
AMP,MIRROR_BREAKDOWN_SHORT_REF,FULL,30,234,0.15681082958980658,0.5421935619166732,55.98290598290598,31,18
