core_bar_utc,side,confirm_bar_utc,entry_eligible_utc,xau_clock_offset_hours,xau_target_file_time,previous_xau_m1,next_xau_m1,delay_to_next_min,classification
2026-08-05T22:25:00+00:00,LONG,2026-08-05T22:30:00+00:00,2026-08-05T22:35:00+00:00,2,2026-08-06 00:35:00,2026-08-05 23:49:00,2026-08-06 01:05:00,30,NO_EXACT_XAU_ENTRY_ROW_SESSION_GAP
2026-08-30T22:50:00+00:00,LONG,2026-08-30T22:55:00+00:00,2026-08-30T23:00:00+00:00,2,2026-08-31 01:00:00,2026-08-28 23:49:00,2026-08-31 01:05:00,5,NO_EXACT_XAU_ENTRY_ROW_WEEKEND_REOPEN
