signal_time_utc,expiry_min,filled,status,raw_r,accepted,busy_skip,stress_r,candidate,busy_clock
2026-08-07 01:07:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 03:03:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 07:55:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 08:33:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 10:31:00+00:00,1,True,TIMEOUT,1.6242981112812214,True,False,1.5742981112812213,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 11:03:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 13:37:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 13:41:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 14:22:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 14:24:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-07 19:00:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-09 23:02:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-10 03:21:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-10 03:28:00+00:00,1,True,TIMEOUT,0.1954022988506318,True,False,0.14540229885063177,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-10 04:10:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-10 04:55:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-10 04:59:00+00:00,1,True,SL,-1.0,True,False,-1.05,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
2026-08-10 05:47:00+00:00,1,False,NO_FILL,0.0,True,False,0.0,D1.00_E1M,FROZEN_SIGNAL_LEFT_EDGE
