state,entry_kind,period,gc_end_ms,gc_end_utc,direction,side,r5,r10,r30,slope_5_30,xau_atr,gc_delta_frac,gc_volume,gc_impact,filled,fill_delay_ms,entry_price,hold_120s_atr,hold_300s_atr,G1_r,G1_reason,G2_r,G2_reason
ALL,MARKET_5S,TRAIN,1786113390000,2026-08-07T14:36:30+00:00,1,LONG,0.16470588235279326,-0.10294117647069642,0.08823529411743408,-0.07647058823535918,3.399999999999961,-0.43846153846153846,260.0,-0.3927855711421782,True,5108.0,4348.94,-1.1235294117646333,-0.20588235294112534,-1.0,SL,-1.0,SL
ALL,LIMIT_010_FROM_5S,TRAIN,1786113390000,2026-08-07T14:36:30+00:00,1,LONG,0.16470588235279326,-0.10294117647069642,0.08823529411743408,-0.07647058823535918,3.399999999999961,-0.43846153846153846,260.0,-0.3927855711421782,True,7806.0,4348.599999999999,-1.0235294117645892,-0.10588235294108139,-1.0,SL,-1.0,SL
ALL,CONFIRM_010,TRAIN,1786113390000,2026-08-07T14:36:30+00:00,1,LONG,0.16470588235279326,-0.10294117647069642,0.08823529411743408,-0.07647058823535918,3.399999999999961,-0.43846153846153846,260.0,-0.3927855711421782,True,753.0,4348.87,-1.102941176470601,-0.18529411764709305,-1.0,SL,-1.0,SL
ALL,CONFIRM_AFTER_NEGATIVE,TRAIN,1786113390000,2026-08-07T14:36:30+00:00,1,LONG,0.16470588235279326,-0.10294117647069642,0.08823529411743408,-0.07647058823535918,3.399999999999961,-0.43846153846153846,260.0,-0.3927855711421782,True,16207.0,4348.46,-0.9823529411765247,-0.06470588235301682,-1.0,SL,-1.0,SL
ALL,MARKET_5S,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,5256.0,4337.72,-0.05588822355294338,1.1994472593275314,-1.0,SL,-1.0,SL
ALL,LIMIT_010_FROM_5S,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,6909.0,4337.952607142857,0.04411177644698959,1.2994472593274644,-1.0,SL,-1.0,SL
ALL,CONFIRM_010,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,2258.0,4337.72,-0.05588822355294338,1.1994472593275314,-1.0,SL,-1.0,SL
ALL,CONFIRM_AFTER_NEGATIVE,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,2258.0,4337.72,-0.05588822355294338,1.1994472593275314,-1.0,SL,-1.0,SL
DIVERGE_EARLY,MARKET_5S,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,5256.0,4337.72,-0.05588822355294338,1.1994472593275314,-1.0,SL,-1.0,SL
DIVERGE_EARLY,LIMIT_010_FROM_5S,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,6909.0,4337.952607142857,0.04411177644698959,1.2994472593274644,-1.0,SL,-1.0,SL
DIVERGE_EARLY,CONFIRM_010,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,2258.0,4337.72,-0.05588822355294338,1.1994472593275314,-1.0,SL,-1.0,SL
DIVERGE_EARLY,CONFIRM_AFTER_NEGATIVE,TRAIN,1786121310000,2026-08-07T16:48:30+00:00,-1,SHORT,0.11607554122543418,0.3525257177950679,-0.30953477660037576,-0.42561031782580994,2.326071428571335,0.5789473684210527,95.0,-0.12500000000007444,True,2258.0,4337.72,-0.05588822355294338,1.1994472593275314,-1.0,SL,-1.0,SL
