feed,seed_time,gc_entry_time,checkpoint_time_utc,selected,cp10_dist_seed_high,threshold_q50,prior_history_n,clock_offset_min,broker_target_msc,entry_tick_msc,entry_lag_ms,entry_bid,entry_ask,entry_spread_bps,xau_atr14_m1,executable,reject_reason,exit_5m_ask,exit_5m_lag_ms,ret_5m_bps,ret_5m_atr,exit_10m_ask,exit_10m_lag_ms,ret_10m_bps,ret_10m_atr,exit_20m_ask,exit_20m_lag_ms,ret_20m_bps,ret_20m_atr,exit_30m_ask,exit_30m_lag_ms,ret_30m_bps,ret_30m_atr
AMP_CQG_RAW_EXCLUSIVE,2026-08-24T00:38:00+00:00,2026-08-24T00:40:00+00:00,2026-08-24T00:50:00+00:00,False,-0.9612983770286988,1.3711246200607852,8,180,1787543400000,1787543400006,6,4614.18,4614.66,1.0402715108633893,3.406428571428868,True,,4617.41,159,-7.000160375190312,-0.9482071713145304,4622.18,155,-17.337858514405593,-2.348500733906275,4623.43,156,-20.046898907281467,-2.7154539735791303,4622.04,7,-17.034445990402784,-2.307401971062819
AMP_CQG_RAW_EXCLUSIVE,2026-08-25T15:41:00+00:00,2026-08-25T15:44:00+00:00,2026-08-25T15:54:00+00:00,True,2.249527410208071,0.6571428571429335,9,180,1787684040000,1787684040159,159,4650.79,4651.21,0.9030723812515138,2.5703571428569245,True,,4651.5,9,-1.5266223587821346,-0.27622620536338344,4649.49,156,2.795224037206973,0.5057662915104653,4645.02,302,12.406494380523583,2.2448242323190284,4640.33,7,22.4908026378315,4.069473391691342
AMP_CQG_RAW_EXCLUSIVE,2026-08-26T18:06:00+00:00,2026-08-26T18:08:00+00:00,2026-08-26T18:18:00+00:00,True,3.4086956521741345,1.3711246200607852,10,180,1787779080000,1787779080157,157,4598.77,4599.14,0.8045629592258164,1.4607142857143376,True,,4594.85,158,8.52401837882754,2.683618581907045,4594.3,7,9.719990345245042,3.060146699266569,4595.63,7,6.827912681000196,2.1496332518338885,4597.5,306,2.761607995182269,0.8694376528120039
AMP_CQG_RAW_EXCLUSIVE,2026-08-31T15:01:00+00:00,2026-08-31T15:03:00+00:00,2026-08-31T15:13:00+00:00,False,0.2139737991265726,2.085106382978637,11,180,1788199980000,1788199980008,8,4435.79,4436.24,1.0144754372948632,3.5839285714284546,True,,4431.77,10,9.062647239836709,1.1216741405081259,4433.2,7,5.838869739099789,0.72267065271556,4433.48,7,5.207640578116639,0.6445440956653046,4430.43,158,12.083529653116294,1.4955655206775857
AMP_CQG_RAW_EXCLUSIVE,2026-09-01T07:50:00+00:00,2026-09-01T07:52:00+00:00,2026-09-01T08:02:00+00:00,True,2.4332493702768496,1.3711246200607852,12,180,1788260520000,1788260520309,309,4416.11,4416.56,1.018996356523564,2.295714285714439,True,,4406.13,12,22.599074751307292,4.347230864965295,4392.71,157,52.98781053913883,10.192906036091259,4397.36,7,42.45818152174652,8.167392657124532,4377.9,3,86.52411285044991,16.644057249532196
AMP_CQG_RAW_EXCLUSIVE,2026-09-02T06:02:00+00:00,2026-09-02T06:04:00+00:00,2026-09-02T06:14:00+00:00,False,-2.71482889733839,2.085106382978637,13,180,1788340440000,1788340440009,9,4327.35,4327.76,0.9474620726307196,2.280357142857091,True,,4326.87,27,1.1092238899106217,0.2104933437746836,4324.64,8,6.262493211780965,1.1884103367267462,4319.43,2,18.302194183507392,3.4731401722788893,4325.72,157,3.766739459484694,0.7148003132342067
AMP_CQG_RAW_EXCLUSIVE,2026-09-02T20:06:00+00:00,2026-09-02T20:08:00+00:00,2026-09-02T20:18:00+00:00,True,2.1355932203390835,1.3711246200607852,14,180,1788391080000,1788391080013,13,4385.73,4386.14,0.9348500705715218,1.0810714285714442,True,,4385.24,9,1.1172598404365561,0.45325404691092464,4387.5,158,-4.035816158314435,-1.6372646184344732,4387.25,1651,-3.4657856274792036,-1.4060125536838985,4389.09,322,-7.66121033442684,-3.1080277502482634
AMP_CQG_RAW_EXCLUSIVE,2026-09-04T19:45:00+00:00,2026-09-04T19:47:00+00:00,2026-09-04T19:57:00+00:00,True,2.91089108910868,2.085106382978637,15,180,1788562620000,1788562620308,308,4433.35,4433.72,0.8345833286338565,1.3817857142858625,True,,4433.92,756,-1.2857094522194479,-0.41250969242672886,4432.3,157,2.3684121488269185,0.7598862755234412,4430.72,307,5.9323085251561665,1.9033341948822733,4430.43,608,6.586441404355787,2.113207547169637
AMP_CQG_RAW_EXCLUSIVE,2026-09-07T16:12:00+00:00,2026-09-07T16:15:00+00:00,2026-09-07T16:25:00+00:00,True,4.666666666667012,2.1103498016588604,16,180,1788809100000,1788809100008,8,4413.14,4413.59,1.0196821310899224,0.7507142857142364,True,,4413.89,7,-1.699470218483891,-0.9990485252141474,4413.05,1504,0.2039364262183967,0.11988582302589154,4414.43,906,-2.92308877579221,-1.7183634633682852,4413.57,459,-0.9743629252626963,-0.572787821121954
AMP_CQG_RAW_EXCLUSIVE,2026-09-10T02:35:00+00:00,2026-09-10T02:37:00+00:00,2026-09-10T02:47:00+00:00,False,-0.828947368421171,2.1355932203390835,17,180,1789019220000,1789019220159,159,4417.56,4417.96,0.9054772317741834,2.062499999999805,True,,4420.52,5,-6.7005315151351335,-1.4351515151516685,4418.64,12,-2.444788525792354,-0.5236363636363779,4415.62,1209,4.391564574109936,0.9406060606063965,4413.04,10,10.231892719058566,2.19151515151557
