cohort,signal_time_utc,window_min,stop_atr,rr,outcome
COMMON_CLOCK,2026-08-07T01:07:00+00:00,15,1.0,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,15,1.0,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,15,1.0,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,15,1.5,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,15,1.5,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,15,1.5,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,30,1.0,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,30,1.0,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,30,1.0,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,30,1.5,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,30,1.5,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T01:07:00+00:00,30,1.5,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,15,1.0,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,15,1.0,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,15,1.0,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,15,1.5,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,15,1.5,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,15,1.5,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,30,1.0,1.5,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,30,1.0,2.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,30,1.0,3.0,SL_FIRST
COMMON_CLOCK,2026-08-07T03:03:00+00:00,30,1.5,1.5,SL_FIRST
